time,memavailable,memcache,memutil
2025-05-17 16:59:30,16749692.0,6034324.0,31.8
2025-05-17 16:59:45,16749692.0,6034324.0,31.8
2025-05-17 17:00:00,16376580.0,6033612.0,33.3
2025-05-17 17:00:15,16376580.0,6033612.0,33.3
2025-05-17 17:00:30,16376580.0,6033612.0,33.3
2025-05-17 17:00:45,16376580.0,6033612.0,33.3
2025-05-17 17:01:00,15950908.0,6027644.0,35.0
2025-05-17 17:01:15,15950908.0,6027644.0,35.0
2025-05-17 17:01:30,15950908.0,6027644.0,35.0
2025-05-17 17:01:45,15950908.0,6027644.0,35.0
2025-05-17 17:02:00,15484681.984989354,6029399.81501589,36.91007976190477
2025-05-17 17:02:15,15347682.998323236,6029625.317757584,37.77318214285714
2025-05-17 17:02:30,15254945.186063496,6029714.022242256,37.832698809523805
2025-05-17 17:02:45,15192003.729396828,6029643.494242255,37.897032142857135
2025-05-17 17:03:00,15094784.117812414,6030279.923238091,38.4308369047619
2025-05-17 17:03:15,14848111.391394382,6031258.703460541,39.67256587301588
2025-05-17 17:03:30,14687993.436398713,6031305.656159204,39.9943396825397
2025-05-17 17:03:45,14646465.090684423,6031392.150603648,39.97208470418472
2025-05-17 17:04:00,14529860.471636808,6031424.457270315,40.786127994228
2025-05-17 17:04:15,14276225.324444445,6031507.4486818025,41.88417265512264
2025-05-17 17:04:30,14128700.732825398,6031524.833743534,42.28610916305915
2025-05-17 17:04:45,14124941.900825398,6031474.530187978,42.42666471861471
2025-05-17 17:05:00,14093276.002920637,6031454.780029248,42.57893614718615
2025-05-17 17:05:15,14023817.15838828,6031204.159441599,42.840284559884566
2025-05-17 17:05:30,13941250.734203575,6031626.566203576,43.20394502164502
2025-05-17 17:05:45,13880303.17181974,6031564.536933734,43.26163128538128
2025-05-17 17:06:00,13775630.691264875,6031564.536933734,43.66108539793539
2025-05-17 17:06:15,13488233.812614717,6031722.189360486,44.969355989179896
2025-05-17 17:06:30,13470120.459136585,6032254.927251071,45.07923640876031
2025-05-17 17:06:45,13444427.494281717,6032286.035251072,45.09829593256983
2025-05-17 17:07:00,13301197.447965365,6032325.9525844045,45.4912072878812
2025-05-17 17:07:15,13166515.91679076,6033979.709259511,46.09347908275299
2025-05-17 17:07:30,13042052.165377012,6034010.410031442,46.51369986197379
2025-05-17 17:07:45,13020258.944043675,6034036.410031442,46.56148319530712
2025-05-17 17:08:00,12968149.641926317,6034759.764282392,46.66782605244998
2025-05-17 17:08:15,12850369.448230362,6035370.259855249,47.42586527584805
2025-05-17 17:08:30,12789328.299483106,6035704.580163415,47.69200972029249
2025-05-17 17:08:45,12751911.576424282,6035829.385555822,47.79020972029249
2025-05-17 17:09:00,12706369.359371653,6036016.053381909,47.8945208314036
2025-05-17 17:09:15,12618152.207827134,6035948.233637123,48.28140002777039
2025-05-17 17:09:30,12561680.727616215,6036420.538470306,48.5148449840468
2025-05-17 17:09:45,12557716.30895932,6036719.27724157,48.553321174523
2025-05-17 17:10:00,12497718.382925875,6037917.490185945,48.66463072379582
2025-05-17 17:10:15,12458662.81054604,6038585.286530026,48.96834279874776
2025-05-17 17:10:30,12434186.79096932,6038822.528243264,49.04700855124042
2025-05-17 17:10:45,12433770.23096932,6038852.672679162,49.06767521790709
2025-05-17 17:11:00,12432075.60696932,6039184.775043306,49.06967521790709
2025-05-17 17:11:15,12438629.567404917,6040053.564413658,49.13541061723591
2025-05-17 17:11:30,12389027.020008786,6040350.814415489,49.32348749787639
2025-05-17 17:11:45,12371537.974934433,6040500.909477505,49.32828749787638
2025-05-17 17:12:00,12333139.668082325,6040704.870810837,49.52135303260524
2025-05-17 17:12:15,12241819.2186062,6041769.105404249,49.71212885551573
2025-05-17 17:12:30,12238188.489321666,6042262.200390881,49.77188377321955
2025-05-17 17:12:45,12232117.912655002,6042177.134676596,49.8169633053833
2025-05-17 17:13:00,12201672.42754594,6042586.694424849,49.91892855571268
2025-05-17 17:13:15,12114183.54990518,6042886.168192671,50.1882169529813
2025-05-17 17:13:30,12089210.578934526,6043392.128293845,50.48692551008592
2025-05-17 17:13:45,12077003.395465674,6043392.128293845,50.52147164591731
2025-05-17 17:14:00,12074424.924354564,6043478.164333672,50.52713831258397
2025-05-17 17:14:15,12063649.634968309,6043594.152406501,50.51564169604262
2025-05-17 17:14:30,12041815.21293838,6043879.492287766,50.647171702128965
2025-05-17 17:14:45,12041815.21293838,6044030.60988084,50.71591331389884
2025-05-17 17:15:00,11974731.345887035,6044121.171383486,50.82273132803263
2025-05-17 17:15:15,11808429.211087866,6043949.143577801,51.51253118904663
2025-05-17 17:15:30,11812797.743505543,6045741.224578704,51.59770719831425
2025-05-17 17:15:45,11798009.487481534,6045611.205487545,51.63619053164758
2025-05-17 17:16:00,11792071.571086925,6045714.0454875445,51.68976433339049
2025-05-17 17:16:15,11779923.135554804,6044808.34926505,51.65633288292361
2025-05-17 17:16:30,11781768.160189724,6043863.651288679,51.61931791857433
2025-05-17 17:16:45,11783704.542654492,6043756.387123214,51.6305475787403
2025-05-17 17:17:00,11779546.061561575,6040954.091754739,51.61690515449787
2025-05-17 17:17:15,11832401.231881298,6023333.892462622,51.60394320153857
2025-05-17 17:17:30,11837055.97580585,6021312.584160101,51.59209847785564
2025-05-17 17:17:45,11852696.843234422,6020935.156777224,51.61216990642707
2025-05-17 17:18:00,11841478.394873712,6020926.596895449,51.626169906427066
2025-05-17 17:18:15,11750799.850315545,6021227.205252352,51.89289915672585
2025-05-17 17:18:30,11748917.770315545,6020409.100180488,51.91068245913773
