minutes,tcp_apigateway_api_gateway,tcp_apigateway_source,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_srtt_source,tcp_srtt_SRTT_cumulative,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 17:13:45,0.0,DELAY,11.0,DELAY,DELAY,6062.694831349206,0.0,DELAY,0.0,DELAY
2025-05-17 17:14:00,0.0,DELAY,11.0,DELAY,DELAY,5629.562507326007,0.0,DELAY,0.0,DELAY
2025-05-17 17:14:15,0.0,DELAY,0.0,DELAY,DELAY,5368.209204822954,0.0,DELAY,0.0,DELAY
2025-05-17 17:14:30,0.0,DELAY,0.0,DELAY,DELAY,5261.360173243423,0.0,DELAY,0.0,DELAY
2025-05-17 17:14:45,0.0,DELAY,0.0,DELAY,DELAY,5182.813640553891,0.0,DELAY,0.0,DELAY
2025-05-17 17:15:00,0.0,DELAY,0.0,DELAY,DELAY,4875.2930530580525,0.0,DELAY,0.0,DELAY
2025-05-17 17:15:15,0.0,DELAY,0.0,DELAY,DELAY,4881.610857004107,0.0,DELAY,0.0,DELAY
2025-05-17 17:15:30,0.0,DELAY,0.0,DELAY,DELAY,5011.692193473194,0.0,DELAY,0.0,DELAY
2025-05-17 17:15:45,0.0,DELAY,0.0,DELAY,DELAY,5111.271267205018,0.0,DELAY,0.0,DELAY
2025-05-17 17:16:00,0.0,DELAY,0.0,DELAY,DELAY,5151.615589632589,0.0,DELAY,0.0,DELAY
2025-05-17 17:16:15,0.0,DELAY,3.0,DELAY,DELAY,5051.641883949383,0.0,DELAY,0.0,DELAY
2025-05-17 17:16:30,0.0,DELAY,3.0,DELAY,DELAY,4944.188613872238,0.0,DELAY,0.0,DELAY
2025-05-17 17:16:45,0.0,DELAY,3.0,DELAY,DELAY,4496.574446872572,0.0,DELAY,0.0,DELAY
2025-05-17 17:17:00,0.0,DELAY,3.0,DELAY,DELAY,4416.954275787774,0.0,DELAY,0.0,DELAY
2025-05-17 17:17:15,0.0,DELAY,33.0,DELAY,DELAY,4607.75,0.0,DELAY,0.0,DELAY
2025-05-17 17:17:30,0.0,DELAY,33.0,DELAY,DELAY,5631.0,0.0,DELAY,0.0,DELAY
2025-05-17 17:17:45,0.0,DELAY,33.0,DELAY,DELAY,5596.0,0.0,DELAY,0.0,DELAY
2025-05-17 17:18:00,0.0,DELAY,33.0,DELAY,DELAY,5576.0,0.0,DELAY,0.0,DELAY
2025-05-17 17:18:15,0.0,DELAY,0.0,DELAY,DELAY,5535.435763653014,0.0,DELAY,0.0,DELAY
2025-05-17 17:18:30,0.0,DELAY,0.0,DELAY,DELAY,5555.149342657343,0.0,DELAY,0.0,DELAY
2025-05-17 17:18:45,0.0,DELAY,0.0,DELAY,DELAY,5631.216276667777,0.0,DELAY,0.0,DELAY
2025-05-17 17:19:00,0.0,DELAY,0.0,DELAY,DELAY,5634.040296509047,0.0,DELAY,0.0,DELAY
2025-05-17 17:19:15,0.0,DELAY,0.0,DELAY,DELAY,5534.154001845376,0.0,DELAY,0.0,DELAY
2025-05-17 17:19:30,0.0,DELAY,0.0,DELAY,DELAY,5390.332393953268,0.0,DELAY,0.0,DELAY
2025-05-17 17:19:45,0.0,DELAY,0.0,DELAY,DELAY,4992.5968491231,0.0,DELAY,0.0,DELAY
2025-05-17 17:20:00,0.0,DELAY,0.0,DELAY,DELAY,4883.186341852591,0.0,DELAY,0.0,DELAY
2025-05-17 17:20:15,0.0,DELAY,12.0,DELAY,DELAY,4912.22483404096,3.0,DELAY,0.0,DELAY
2025-05-17 17:20:30,0.0,DELAY,12.0,DELAY,DELAY,4897.1497585886345,3.0,DELAY,0.0,DELAY
2025-05-17 17:20:45,0.0,DELAY,12.0,DELAY,DELAY,5127.181797424796,3.0,DELAY,0.0,DELAY
2025-05-17 17:21:00,0.0,DELAY,12.0,DELAY,DELAY,5164.856472680097,3.0,DELAY,0.0,DELAY
2025-05-17 17:21:15,0.0,DELAY,298.0,DELAY,DELAY,5144.34988084138,5.0,DELAY,0.0,DELAY
2025-05-17 17:21:30,0.0,DELAY,298.0,DELAY,DELAY,5139.327502497502,5.0,DELAY,0.0,DELAY
2025-05-17 17:21:45,0.0,DELAY,298.0,DELAY,DELAY,5212.485443362192,5.0,DELAY,0.0,DELAY
2025-05-17 17:22:00,0.0,DELAY,298.0,DELAY,DELAY,5205.007137806638,5.0,DELAY,0.0,DELAY
2025-05-17 17:22:15,0.0,DELAY,0.0,DELAY,DELAY,5138.17722086247,5.0,DELAY,0.0,DELAY
2025-05-17 17:22:30,0.0,DELAY,0.0,DELAY,DELAY,4973.069425116549,5.0,DELAY,0.0,DELAY
2025-05-17 17:22:45,0.0,DELAY,0.0,DELAY,DELAY,4486.117210389285,5.0,DELAY,0.0,DELAY
2025-05-17 17:23:00,0.0,DELAY,0.0,DELAY,DELAY,4380.040334083238,5.0,DELAY,0.0,DELAY
2025-05-17 17:23:15,0.0,DELAY,40.0,DELAY,DELAY,4356.732532214518,7.0,DELAY,0.0,DELAY
2025-05-17 17:23:30,0.0,DELAY,40.0,DELAY,DELAY,4276.264208097459,7.0,DELAY,0.0,DELAY
2025-05-17 17:23:45,0.0,DELAY,40.0,DELAY,DELAY,3947.398011530136,7.0,DELAY,0.0,DELAY
2025-05-17 17:24:00,0.0,DELAY,40.0,DELAY,DELAY,3907.366692670213,7.0,DELAY,0.0,DELAY
2025-05-17 17:24:15,0.0,DELAY,18.0,DELAY,DELAY,3894.8460702725865,2.0,DELAY,0.0,DELAY
2025-05-17 17:24:30,0.0,DELAY,18.0,DELAY,DELAY,3946.456827852702,2.0,DELAY,0.0,DELAY
2025-05-17 17:24:45,0.0,DELAY,18.0,DELAY,DELAY,4296.391146192695,2.0,DELAY,0.0,DELAY
2025-05-17 17:25:00,0.0,DELAY,18.0,DELAY,DELAY,4334.86191686647,2.0,DELAY,0.0,DELAY
2025-05-17 17:25:15,0.0,DELAY,7.0,DELAY,DELAY,4369.535433225109,1.0,DELAY,0.0,DELAY
2025-05-17 17:25:30,0.0,DELAY,7.0,DELAY,DELAY,4408.860884476634,1.0,DELAY,0.0,DELAY
2025-05-17 17:25:45,0.0,DELAY,7.0,DELAY,DELAY,4778.779112304361,1.0,DELAY,0.0,DELAY
2025-05-17 17:26:00,0.0,DELAY,7.0,DELAY,DELAY,4807.942066849815,1.0,DELAY,0.0,DELAY
2025-05-17 17:26:15,0.0,DELAY,94.0,DELAY,DELAY,4782.275064185812,1.0,DELAY,0.0,DELAY
2025-05-17 17:26:30,0.0,DELAY,94.0,DELAY,DELAY,4632.3119315129325,1.0,DELAY,0.0,DELAY
2025-05-17 17:26:45,0.0,DELAY,94.0,DELAY,DELAY,4395.759371468401,1.0,DELAY,0.0,DELAY
2025-05-17 17:27:00,0.0,DELAY,94.0,DELAY,DELAY,4401.48185386656,1.0,DELAY,0.0,DELAY
2025-05-17 17:27:15,0.0,DELAY,0.0,DELAY,DELAY,4378.904463070265,0.0,DELAY,0.0,DELAY
2025-05-17 17:27:30,0.0,DELAY,0.0,DELAY,DELAY,4437.5136637806645,0.0,DELAY,0.0,DELAY
2025-05-17 17:27:45,0.0,DELAY,0.0,DELAY,DELAY,4778.263504495502,0.0,DELAY,0.0,DELAY
2025-05-17 17:28:00,0.0,DELAY,0.0,DELAY,DELAY,4809.829719724718,0.0,DELAY,0.0,DELAY
2025-05-17 17:28:15,0.0,DELAY,27.0,DELAY,DELAY,4710.075043345543,0.0,DELAY,0.0,DELAY
2025-05-17 17:28:30,0.0,DELAY,27.0,DELAY,DELAY,4661.738612248863,0.0,DELAY,0.0,DELAY
