minutes,network_tcp_srtt_source,network_tcp_srtt_SRTT_cumulative,other_tcp_customersservice_customers_service,other_tcp_customersservice_source,other_tcp_visitsservice_visits_service,other_tcp_visitsservice_source
2080-11-30 12:15:15,CACHE_FILLING,4596.461384716994,,,0.0,CACHE_FILLING
2080-11-30 12:15:30,CACHE_FILLING,4552.833025267287,,,0.0,CACHE_FILLING
2080-11-30 12:15:45,CACHE_FILLING,4588.457115196447,,,0.0,CACHE_FILLING
2080-11-30 12:16:00,CACHE_FILLING,4400.40094175562,,,0.0,CACHE_FILLING
2080-11-30 12:16:15,CACHE_FILLING,4124.477357700254,,,0.0,CACHE_FILLING
2080-11-30 12:16:30,CACHE_FILLING,4208.071268121462,,,0.0,CACHE_FILLING
2080-11-30 12:16:45,CACHE_FILLING,4245.600260044838,,,0.0,CACHE_FILLING
2080-11-30 12:17:00,CACHE_FILLING,4302.150148472709,,,0.0,CACHE_FILLING
2080-11-30 12:17:15,CACHE_FILLING,4505.841118019564,,,0.0,CACHE_FILLING
2080-11-30 12:17:30,CACHE_FILLING,4543.365706717921,,,0.0,CACHE_FILLING
2080-11-30 12:17:45,CACHE_FILLING,4547.157978658161,,,0.0,CACHE_FILLING
2080-11-30 12:18:00,CACHE_FILLING,4514.127003920748,,,0.0,CACHE_FILLING
2080-11-30 12:18:15,CACHE_FILLING,5070.957671409199,,,0.0,CACHE_FILLING
2080-11-30 12:18:30,CACHE_FILLING,5057.683050053624,,,0.0,CACHE_FILLING
2080-11-30 12:18:45,CACHE_FILLING,5061.012907908538,,,0.0,CACHE_FILLING
2080-11-30 12:19:00,CACHE_FILLING,5069.201179733934,,,0.0,CACHE_FILLING
2080-11-30 12:19:15,CACHE_FILLING,5133.277977494999,,,0.0,CACHE_FILLING
2080-11-30 12:19:30,CACHE_FILLING,5113.390751804022,,,0.0,CACHE_FILLING
2080-11-30 12:19:45,CACHE_FILLING,5066.503883366902,,,0.0,CACHE_FILLING
2080-11-30 12:20:00,CACHE_FILLING,4713.0484089353085,,,0.0,CACHE_FILLING
2080-11-30 12:20:15,CACHE_FILLING,4170.1488576102365,,,0.0,CACHE_FILLING
2080-11-30 12:20:30,CACHE_FILLING,4073.63214747612,,,0.0,CACHE_FILLING
2080-11-30 12:20:45,CACHE_FILLING,3967.814458066498,,,0.0,CACHE_FILLING
2080-11-30 12:21:00,CACHE_FILLING,3930.928900916822,,,0.0,CACHE_FILLING
2080-11-30 12:21:15,CACHE_FILLING,3604.4314613187935,,,0.0,CACHE_FILLING
2080-11-30 12:21:30,CACHE_FILLING,3563.755717633164,,,0.0,CACHE_FILLING
2080-11-30 12:21:45,CACHE_FILLING,3660.966764177064,,,0.0,CACHE_FILLING
2080-11-30 12:22:00,CACHE_FILLING,3723.471623897048,,,0.0,CACHE_FILLING
2080-11-30 12:22:15,CACHE_FILLING,4187.091310137616,,,0.0,CACHE_FILLING
