Time,connection_1,connection_2,connection_3
2025-05-19 23:06:45,,0,,
2025-05-19 23:07:00,,0,,
2025-05-19 23:07:15,,0,,
2025-05-19 23:07:30,,0,,
2025-05-19 23:07:45,,0,,
2025-05-19 23:08:00,,0,,
2025-05-19 23:08:15,,0,,0
2025-05-19 23:08:30,,0,,0
2025-05-19 23:08:45,,0,,0
2025-05-19 23:09:00,,0,,0
2025-05-19 23:09:15,,,,4
2025-05-19 23:09:30,,,,4
2025-05-19 23:09:45,,,,4
2025-05-19 23:10:00,,,,4
2025-05-19 23:10:15,,,,0
2025-05-19 23:10:30,,,,0
2025-05-19 23:10:45,,,,0
2025-05-19 23:11:00,,,,0
2025-05-19 23:11:15,,,,0
2025-05-19 23:11:30,,,,0
2025-05-19 23:11:45,,,,0
2025-05-19 23:12:00,,,,0
2025-05-19 23:12:15,,,,0
2025-05-19 23:12:30,,,,0
2025-05-19 23:12:45,,,,0
2025-05-19 23:13:00,,,,0
2025-05-19 23:13:15,,,,0
2025-05-19 23:13:30,,,,0
2025-05-19 23:13:45,,,,0
2025-05-19 23:14:00,,,,0
2025-05-19 23:14:15,,,,57
2025-05-19 23:14:30,,,,57
2025-05-19 23:14:45,,,,57
2025-05-19 23:15:00,,,,57
2025-05-19 23:15:15,,,,100
2025-05-19 23:15:30,,,,100
2025-05-19 23:15:45,,,,100
2025-05-19 23:16:00,,,,100
2025-05-19 23:16:15,,,,111
2025-05-19 23:16:30,,,,111
2025-05-19 23:16:45,,,,111
2025-05-19 23:17:00,,,,111
2025-05-19 23:17:15,,,,92
2025-05-19 23:17:30,,,,92
2025-05-19 23:17:45,,,,92
2025-05-19 23:18:00,,,,92
2025-05-19 23:18:15,,,,101
2025-05-19 23:18:30,,,,101
2025-05-19 23:18:45,,,,101
2025-05-19 23:19:00,,,,101
2025-05-19 23:19:15,,,,65
2025-05-19 23:19:30,,,,65
2025-05-19 23:19:45,,,,65
2025-05-19 23:20:00,,,,65
2025-05-19 23:20:15,,,,70
2025-05-19 23:20:30,,,,70
2025-05-19 23:20:45,,,,70
2025-05-19 23:21:00,,,,70
2025-05-19 23:21:15,,,,221
2025-05-19 23:21:30,,,,221
2025-05-19 23:21:45,,,,221
2025-05-19 23:22:00,,,,221
2025-05-19 23:22:15,,,,223
2025-05-19 23:22:30,,,,223
2025-05-19 23:22:45,,,,223
2025-05-19 23:23:00,,,,223
2025-05-19 23:23:15,,,,164
