Time,vets_service,source,Minutes
2025-05-17 18:15:30,3.0,CPU_STRESS,63.5
2025-05-17 18:15:45,3.0,CPU_STRESS,63.75
2025-05-17 18:16:00,3.0,CPU_STRESS,64.0
2025-05-17 18:16:15,3.0,CPU_STRESS,64.25
2025-05-17 18:16:30,3.0,CPU_STRESS,64.5
2025-05-17 18:16:45,3.0,CPU_STRESS,64.75
2025-05-17 18:17:00,3.0,CPU_STRESS,65.0
2025-05-17 18:17:15,3.0,CPU_STRESS,65.25
2025-05-17 18:17:30,3.0,CPU_STRESS,65.5
2025-05-17 18:17:45,3.0,CPU_STRESS,65.75
2025-05-17 18:18:00,3.0,CPU_STRESS,66.0
2025-05-17 18:18:15,3.0,CPU_STRESS,66.25
2025-05-17 18:18:30,3.0,CPU_STRESS,66.5
2025-05-17 18:18:45,2.25,CPU_STRESS,66.75
2025-05-17 18:19:00,2.25,CPU_STRESS,67.0
2025-05-17 18:19:15,2.25,CPU_STRESS,67.25
2025-05-17 18:19:30,2.25,CPU_STRESS,67.5
2025-05-17 18:19:45,2.25,CPU_STRESS,67.75
2025-05-17 18:24:00,0.0,CPU_STRESS,72.0
2025-05-17 18:24:15,0.0,CPU_STRESS,72.25
2025-05-17 18:24:30,0.0,CPU_STRESS,72.5
2025-05-17 18:24:45,0.0,CPU_STRESS,72.75
2025-05-17 18:25:00,0.0,CPU_STRESS,73.0
2025-05-17 18:25:15,0.0,CPU_STRESS,73.25
2025-05-17 18:25:30,0.0,CPU_STRESS,73.5
2025-05-17 18:25:45,0.0,CPU_STRESS,73.75
2025-05-17 18:26:00,0.0,CPU_STRESS,74.0
2025-05-17 18:26:15,0.0,CPU_STRESS,74.25
2025-05-17 18:26:30,0.0,CPU_STRESS,74.5
2025-05-17 18:26:45,0.0,CPU_STRESS,74.75
2025-05-17 18:27:00,0.0,CPU_STRESS,75.0
2025-05-17 18:27:15,0.0,CPU_STRESS,75.25
2025-05-17 18:27:30,0.0,CPU_STRESS,75.5
2025-05-17 18:27:45,0.0,CPU_STRESS,75.75
2025-05-17 18:28:00,0.0,CPU_STRESS,76.0
2025-05-17 18:28:15,0.0,CPU_STRESS,76.25
2025-05-17 18:28:30,0.0,CPU_STRESS,76.5
2025-05-17 18:28:45,0.0,CPU_STRESS,76.75
2025-05-17 18:29:00,0.0,CPU_STRESS,77.0
2025-05-17 18:29:15,0.0,CPU_STRESS,77.25
2025-05-17 18:29:30,0.0,CPU_STRESS,77.5
2025-05-17 18:29:45,0.0,CPU_STRESS,77.75
2025-05-17 18:31:00,15.75,CPU_STRESS,79.0
2025-05-17 18:31:15,15.75,CPU_STRESS,79.25
2025-05-17 18:31:30,6.0,CPU_STRESS,79.5
2025-05-17 18:31:45,6.0,CPU_STRESS,79.75
2025-05-17 18:32:00,2.25,CPU_STRESS,80.0
2025-05-17 18:32:15,2.25,CPU_STRESS,80.25
2025-05-17 18:32:30,0.0,CPU_STRESS,80.5
2025-05-17 18:32:45,0.0,CPU_STRESS,80.75
2025-05-17 18:33:00,0.0,CPU_STRESS,81.0
2025-05-17 18:33:15,0.0,CPU_STRESS,81.25
2025-05-17 18:33:30,0.0,CPU_STRESS,81.5
2025-05-17 18:33:45,0.0,CPU_STRESS,81.75
2025-05-17 18:34:00,0.0,CPU_STRESS,82.0
2025-05-17 18:34:15,0.0,CPU_STRESS,82.25
2025-05-17 18:34:30,0.0,CPU_STRESS,82.5
2025-05-17 18:34:45,0.0,CPU_STRESS,82.75
2025-05-17 18:35:00,0.0,CPU_STRESS,83.0
2025-05-17 18:35:15,0.0,CPU_STRESS,83.25
2025-05-17 18:35:30,0.0,CPU_STRESS,83.5
2025-05-17 18:35:45,0.0,CPU_STRESS,83.75
2025-05-17 18:36:00,0.0,CPU_STRESS,84.0
2025-05-17 18:36:15,0.0,CPU_STRESS,84.25
2025-05-17 18:36:30,0.0,CPU_STRESS,84.5
2025-05-17 18:36:45,0.0,CPU_STRESS,84.75
2025-05-17 18:37:00,0.0,CPU_STRESS,85.0
2025-05-17 18:37:15,0.0,CPU_STRESS,85.25
2025-05-17 18:37:30,0.0,CPU_STRESS,85.5
2025-05-17 18:37:45,0.0,CPU_STRESS,85.75
2025-05-17 18:38:00,5.25,CPU_STRESS,86.0
2025-05-17 18:38:15,5.25,CPU_STRESS,86.25
2025-05-17 18:38:30,5.25,CPU_STRESS,86.5
2025-05-17 18:38:45,5.25,CPU_STRESS,86.75
2025-05-17 18:39:00,0.75,CPU_STRESS,87.0
2025-05-17 18:39:15,0.75,CPU_STRESS,87.25
2025-05-17 18:39:30,0.75,CPU_STRESS,87.5
2025-05-17 18:39:45,0.75,CPU_STRESS,87.75
2025-05-17 18:40:00,0.75,CPU_STRESS,88.0
2025-05-17 18:40:15,1.0,CPU_STRESS,88.25
2025-05-17 18:40:30,1.0,CPU_STRESS,88.5
2025-05-17 18:40:45,1.0,CPU_STRESS,88.75
2025-05-17 18:41:00,1.0,CPU_STRESS,89.0
2025-05-17 18:41:15,1.0,CPU_STRESS,89.25
2025-05-17 18:41:30,1.0,CPU_STRESS,89.5
2025-05-17 18:41:45,1.0,CPU_STRESS,89.75
2025-05-17 18:42:00,1.0,CPU_STRESS,90.0
2025-05-17 18:42:15,1.0,CPU_STRESS,90.25
2025-05-17 18:42:30,1.0,CPU_STRESS,90.5
2025-05-17 18:42:45,0.75,CPU_STRESS,90.75
2025-05-17 18:43:00,0.75,CPU_STRESS,91.0
2025-05-17 18:43:15,0.75,CPU_STRESS,91.25
2025-05-17 18:43:30,0.75,CPU_STRESS,91.5
2025-05-17 18:43:45,0.75,CPU_STRESS,91.75
2025-05-17 18:52:00,0.0,CPU_STRESS,100.0
2025-05-17 18:52:15,0.0,CPU_STRESS,100.25
2025-05-17 18:52:30,0.0,CPU_STRESS,100.5
2025-05-17 18:52:45,0.0,CPU_STRESS,100.75
2025-05-17 18:53:00,0.0,CPU_STRESS,101.0
2025-05-17 18:53:15,0.0,CPU_STRESS,101.25
2025-05-17 18:53:30,0.0,CPU_STRESS,101.5
2025-05-17 18:53:45,0.0,CPU_STRESS,101.75
2025-05-17 18:54:00,0.0,CPU_STRESS,102.0
2025-05-17 18:54:15,0.0,CPU_STRESS,102.25
2025-05-17 18:54:30,0.0,CPU_STRESS,102.5
2025-05-17 18:54:45,0.0,CPU_STRESS,102.75
2025-05-17 18:55:00,0.0,CPU_STRESS,103.0
2025-05-17 18:55:15,0.0,CPU_STRESS,103.25
2025-05-17 18:55:30,0.0,CPU_STRESS,103.5
2025-05-17 18:55:45,0.0,CPU_STRESS,103.75
2025-05-17 18:56:00,0.0,CPU_STRESS,104.0
2025-05-17 18:56:15,0.0,CPU_STRESS,104.25
2025-05-17 18:56:30,0.0,CPU_STRESS,104.5
2025-05-17 18:56:45,0.0,CPU_STRESS,104.75
