minutes,io_mem_available,io_source,io_mem_cache,io_source,io_mem_util,io_source
2025-07-15 17:42:45,12538248,threadfull,7013615,threadfull,47.6814423037897,threadfull
2025-07-15 17:43:00,12519449,threadfull,7013718,threadfull,47.690475270822674,threadfull
2025-07-15 17:43:15,12508369,threadfull,7013985,threadfull,47.73230860415599,threadfull
2025-07-15 17:43:30,12440599,threadfull,7014360,threadfull,48.13762960114977,threadfull
2025-07-15 17:43:45,12416423,threadfull,7014579,threadfull,48.27073766433415,threadfull
2025-07-15 17:44:00,12421132,threadfull,7014920,threadfull,48.24596614736425,threadfull
2025-07-15 17:44:15,12421937,threadfull,7015163,threadfull,48.25048757593568,threadfull
2025-07-15 17:44:30,12422799,threadfull,7015300,threadfull,48.25108757593568,threadfull
2025-07-15 17:44:45,12419273,threadfull,7015610,threadfull,48.25269471879282,threadfull
2025-07-15 17:45:00,12418094,threadfull,7015785,threadfull,48.25530186164997,threadfull
2025-07-15 17:45:15,12417720,threadfull,7016101,threadfull,48.255101861649976,threadfull
2025-07-15 17:45:30,12407509,threadfull,7016569,threadfull,48.26329233784044,threadfull
2025-07-15 17:45:45,12384043,threadfull,7016770,threadfull,48.26529233784044,threadfull
2025-07-15 17:46:00,12374126,threadfull,7017120,threadfull,48.308361024709136,threadfull
2025-07-15 17:46:15,12356878,threadfull,7017415,threadfull,48.34404259511243,threadfull
2025-07-15 17:46:30,12298307,threadfull,7017725,threadfull,48.66650447457314,threadfull
2025-07-15 17:46:45,12257897,threadfull,7017906,threadfull,48.83942212663068,threadfull
2025-07-15 17:47:00,12251249,threadfull,7018197,threadfull,48.916249576264384,threadfull
2025-07-15 17:47:15,12251041,threadfull,7018361,threadfull,48.918347195312,threadfull
2025-07-15 17:47:30,12254263,threadfull,7018606,threadfull,48.88070195027926,threadfull
2025-07-15 17:47:45,12242875,threadfull,7018841,threadfull,48.92350607532089,threadfull
2025-07-15 17:48:00,12231323,threadfull,7019007,threadfull,48.98013438451167,threadfull
2025-07-15 17:48:15,12230289,threadfull,7019305,threadfull,48.98258135420864,threadfull
2025-07-15 17:48:30,12213303,threadfull,7019591,threadfull,48.984448020875305,threadfull
2025-07-15 17:48:45,12189507,threadfull,7019833,threadfull,48.99586865579594,threadfull
2025-07-15 17:49:00,12169521,threadfull,7020038,threadfull,49.00299365579595,threadfull
2025-07-15 17:49:15,12161917,threadfull,7020266,threadfull,49.02148889389119,threadfull
2025-07-15 17:49:30,12112484,threadfull,7020669,threadfull,49.2628428799271,threadfull
2025-07-15 17:49:45,12066663,threadfull,7020902,threadfull,49.35587504082176,threadfull
2025-07-15 17:50:00,12033058,threadfull,7021150,threadfull,49.49843121728416,threadfull
2025-07-15 17:50:15,12033058,threadfull,7021425,threadfull,49.49843121728416,threadfull
2025-07-15 17:50:30,12120344,threadfull,7021925,threadfull,49.4,threadfull
2025-07-15 17:50:45,12120344,threadfull,7022128,threadfull,49.4,threadfull
2025-07-15 17:51:00,12089115,threadfull,7022150,threadfull,49.525,threadfull
2025-07-15 17:51:15,11972032,threadfull,7022358,threadfull,49.7,threadfull
2025-07-15 17:51:30,11972032,threadfull,7022584,threadfull,49.7,threadfull
2025-07-15 17:51:45,11972032,threadfull,7022671,threadfull,49.7,threadfull
2025-07-15 17:52:00,11939000,threadfull,7022797,threadfull,49.7,threadfull
2025-07-15 17:52:15,11985184,threadfull,7022923,threadfull,49.7,threadfull
2025-07-15 17:52:30,11980351,threadfull,7023451,threadfull,49.7,threadfull
2025-07-15 17:52:45,11975518,threadfull,7024005,threadfull,49.7,threadfull
2025-07-15 17:53:00,11975518,threadfull,7027658,threadfull,49.825,threadfull
2025-07-15 17:53:15,10219584,threadfull,7036474,threadfull,53.45,threadfull
2025-07-15 17:53:30,10219584,threadfull,7040730,threadfull,59.3,threadfull
2025-07-15 17:53:45,10219584,threadfull,7041642,threadfull,59.3,threadfull
2025-07-15 17:54:00,10244239,threadfull,7042759,threadfull,59.3,threadfull
2025-07-15 17:54:15,10110314,threadfull,7042769,threadfull,61.45,threadfull
2025-07-15 17:54:30,9672202,threadfull,7042917,threadfull,61.45,threadfull
2025-07-15 17:54:45,9672202,threadfull,7042935,threadfull,61.45,threadfull
2025-07-15 17:55:00,9672202,threadfull,7042892,threadfull,61.45,threadfull
2025-07-15 17:55:15,9672202,threadfull,7042892,threadfull,61.45,threadfull
2025-07-15 17:55:30,9642830,threadfull,7042905,threadfull,61.6,threadfull
2025-07-15 17:55:45,9642830,threadfull,7043066,threadfull,61.6,threadfull
2025-07-15 17:56:00,9642830,threadfull,7043139,threadfull,61.6,threadfull
2025-07-15 17:56:15,9639562,threadfull,7043048,threadfull,61.6,threadfull
2025-07-15 17:56:30,9639562,threadfull,7043006,threadfull,61.6,threadfull
2025-07-15 17:56:45,9639562,threadfull,7042954,threadfull,60.72479181543663,threadfull
2025-07-15 17:57:00,9059540,threadfull,7041993,threadfull,60.72479181543663,threadfull
2025-07-15 17:57:15,9492020,threadfull,7041247,threadfull,60.72479181543663,threadfull
2025-07-15 17:57:30,9492020,threadfull,7037486,threadfull,60.24974943646956,threadfull
2025-07-15 17:57:45,9407053,threadfull,7036906,threadfull,60.07003437175426,threadfull
2025-07-15 17:58:00,9315467,threadfull,7036531,threadfull,60.50602563829571,threadfull
2025-07-15 17:58:15,9315467,threadfull,7036544,threadfull,60.60168730496238,threadfull
2025-07-15 17:58:30,9117539,threadfull,7036409,threadfull,61.40937711678391,threadfull
2025-07-15 17:58:45,9053056,threadfull,7036431,threadfull,61.49828832869558,threadfull
2025-07-15 17:59:00,9029876,threadfull,7036602,threadfull,61.35618072802641,threadfull
2025-07-15 17:59:15,9029876,threadfull,7036617,threadfull,61.35618072802641,threadfull
2025-07-15 17:59:30,9049501,threadfull,7036504,threadfull,61.35618072802641,threadfull
2025-07-15 17:59:45,9090074,threadfull,7036517,threadfull,61.35618072802641,threadfull
2025-07-15 18:00:00,9128508,threadfull,7036677,threadfull,61.35618072802641,threadfull
2025-07-15 18:00:15,9128508,threadfull,7036696,threadfull,61.35618072802641,threadfull
2025-07-15 18:00:30,9508246,threadfull,7036684,threadfull,59.32709935570964,threadfull
2025-07-15 18:00:45,9634141,threadfull,7036748,threadfull,58.75946875020404,threadfull
2025-07-15 18:01:00,9527538,threadfull,7036893,threadfull,59.21555148462646,threadfull
2025-07-15 18:01:15,9482517,threadfull,7036965,threadfull,59.38174264624262,threadfull
2025-07-15 18:01:30,8949310,threadfull,7036948,threadfull,61.65549635322532,threadfull
2025-07-15 18:01:45,8813125,threadfull,7036987,threadfull,62.5502946859016,threadfull
2025-07-15 18:02:00,8744670,threadfull,7037169,threadfull,62.85874787666518,threadfull
2025-07-15 18:02:15,8743535,threadfull,7037200,threadfull,62.86694787666517,threadfull
2025-07-15 18:02:30,8723762,threadfull,7037194,threadfull,62.980705782589055,threadfull
2025-07-15 18:02:45,8720915,threadfull,7037243,threadfull,63.01495688663629,threadfull
2025-07-15 18:03:00,8737404,threadfull,7037360,threadfull,62.99685257290736,threadfull
2025-07-15 18:03:15,8734527,threadfull,7037386,threadfull,62.97269154889302,threadfull
2025-07-15 18:03:30,8708497,threadfull,7037446,threadfull,62.95830555988202,threadfull
2025-07-15 18:03:45,8701823,threadfull,7037576,threadfull,62.95830555988202,threadfull
2025-07-15 18:04:00,8707818,threadfull,7037750,threadfull,62.95830555988202,threadfull
2025-07-15 18:04:15,8707818,threadfull,7037845,threadfull,62.95830555988202,threadfull
2025-07-15 18:04:30,8708743,threadfull,7037903,threadfull,62.95830555988202,threadfull
2025-07-15 18:04:45,8709875,threadfull,7038099,threadfull,62.95100000432647,threadfull
2025-07-15 18:05:00,8739297,threadfull,7038237,threadfull,62.94401136796283,threadfull
2025-07-15 18:05:15,8752829,threadfull,7038366,threadfull,62.93317803462949,threadfull
2025-07-15 18:05:30,8968292,threadfull,7038383,threadfull,61.98607232086617,threadfull
2025-07-15 18:05:45,9065355,threadfull,7038433,threadfull,61.36457919329607,threadfull
