minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_vetsservice_vets_service,tcp_vetsservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2025-05-17 16:31:30,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:31:45,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:32:00,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:32:15,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:32:30,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:32:45,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:33:00,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:33:15,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:33:30,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:33:45,24,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:34:00,45,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:34:15,45,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:34:30,45,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:34:45,45,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:35:00,99,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:35:15,99,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:35:30,99,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:35:45,99,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:36:00,329,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:36:15,329,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:36:30,329,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:36:45,329,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:37:00,35,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:37:15,35,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
2025-05-17 16:37:30,35,THREADFULL,0.0,THREADFULL,0.0,THREADFULL
