Time,mem_available
2025-05-18 00:01:00,16749692
2025-05-18 00:01:15,16749692
2025-05-18 00:01:30,16376580
2025-05-18 00:01:45,16376580
2025-05-18 00:02:00,16376580
2025-05-18 00:02:15,16376580
2025-05-18 00:02:30,15950908
2025-05-18 00:02:45,15950908
2025-05-18 00:03:00,15950908
2025-05-18 00:03:15,15950908
2025-05-18 00:03:30,15319364
2025-05-18 00:03:45,15319364
2025-05-18 00:04:00,15319364
2025-05-18 00:04:15,15319364
2025-05-18 00:04:30,14730524
2025-05-18 00:04:45,14730524
2025-05-18 00:05:00,14730524
2025-05-18 00:05:15,14730524
2025-05-18 00:05:30,14166344
2025-05-18 00:05:45,14166344
2025-05-18 00:06:00,14166344
2025-05-18 00:06:15,14166344
2025-05-18 00:06:30,13942156
2025-05-18 00:06:45,13942156
2025-05-18 00:07:00,13942156
2025-05-18 00:07:15,13942156
2025-05-18 00:07:30,13506792
2025-05-18 00:07:45,13506792
2025-05-18 00:08:00,13506792
2025-05-18 00:08:15,13506792
2025-05-18 00:08:30,13087228
2025-05-18 00:08:45,13087228
2025-05-18 00:09:00,13087228
2025-05-18 00:09:15,13087228
2025-05-18 00:09:30,12815060
2025-05-18 00:09:45,12815060
2025-05-18 00:10:00,12815060
2025-05-18 00:10:15,12815060
2025-05-18 00:10:30,12618900
2025-05-18 00:10:45,12618900
2025-05-18 00:11:00,12618900
2025-05-18 00:11:15,12618900
2025-05-18 00:11:30,12425200
2025-05-18 00:11:45,12425200
2025-05-18 00:12:00,12425200
2025-05-18 00:12:15,12425200
2025-05-18 00:12:30,12404372
2025-05-18 00:12:45,12404372
2025-05-18 00:13:00,12404372
2025-05-18 00:13:15,12404372
2025-05-18 00:13:30,12239660
2025-05-18 00:13:45,12239660
2025-05-18 00:14:00,12239660
2025-05-18 00:14:15,12239660
2025-05-18 00:14:30,12078616
2025-05-18 00:14:45,12078616
2025-05-18 00:15:00,12078616
2025-05-18 00:15:15,12078616
2025-05-18 00:15:30,12081496
2025-05-18 00:15:45,12081496
2025-05-18 00:16:00,12081496
2025-05-18 00:16:15,12081496
2025-05-18 00:16:30,11779844
2025-05-18 00:16:45,11779844
2025-05-18 00:17:00,11779844
2025-05-18 00:17:15,11779844
2025-05-18 00:17:30,11787628
2025-05-18 00:17:45,11787628
2025-05-18 00:18:00,11787628
2025-05-18 00:18:15,11787628
2025-05-18 00:18:30,11872232
2025-05-18 00:18:45,11872232
2025-05-18 00:19:00,11872232
2025-05-18 00:19:15,11872232
2025-05-18 00:19:30,11741328
2025-05-18 00:19:45,11741328
2025-05-18 00:20:00,11741328
2025-05-18 00:20:15,11741328
2025-05-18 00:20:30,11731076
2025-05-18 00:20:45,11731076
2025-05-18 00:21:00,11731076
2025-05-18 00:21:15,11731076
2025-05-18 00:21:30,11552144
2025-05-18 00:21:45,11552144
2025-05-18 00:22:00,11552144
2025-05-18 00:22:15,11552144
2025-05-18 00:22:30,11573664
2025-05-18 00:22:45,11573664
2025-05-18 00:23:00,11573664
2025-05-18 00:23:15,11573664
2025-05-18 00:23:30,11420172
2025-05-18 00:23:45,11420172
2025-05-18 00:24:00,11420172
2025-05-18 00:24:15,11420172
2025-05-18 00:24:30,10874980
2025-05-18 00:24:45,10874980
2025-05-18 00:25:00,10874980
2025-05-18 00:25:15,10874980
2025-05-18 00:25:30,9183916
2025-05-18 00:25:45,9183916
2025-05-18 00:26:00,9183916
2025-05-18 00:26:15,9183916
2025-05-18 00:26:30,8345136
2025-05-18 00:26:45,8345136
2025-05-18 00:27:00,8345136
2025-05-18 00:27:15,8345136
2025-05-18 00:27:30,9887164
2025-05-18 00:27:45,9887164
2025-05-18 00:28:00,9887164
2025-05-18 00:28:15,9887164
2025-05-18 00:28:30,8325960
2025-05-18 00:28:45,8325960
2025-05-18 00:29:00,8325960
2025-05-18 00:29:15,8325960
2025-05-18 00:29:30,8196484
2025-05-18 00:29:45,8196484
2025-05-18 00:30:00,8196484
2025-05-18 00:30:15,8196484
2025-05-18 00:30:30,11817788
2025-05-18 00:30:45,11817788
2025-05-18 00:31:00,11817788
2025-05-18 00:31:15,11817788
