Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,1900544,1220608,0,4325376,cache_filling,0.0
2025-05-17 17:00:00,1710080,2953216,0,4325376,cache_filling,0.25
2025-05-17 17:00:15,1710080,2953216,0,4325376,cache_filling,0.5
2025-05-17 17:00:30,1710080,2974607,0,4825497,cache_filling,0.75
2025-05-17 17:00:45,1710080,3040363,0,4825497,cache_filling,1.0
2025-05-17 17:01:00,2289664,3040363,0,4861442,cache_filling,1.25
2025-05-17 17:01:15,2289664,2912766,0,5030840,cache_filling,1.5
2025-05-17 17:01:30,2289664,2903108,0,5602053,cache_filling,1.75
2025-05-17 17:01:45,2205393,2958674,0,5667780,cache_filling,2.0
2025-05-17 17:02:00,3997696,2961489,0,5911782,cache_filling,2.25
2025-05-17 17:02:15,3997696,3057349,0,7486530,cache_filling,2.5
2025-05-17 17:02:30,3997696,3834469,0,7641730,cache_filling,2.75
2025-05-17 17:02:45,3997696,3932865,0,6691562,cache_filling,3.0
2025-05-17 17:03:00,2156544,4081601,0,6610722,cache_filling,3.25
2025-05-17 17:03:15,2156544,4043418,0,6459764,cache_filling,3.5
2025-05-17 17:03:30,2156544,4063095,0,6181008,cache_filling,3.75
2025-05-17 17:03:45,2156544,4139037,0,6181008,cache_filling,4.0
2025-05-17 17:04:00,2301952,4144136,0,6191974,cache_filling,4.25
2025-05-17 17:04:15,2301952,4385686,0,6628893,cache_filling,4.5
2025-05-17 17:04:30,2301952,4432150,0,6735765,cache_filling,4.75
2025-05-17 17:04:45,2201460,4443838,0,6718917,cache_filling,5.0
2025-05-17 17:05:00,2200471,4443838,0,6737135,cache_filling,5.25
2025-05-17 17:05:15,2176293,4443838,0,6912000,cache_filling,5.5
2025-05-17 17:05:30,2190099,4443188,0,6920207,cache_filling,5.75
2025-05-17 17:05:45,2191492,4453573,0,6718738,cache_filling,6.0
2025-05-17 17:06:00,2197768,4424764,0,6689313,cache_filling,6.25
2025-05-17 17:06:15,2204070,4393107,0,6428451,cache_filling,6.5
2025-05-17 17:06:30,2184236,4391167,0,6351844,cache_filling,6.75
2025-05-17 17:06:45,2151327,4382495,0,6206650,cache_filling,7.0
2025-05-17 17:07:00,2016188,4055487,0,6201270,cache_filling,7.25
2025-05-17 17:07:15,1641638,4042908,0,6127973,cache_filling,7.5
2025-05-17 17:07:30,1605767,4143572,0,6073029,cache_filling,7.75
2025-05-17 17:07:45,1588632,4145927,0,6061139,cache_filling,8.0
2025-05-17 17:08:00,1588632,4618753,0,6060023,cache_filling,8.25
2025-05-17 17:08:15,1584168,4662882,0,6169514,cache_filling,8.5
2025-05-17 17:08:30,1584765,4629936,0,6190505,cache_filling,8.75
2025-05-17 17:08:45,1614319,4628255,0,6141345,cache_filling,9.0
2025-05-17 17:09:00,1618699,4629829,0,6146180,cache_filling,9.25
2025-05-17 17:09:15,1745542,4645216,0,6359187,cache_filling,9.5
2025-05-17 17:09:30,1769232,4637670,0,6381515,cache_filling,9.75
2025-05-17 17:09:45,1813268,4621920,0,6298475,cache_filling,10.0
2025-05-17 17:10:00,1816858,4619841,0,6294809,cache_filling,10.25
2025-05-17 17:10:15,1988440,4617384,0,6343418,cache_filling,10.5
2025-05-17 17:10:30,2036737,4497281,0,6333028,cache_filling,10.75
2025-05-17 17:10:45,1953417,4434952,0,6283517,cache_filling,11.0
2025-05-17 17:11:00,1956103,4431571,0,6283517,cache_filling,11.25
2025-05-17 17:11:15,1899385,4430156,0,6261406,cache_filling,11.5
2025-05-17 17:11:30,1896680,4365663,0,6265506,cache_filling,11.75
2025-05-17 17:11:45,1823781,4380850,0,6214842,cache_filling,12.0
2025-05-17 17:12:00,1810502,4462081,0,6214842,cache_filling,12.25
2025-05-17 17:12:15,1614929,4462081,0,6461696,cache_filling,12.5
