Time,mem_util
2025-05-21 21:14:15,31.1
2025-05-21 21:14:30,26.3
2025-05-21 21:14:45,26.3
2025-05-21 21:15:00,26.3
2025-05-21 21:15:15,26.3
2025-05-21 21:15:30,29.7
2025-05-21 21:15:45,29.7
2025-05-21 21:16:00,29.7
2025-05-21 21:16:15,29.7
2025-05-21 21:16:30,31.8
2025-05-21 21:16:45,31.8
2025-05-21 21:17:00,31.8
2025-05-21 21:17:15,31.8
2025-05-21 21:17:30,33.2
2025-05-21 21:17:45,33.2
2025-05-21 21:18:00,33.2
2025-05-21 21:18:15,33.2
2025-05-21 21:18:30,34.1
2025-05-21 21:18:45,34.1
2025-05-21 21:19:00,34.1
2025-05-21 21:19:15,34.1
2025-05-21 21:19:30,36.3
2025-05-21 21:19:45,36.3
2025-05-21 21:20:00,36.3
2025-05-21 21:20:15,36.3
2025-05-21 21:20:30,37.1
2025-05-21 21:20:45,37.1
2025-05-21 21:21:00,37.1
2025-05-21 21:21:15,37.1
2025-05-21 21:21:30,37.1
2025-05-21 21:21:45,37.1
2025-05-21 21:22:00,37.1
2025-05-21 21:22:15,37.1
2025-05-21 21:22:30,39.1
2025-05-21 21:22:45,39.1
2025-05-21 21:23:00,39.1
2025-05-21 21:23:15,39.1
2025-05-21 21:23:30,39.1
2025-05-21 21:23:45,39.1
2025-05-21 21:24:00,39.1
2025-05-21 21:24:15,39.1
2025-05-21 21:24:30,39.9
2025-05-21 21:24:45,39.9
2025-05-21 21:25:00,39.9
2025-05-21 21:25:15,39.9
2025-05-21 21:25:30,40.1
2025-05-21 21:25:45,40.1
2025-05-21 21:26:00,40.1
2025-05-21 21:26:15,40.1
2025-05-21 21:26:30,40.5
2025-05-21 21:26:45,40.5
2025-05-21 21:27:00,40.5
2025-05-21 21:27:15,40.5
2025-05-21 21:27:30,41
2025-05-21 21:27:45,41
2025-05-21 21:28:00,41
2025-05-21 21:28:15,41
2025-05-21 21:28:30,42.4
2025-05-21 21:28:45,42.4
2025-05-21 21:29:00,42.4
2025-05-21 21:29:15,42.4
2025-05-21 21:29:30,43.1
2025-05-21 21:29:45,43.1
2025-05-21 21:30:00,43.1
2025-05-21 21:30:15,43.1
2025-05-21 21:30:30,43.7
2025-05-21 21:30:45,43.7
2025-05-21 21:31:00,43.7
2025-05-21 21:31:15,43.7
2025-05-21 21:31:30,43.9
2025-05-21 21:31:45,43.9
2025-05-21 21:32:00,43.9
2025-05-21 21:32:15,43.9
2025-05-21 21:32:30,43.7
2025-05-21 21:32:45,43.7
2025-05-21 21:33:00,43.7
2025-05-21 21:33:15,43.7
2025-05-21 21:33:30,44.3
2025-05-21 21:33:45,44.3
2025-05-21 21:34:00,44.3
2025-05-21 21:34:15,44.3
2025-05-21 21:34:30,44.3
2025-05-21 21:34:45,44.3
2025-05-21 21:35:00,44.3
2025-05-21 21:35:15,44.3
2025-05-21 21:35:30,44.9
2025-05-21 21:35:45,44.9
2025-05-21 21:36:00,44.9
2025-05-21 21:36:15,44.9
2025-05-21 21:36:30,44.9
2025-05-21 21:36:45,44.9
2025-05-21 21:37:00,44.9
2025-05-21 21:37:15,44.9
2025-05-21 21:37:30,45.0
2025-05-21 21:37:45,45.0
2025-05-21 21:38:00,45.0
2025-05-21 21:38:15,45.0
2025-05-21 21:38:30,44.9
2025-05-21 21:38:45,44.9
2025-05-21 21:39:00,44.9
2025-05-21 21:39:15,44.9
2025-05-21 21:39:30,44.9
2025-05-21 21:39:45,44.9
2025-05-21 21:40:00,44.9
2025-05-21 21:40:15,44.9
2025-05-21 21:40:30,45.0
2025-05-21 21:40:45,45.0
2025-05-21 21:41:00,45.0
2025-05-21 21:41:15,45.0
2025-05-21 21:41:30,45.6
2025-05-21 21:41:45,45.6
2025-05-21 21:42:00,45.6
2025-05-21 21:42:15,45.6
2025-05-21 21:42:30,45.5
2025-05-21 21:42:45,45.5
2025-05-21 21:43:00,45.5
2025-05-21 21:43:15,45.5
2025-05-21 21:43:30,45.5
2025-05-21 21:43:45,45.5
2025-05-21 21:44:00,45.5
2025-05-21 21:44:15,45.5
2025-05-21 21:44:30,45.6
2025-05-21 21:44:45,45.6
2025-05-21 21:45:00,45.6
2025-05-21 21:45:15,45.6
2025-05-21 21:45:30,46.2
2025-05-21 21:45:45,46.2
2025-05-21 21:46:00,46.2
2025-05-21 21:46:15,46.2
2025-05-21 21:46:30,46.9
2025-05-21 21:46:45,46.9
2025-05-21 21:47:00,46.9
2025-05-21 21:47:15,46.9
2025-05-21 21:47:30,47.7
2025-05-21 21:47:45,47.7
2025-05-21 21:48:00,47.7
2025-05-21 21:48:15,47.7
2025-05-21 21:48:30,48.2
2025-05-21 21:48:45,48.2
2025-05-21 21:49:00,48.2
2025-05-21 21:49:15,48.2
2025-05-21 21:49:30,48.3
2025-05-21 21:49:45,48.3
2025-05-21 21:50:00,48.3
2025-05-21 21:50:15,48.3
2025-05-21 21:50:30,48.2
2025-05-21 21:50:45,48.2
2025-05-21 21:51:00,48.2
2025-05-21 21:51:15,48.2
2025-05-21 21:51:30,48.2
2025-05-21 21:51:45,48.2
2025-05-21 21:52:00,48.2
2025-05-21 21:52:15,48.2
2025-05-21 21:52:30,48.7
2025-05-21 21:52:45,48.7
2025-05-21 21:53:00,48.7
2025-05-21 21:53:15,48.7
2025-05-21 21:53:30,48.6
2025-05-21 21:53:45,48.6
2025-05-21 21:54:00,48.6
2025-05-21 21:54:15,48.6
2025-05-21 21:54:30,50.1
2025-05-21 21:54:45,50.1
2025-05-21 21:55:00,50.1
2025-05-21 21:55:15,50.1
2025-05-21 21:55:30,51.8
2025-05-21 21:55:45,51.8
2025-05-21 21:56:00,51.8
2025-05-21 21:56:15,51.8
2025-05-21 21:56:30,51.9
2025-05-21 21:56:45,51.9
2025-05-21 21:57:00,51.9
2025-05-21 21:57:15,51.9
2025-05-21 21:57:30,52.0
2025-05-21 21:57:45,52.0
2025-05-21 21:58:00,52.0
2025-05-21 21:58:15,52.0
2025-05-21 21:58:30,52.2
2025-05-21 21:58:45,52.2
2025-05-21 21:59:00,52.2
2025-05-21 21:59:15,52.2
2025-05-21 21:59:30,52.8
2025-05-21 21:59:45,52.8
2025-05-21 22:00:00,52.8
2025-05-21 22:00:15,52.8
2025-05-21 22:00:30,52.8
2025-05-21 22:00:45,52.8
2025-05-21 22:01:00,52.8
2025-05-21 22:01:15,52.8
2025-05-21 22:01:30,53.3
2025-05-21 22:01:45,53.3
2025-05-21 22:02:00,53.3
2025-05-21 22:02:15,53.3
