Time,connection_1,connection_2,connection_3
2025-05-18 00:02:30,,0,
2025-05-18 00:02:45,,0,
2025-05-18 00:03:00,,0,
2025-05-18 00:03:15,,0,
2025-05-18 00:03:30,,0,
2025-05-18 00:03:45,,0,
2025-05-18 00:04:00,,0,
2025-05-18 00:04:15,0,0,
2025-05-18 00:04:30,0,0,
2025-05-18 00:04:45,0,0,
2025-05-18 00:05:00,0,0,
2025-05-18 00:05:15,0,0,
2025-05-18 00:05:30,0,0,
2025-05-18 00:05:45,0,0,
2025-05-18 00:06:00,0,0,
2025-05-18 00:06:15,0,0,
2025-05-18 00:06:30,0,0,
2025-05-18 00:06:45,0,0,
2025-05-18 00:07:00,0,0,
2025-05-18 00:07:15,0,0,
2025-05-18 00:07:30,0,0,
2025-05-18 00:07:45,0,0,
2025-05-18 00:08:00,0,0,
2025-05-18 00:08:15,0,0,
2025-05-18 00:08:30,0,0,
2025-05-18 00:08:45,0,0,
2025-05-18 00:09:00,0,0,
2025-05-18 00:09:15,,0,
2025-05-18 00:09:30,,0,
2025-05-18 00:09:45,,0,
2025-05-18 00:10:00,,0,
2025-05-18 00:10:15,,0,
2025-05-18 00:10:30,,30,
2025-05-18 00:10:45,,30,
2025-05-18 00:11:00,,30,
2025-05-18 00:11:15,,30,
2025-05-18 00:11:30,,0,
2025-05-18 00:11:45,,0,
2025-05-18 00:12:00,,0,
2025-05-18 00:12:15,,0,
2025-05-18 00:12:30,,0,
2025-05-18 00:12:45,,0,
2025-05-18 00:13:00,,0,
2025-05-18 00:13:15,,0,
2025-05-18 00:13:30,,13,
2025-05-18 00:13:45,,13,
2025-05-18 00:14:00,,13,
2025-05-18 00:14:15,,13,
2025-05-18 00:14:30,,11,
2025-05-18 00:14:45,,11,
2025-05-18 00:15:00,,11,
2025-05-18 00:15:15,,11,
2025-05-18 00:15:30,,0,
2025-05-18 00:15:45,,0,
2025-05-18 00:16:00,,0,
2025-05-18 00:16:15,,0,
2025-05-18 00:16:30,,0,
2025-05-18 00:16:45,,0,
2025-05-18 00:17:00,,0,
2025-05-18 00:17:15,,0,
2025-05-18 00:17:30,,3,
2025-05-18 00:17:45,,3,
2025-05-18 00:18:00,,3,
2025-05-18 00:18:15,,3,
2025-05-18 00:18:30,,33,
2025-05-18 00:18:45,,33,
2025-05-18 00:19:00,,33,
2025-05-18 00:19:15,0,33,
2025-05-18 00:19:30,0,0,
2025-05-18 00:19:45,0,0,
2025-05-18 00:20:00,0,0,
2025-05-18 00:20:15,0,0,
2025-05-18 00:20:30,0,0,
2025-05-18 00:20:45,0,0,
2025-05-18 00:21:00,0,0,
2025-05-18 00:21:15,0,0,
2025-05-18 00:21:30,0,12,
2025-05-18 00:21:45,0,12,
2025-05-18 00:22:00,0,12,
2025-05-18 00:22:15,0,12,
2025-05-18 00:22:30,0,298,
2025-05-18 00:22:45,0,298,
2025-05-18 00:23:00,0,298,
2025-05-18 00:23:15,0,298,
2025-05-18 00:23:30,0,0,
2025-05-18 00:23:45,0,0,
2025-05-18 00:24:00,0,0,
2025-05-18 00:24:15,,0,
2025-05-18 00:24:30,,40,
2025-05-18 00:24:45,,40,
2025-05-18 00:25:00,,40,
2025-05-18 00:25:15,,40,
2025-05-18 00:25:30,,18,
2025-05-18 00:25:45,,18,
2025-05-18 00:26:00,,18,
2025-05-18 00:26:15,,18,
2025-05-18 00:26:30,,7,
2025-05-18 00:26:45,,7,
2025-05-18 00:27:00,,7,
2025-05-18 00:27:15,,7,
2025-05-18 00:27:30,,94,
2025-05-18 00:27:45,,94,
2025-05-18 00:28:00,,94,
2025-05-18 00:28:15,14,94,
2025-05-18 00:28:30,8,0,
2025-05-18 00:28:45,8,0,
2025-05-18 00:29:00,8,0,
2025-05-18 00:29:15,2,0,
2025-05-18 00:29:30,0,27,
2025-05-18 00:29:45,0,27,
2025-05-18 00:30:00,0,27,
2025-05-18 00:30:15,0,27,
2025-05-18 00:30:30,0,0,
2025-05-18 00:30:45,0,0,
2025-05-18 00:31:00,0,0,
2025-05-18 00:31:15,0,0,
2025-05-18 00:31:30,0,1751,
2025-05-18 00:31:45,0,1751,
2025-05-18 00:32:00,0,1751,
2025-05-18 00:32:15,0,1751,
2025-05-18 00:32:30,0,5729,
2025-05-18 00:32:45,0,5729,
2025-05-18 00:33:00,0,5729,
2025-05-18 00:33:15,0,5729,
2025-05-18 00:33:30,0,3539,
2025-05-18 00:33:45,0,3539,
2025-05-18 00:34:00,0,3539,
2025-05-18 00:34:15,0,3539,
2025-05-18 00:34:30,0,2784,
2025-05-18 00:34:45,0,2784,
2025-05-18 00:35:00,0,2784,
2025-05-18 00:35:15,0,2784,
2025-05-18 00:35:30,0,2135,
2025-05-18 00:35:45,0,2135,
2025-05-18 00:36:00,0,2135,
2025-05-18 00:36:15,0,2135,
2025-05-18 00:36:30,0,1311,
2025-05-18 00:36:45,0,1311,
2025-05-18 00:37:00,0,1311,
2025-05-18 00:37:15,0,1311,
2025-05-18 00:37:30,0,369,
2025-05-18 00:37:45,0,369,
2025-05-18 00:38:00,0,369,
2025-05-18 00:38:15,0,369,
2025-05-18 00:38:30,0,297,
2025-05-18 00:38:45,0,297,
2025-05-18 00:39:00,0,297,
2025-05-18 00:39:15,0,297,
2025-05-18 00:39:30,0,258,
2025-05-18 00:39:45,0,258,
2025-05-18 00:40:00,0,258,
2025-05-18 00:40:15,0,258,
2025-05-18 00:40:30,0,236,
2025-05-18 00:40:45,0,236,
2025-05-18 00:41:00,0,236,
2025-05-18 00:41:15,0,236,
2025-05-18 00:41:30,0,305,
2025-05-18 00:41:45,0,305,
2025-05-18 00:42:00,0,305,
2025-05-18 00:42:15,0,305,
2025-05-18 00:42:30,0,223,
2025-05-18 00:42:45,0,223,
2025-05-18 00:43:00,0,223,
2025-05-18 00:43:15,,223,
2025-05-18 00:43:30,,141,
2025-05-18 00:43:45,,141,
2025-05-18 00:44:00,,141,
2025-05-18 00:44:15,,141,
2025-05-18 00:44:30,,296,
2025-05-18 00:44:45,,296,
2025-05-18 00:45:00,,296,
2025-05-18 00:45:15,,296,
2025-05-18 00:45:30,,606,
2025-05-18 00:45:45,,606,0
2025-05-18 00:46:00,,606,0
2025-05-18 00:46:15,,606,0
2025-05-18 00:46:30,,345,0
2025-05-18 00:46:45,,345,0
2025-05-18 00:47:00,,345,0
2025-05-18 00:47:15,,345,0
2025-05-18 00:47:30,,873,0
2025-05-18 00:47:45,,873,0
2025-05-18 00:48:00,,873,0
2025-05-18 00:48:15,,873,0
2025-05-18 00:48:30,,171,0
2025-05-18 00:48:45,,171,0
2025-05-18 00:49:00,,171,0
2025-05-18 00:49:15,,171,0
2025-05-18 00:49:30,,442,0
2025-05-18 00:49:45,,442,0
2025-05-18 00:50:00,,442,0
2025-05-18 00:50:15,,442,0
2025-05-18 00:50:30,,337,0
2025-05-18 00:50:45,,337,
2025-05-18 00:51:00,,337,
2025-05-18 00:51:15,,337,
2025-05-18 00:51:30,,301,
2025-05-18 00:51:45,,301,
2025-05-18 00:52:00,,301,
2025-05-18 00:52:15,,301,
2025-05-18 00:52:30,,270,
2025-05-18 00:52:45,,270,
2025-05-18 00:53:00,,270,
2025-05-18 00:53:15,,270,
2025-05-18 00:53:30,,287,
2025-05-18 00:53:45,,287,
2025-05-18 00:54:00,,287,
2025-05-18 00:54:15,,287,
2025-05-18 00:54:30,,425,
2025-05-18 00:54:45,,425,
2025-05-18 00:55:00,,425,
2025-05-18 00:55:15,,425,
2025-05-18 00:55:30,,195,
2025-05-18 00:55:45,,195,
2025-05-18 00:56:00,,195,
2025-05-18 00:56:15,,195,
2025-05-18 00:56:30,,427,
2025-05-18 00:56:45,,427,
2025-05-18 00:57:00,,427,
2025-05-18 00:57:15,,427,
2025-05-18 00:57:30,,404,
2025-05-18 00:57:45,,404,
2025-05-18 00:58:00,,404,
2025-05-18 00:58:15,0,404,
2025-05-18 00:58:30,0,373,
2025-05-18 00:58:45,0,373,
2025-05-18 00:59:00,0,373,
2025-05-18 00:59:15,0,373,
2025-05-18 00:59:30,0,452,
2025-05-18 00:59:45,0,452,
2025-05-18 01:00:00,0,452,
2025-05-18 01:00:15,0,452,
2025-05-18 01:00:30,0,351,
2025-05-18 01:00:45,0,351,
2025-05-18 01:01:00,0,351,
2025-05-18 01:01:15,0,351,
2025-05-18 01:01:30,0,310,
2025-05-18 01:01:45,0,310,
2025-05-18 01:02:00,0,310,
2025-05-18 01:02:15,0,310,
2025-05-18 01:02:30,0,174,
2025-05-18 01:02:45,0,174,
2025-05-18 01:03:00,0,174,
2025-05-18 01:03:15,0,174,
2025-05-18 01:03:30,0,521,
2025-05-18 01:03:45,0,521,
2025-05-18 01:04:00,0,521,
2025-05-18 01:04:15,0,521,
2025-05-18 01:04:30,0,362,
2025-05-18 01:04:45,0,362,
2025-05-18 01:05:00,0,362,
2025-05-18 01:05:15,0,362,
2025-05-18 01:05:30,0,178,
2025-05-18 01:05:45,0,178,
2025-05-18 01:06:00,0,178,
2025-05-18 01:06:15,0,178,
2025-05-18 01:06:30,0,342,
2025-05-18 01:06:45,0,342,
2025-05-18 01:07:00,0,342,
2025-05-18 01:07:15,,342,
2025-05-18 01:07:30,,674,
2025-05-18 01:07:45,,674,
2025-05-18 01:08:00,,674,
2025-05-18 01:08:15,,674,
2025-05-18 01:08:30,,479,
2025-05-18 01:08:45,,479,
2025-05-18 01:09:00,,479,
2025-05-18 01:09:15,,479,
2025-05-18 01:09:30,,367,
2025-05-18 01:09:45,,367,
2025-05-18 01:10:00,,367,
2025-05-18 01:10:15,,367,
2025-05-18 01:10:30,,426,
2025-05-18 01:10:45,,426,
2025-05-18 01:11:00,,426,
2025-05-18 01:11:15,2,426,
2025-05-18 01:11:30,2,390,
2025-05-18 01:11:45,2,390,
2025-05-18 01:12:00,2,390,
2025-05-18 01:12:15,0,390,
2025-05-18 01:12:30,0,385,
2025-05-18 01:12:45,0,385,
2025-05-18 01:13:00,0,385,
2025-05-18 01:13:15,0,385,
2025-05-18 01:13:30,0,299,
2025-05-18 01:13:45,0,299,
2025-05-18 01:14:00,0,299,
2025-05-18 01:14:15,0,299,
2025-05-18 01:14:30,0,283,
2025-05-18 01:14:45,0,283,0
2025-05-18 01:15:00,0,283,0
2025-05-18 01:15:15,0,283,0
2025-05-18 01:15:30,0,468,0
2025-05-18 01:15:45,0,468,0
2025-05-18 01:16:00,0,468,0
2025-05-18 01:16:15,0,468,0
2025-05-18 01:16:30,0,374,0
2025-05-18 01:16:45,0,374,0
2025-05-18 01:17:00,0,374,0
2025-05-18 01:17:15,,374,0
2025-05-18 01:17:30,,360,0
2025-05-18 01:17:45,,360,0
2025-05-18 01:18:00,,360,0
2025-05-18 01:18:15,,360,0
2025-05-18 01:18:30,,446,0
2025-05-18 01:18:45,,446,0
2025-05-18 01:19:00,,446,0
2025-05-18 01:19:15,,446,0
2025-05-18 01:19:30,,438,0
2025-05-18 01:19:45,,438,
2025-05-18 01:20:00,,438,
2025-05-18 01:20:15,,438,
2025-05-18 01:20:30,,256,
2025-05-18 01:20:45,,256,
2025-05-18 01:21:00,,256,
2025-05-18 01:21:15,,256,
2025-05-18 01:21:30,,7106,
