Time,connection_1,connection_2,connection_3
2025-05-18 00:02:30,0,,
2025-05-18 00:02:45,0,,
2025-05-18 00:03:00,0,,
2025-05-18 00:03:15,0,,
2025-05-18 00:03:30,0,,
2025-05-18 00:03:45,0,,
2025-05-18 00:04:00,0,,
2025-05-18 00:04:15,0,,
2025-05-18 00:04:30,0,,
2025-05-18 00:04:45,0,,
2025-05-18 00:05:00,0,,
2025-05-18 00:05:15,0,,
2025-05-18 00:05:30,0,0,
2025-05-18 00:05:45,0,0,
2025-05-18 00:06:00,0,0,
2025-05-18 00:06:15,0,0,
2025-05-18 00:06:30,0,0,
2025-05-18 00:06:45,0,0,
2025-05-18 00:07:00,0,0,
2025-05-18 00:07:15,0,0,
2025-05-18 00:07:30,0,0,
2025-05-18 00:07:45,0,0,
2025-05-18 00:08:00,0,0,
2025-05-18 00:08:15,0,0,
2025-05-18 00:08:30,0,0,
2025-05-18 00:08:45,0,0,
2025-05-18 00:09:00,0,0,
2025-05-18 00:09:15,0,0,
2025-05-18 00:09:30,0,0,
2025-05-18 00:09:45,0,0,
2025-05-18 00:10:00,0,0,
2025-05-18 00:10:15,0,0,
2025-05-18 00:10:30,0,0,
2025-05-18 00:10:45,0,0,
2025-05-18 00:11:00,0,0,
2025-05-18 00:11:15,0,0,
2025-05-18 00:11:30,0,0,
2025-05-18 00:11:45,0,0,
2025-05-18 00:12:00,0,0,
2025-05-18 00:12:15,0,0,
2025-05-18 00:12:30,0,0,
2025-05-18 00:12:45,0,0,
2025-05-18 00:13:00,0,0,
2025-05-18 00:13:15,0,0,
2025-05-18 00:13:30,0,0,
2025-05-18 00:13:45,0,0,
2025-05-18 00:14:00,0,0,
2025-05-18 00:14:15,0,0,
2025-05-18 00:14:30,0,,
2025-05-18 00:14:45,0,,
2025-05-18 00:15:00,0,,
2025-05-18 00:15:15,0,,
2025-05-18 00:15:30,0,,
2025-05-18 00:15:45,0,,
2025-05-18 00:16:00,0,,
2025-05-18 00:16:15,0,,
2025-05-18 00:16:30,0,,
2025-05-18 00:16:45,0,,
2025-05-18 00:17:00,0,,
2025-05-18 00:17:15,0,,
2025-05-18 00:17:30,0,,
2025-05-18 00:17:45,0,,
2025-05-18 00:18:00,0,,
2025-05-18 00:18:15,0,,
2025-05-18 00:18:30,0,,
2025-05-18 00:18:45,0,,
2025-05-18 00:19:00,0,,
2025-05-18 00:19:15,0,,
2025-05-18 00:19:30,0,,
2025-05-18 00:19:45,0,,
2025-05-18 00:20:00,0,,
2025-05-18 00:20:15,0,,
2025-05-18 00:20:30,0,,
2025-05-18 00:20:45,0,,
2025-05-18 00:21:00,0,,
2025-05-18 00:21:15,0,,
2025-05-18 00:21:30,0,0,
2025-05-18 00:21:45,0,0,
2025-05-18 00:22:00,0,0,
2025-05-18 00:22:15,0,0,
2025-05-18 00:22:30,0,0,
2025-05-18 00:22:45,0,0,
2025-05-18 00:23:00,0,0,
2025-05-18 00:23:15,0,0,
2025-05-18 00:23:30,0,0,
2025-05-18 00:23:45,0,0,
2025-05-18 00:24:00,0,0,
2025-05-18 00:24:15,0,0,
2025-05-18 00:24:30,0,0,
2025-05-18 00:24:45,0,0,
2025-05-18 00:25:00,0,0,
2025-05-18 00:25:15,0,0,
2025-05-18 00:25:30,0,0,
2025-05-18 00:25:45,0,0,
2025-05-18 00:26:00,0,0,
2025-05-18 00:26:15,0,0,
2025-05-18 00:26:30,0,,
2025-05-18 00:26:45,0,,
2025-05-18 00:27:00,0,,
2025-05-18 00:27:15,0,,
2025-05-18 00:27:30,0,,
2025-05-18 00:27:45,0,,
2025-05-18 00:28:00,0,,
2025-05-18 00:28:15,0,,
2025-05-18 00:28:30,0,,
2025-05-18 00:28:45,0,,
2025-05-18 00:29:00,0,,
2025-05-18 00:29:15,0,,
2025-05-18 00:29:30,0,,
2025-05-18 00:29:45,0,,
2025-05-18 00:30:00,0,,
2025-05-18 00:30:15,0,,
2025-05-18 00:30:30,0,,
2025-05-18 00:30:45,0,,
2025-05-18 00:31:00,0,,
2025-05-18 00:31:15,0,,
2025-05-18 00:31:30,10,,
2025-05-18 00:31:45,10,,
2025-05-18 00:32:00,10,,
2025-05-18 00:32:15,10,,
2025-05-18 00:32:30,14,,
2025-05-18 00:32:45,14,,
2025-05-18 00:33:00,14,,
2025-05-18 00:33:15,14,,
2025-05-18 00:33:30,6,0,
2025-05-18 00:33:45,6,0,
2025-05-18 00:34:00,6,0,
2025-05-18 00:34:15,6,0,
2025-05-18 00:34:30,14,0,
2025-05-18 00:34:45,14,0,
2025-05-18 00:35:00,14,0,
2025-05-18 00:35:15,14,0,
2025-05-18 00:35:30,10,0,
2025-05-18 00:35:45,10,0,
2025-05-18 00:36:00,10,0,
2025-05-18 00:36:15,10,0,
2025-05-18 00:36:30,7,0,
2025-05-18 00:36:45,7,0,
2025-05-18 00:37:00,7,0,
2025-05-18 00:37:15,7,0,
2025-05-18 00:37:30,1,0,
2025-05-18 00:37:45,1,0,
2025-05-18 00:38:00,1,0,
2025-05-18 00:38:15,1,0,
2025-05-18 00:38:30,2,,
2025-05-18 00:38:45,2,,
2025-05-18 00:39:00,2,,
2025-05-18 00:39:15,2,,
2025-05-18 00:39:30,2,,
2025-05-18 00:39:45,2,,
2025-05-18 00:40:00,2,,
2025-05-18 00:40:15,2,,
2025-05-18 00:40:30,3,,
2025-05-18 00:40:45,3,,
2025-05-18 00:41:00,3,,
2025-05-18 00:41:15,3,,
2025-05-18 00:41:30,1,,
2025-05-18 00:41:45,1,,
2025-05-18 00:42:00,1,,
2025-05-18 00:42:15,1,,
2025-05-18 00:42:30,0,,
2025-05-18 00:42:45,0,,
2025-05-18 00:43:00,0,,
2025-05-18 00:43:15,0,,
2025-05-18 00:43:30,1,,
2025-05-18 00:43:45,1,,
2025-05-18 00:44:00,1,,
2025-05-18 00:44:15,1,,
2025-05-18 00:44:30,2,,
2025-05-18 00:44:45,2,,
2025-05-18 00:45:00,2,,
2025-05-18 00:45:15,2,,
2025-05-18 00:45:30,4,,
2025-05-18 00:45:45,4,,0
2025-05-18 00:46:00,4,,0
2025-05-18 00:46:15,4,,0
2025-05-18 00:46:30,2,,0
2025-05-18 00:46:45,2,,0
2025-05-18 00:47:00,2,,0
2025-05-18 00:47:15,2,,0
2025-05-18 00:47:30,0,,0
2025-05-18 00:47:45,0,,0
2025-05-18 00:48:00,0,,0
2025-05-18 00:48:15,0,,0
2025-05-18 00:48:30,2,,0
2025-05-18 00:48:45,2,,0
2025-05-18 00:49:00,2,,0
2025-05-18 00:49:15,2,,0
2025-05-18 00:49:30,2,0,0
2025-05-18 00:49:45,2,0,0
2025-05-18 00:50:00,2,0,0
2025-05-18 00:50:15,2,0,0
2025-05-18 00:50:30,1,0,0
2025-05-18 00:50:45,1,0,
2025-05-18 00:51:00,1,0,
2025-05-18 00:51:15,1,0,
2025-05-18 00:51:30,3,0,
2025-05-18 00:51:45,3,0,
2025-05-18 00:52:00,3,0,
2025-05-18 00:52:15,3,0,
2025-05-18 00:52:30,0,0,
2025-05-18 00:52:45,0,0,
2025-05-18 00:53:00,0,0,
2025-05-18 00:53:15,0,0,
2025-05-18 00:53:30,1,0,
2025-05-18 00:53:45,1,0,
2025-05-18 00:54:00,1,0,
2025-05-18 00:54:15,1,0,
2025-05-18 00:54:30,2,,
2025-05-18 00:54:45,2,,
2025-05-18 00:55:00,2,,
2025-05-18 00:55:15,2,,
2025-05-18 00:55:30,0,0,
2025-05-18 00:55:45,0,0,
2025-05-18 00:56:00,0,0,
2025-05-18 00:56:15,0,0,
2025-05-18 00:56:30,0,0,
2025-05-18 00:56:45,0,0,
2025-05-18 00:57:00,0,0,
2025-05-18 00:57:15,0,0,
2025-05-18 00:57:30,2,0,
2025-05-18 00:57:45,2,0,
2025-05-18 00:58:00,2,0,
2025-05-18 00:58:15,2,0,
2025-05-18 00:58:30,0,0,
2025-05-18 00:58:45,0,0,
2025-05-18 00:59:00,0,0,
2025-05-18 00:59:15,0,0,
2025-05-18 00:59:30,4,0,
2025-05-18 00:59:45,4,0,
2025-05-18 01:00:00,4,0,
2025-05-18 01:00:15,4,0,
2025-05-18 01:00:30,1,0,
2025-05-18 01:00:45,1,0,
2025-05-18 01:01:00,1,0,
2025-05-18 01:01:15,1,0,
2025-05-18 01:01:30,1,0,
2025-05-18 01:01:45,1,0,
2025-05-18 01:02:00,1,0,
2025-05-18 01:02:15,1,0,
2025-05-18 01:02:30,5,,
2025-05-18 01:02:45,5,,
2025-05-18 01:03:00,5,,
2025-05-18 01:03:15,5,,
2025-05-18 01:03:30,1,,
2025-05-18 01:03:45,1,,
2025-05-18 01:04:00,1,,
2025-05-18 01:04:15,1,,
2025-05-18 01:04:30,1,,
2025-05-18 01:04:45,1,,
2025-05-18 01:05:00,1,,
2025-05-18 01:05:15,1,,
2025-05-18 01:05:30,3,,
2025-05-18 01:05:45,3,,
2025-05-18 01:06:00,3,,
2025-05-18 01:06:15,3,,
2025-05-18 01:06:30,1,,
2025-05-18 01:06:45,1,,
2025-05-18 01:07:00,1,,
2025-05-18 01:07:15,1,,
2025-05-18 01:07:30,2,,
2025-05-18 01:07:45,2,,
2025-05-18 01:08:00,2,,
2025-05-18 01:08:15,2,,
2025-05-18 01:08:30,2,0,
2025-05-18 01:08:45,2,0,
2025-05-18 01:09:00,2,0,
2025-05-18 01:09:15,2,0,
2025-05-18 01:09:30,1,0,
2025-05-18 01:09:45,1,0,
2025-05-18 01:10:00,1,0,
2025-05-18 01:10:15,1,0,
2025-05-18 01:10:30,2,0,
2025-05-18 01:10:45,2,0,
2025-05-18 01:11:00,2,0,
2025-05-18 01:11:15,2,0,
2025-05-18 01:11:30,2,0,
2025-05-18 01:11:45,2,0,
2025-05-18 01:12:00,2,0,
2025-05-18 01:12:15,2,0,
2025-05-18 01:12:30,0,0,
2025-05-18 01:12:45,0,0,
2025-05-18 01:13:00,0,0,
2025-05-18 01:13:15,0,0,
2025-05-18 01:13:30,0,0,
2025-05-18 01:13:45,0,0,
2025-05-18 01:14:00,0,0,
2025-05-18 01:14:15,0,0,
2025-05-18 01:14:30,1,0,
2025-05-18 01:14:45,1,0,0
2025-05-18 01:15:00,1,0,0
2025-05-18 01:15:15,1,0,0
2025-05-18 01:15:30,1,0,0
2025-05-18 01:15:45,1,0,0
2025-05-18 01:16:00,1,0,0
2025-05-18 01:16:15,1,0,0
2025-05-18 01:16:30,0,0,0
2025-05-18 01:16:45,0,0,0
2025-05-18 01:17:00,0,0,0
2025-05-18 01:17:15,0,0,0
2025-05-18 01:17:30,1,0,0
2025-05-18 01:17:45,1,0,0
2025-05-18 01:18:00,1,0,0
2025-05-18 01:18:15,1,0,0
2025-05-18 01:18:30,2,0,0
2025-05-18 01:18:45,2,0,0
2025-05-18 01:19:00,2,0,0
2025-05-18 01:19:15,2,0,0
2025-05-18 01:19:30,3,0,0
2025-05-18 01:19:45,3,0,
2025-05-18 01:20:00,3,0,
2025-05-18 01:20:15,3,0,
2025-05-18 01:20:30,1,0,
2025-05-18 01:20:45,1,0,
2025-05-18 01:21:00,1,0,
2025-05-18 01:21:15,1,0,
2025-05-18 01:21:30,3,,
2025-05-18 01:21:45,3,,
