minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
3.25,10,2,8,9,10,4,10,9,0,0,CPU_STRESS,3.25,270,301,298,279,272,291,262,271,0,0,CPU_STRESS,3.25,1160,1400,1208,1256,950,1290,1150,1250,0,0,CPU_STRESS,3.25,11460,11520,12470,11310,11150,10560,11150,11550,0,0,CPU_STRESS,3.25,22.0,22.5,23.7,21.8,21.7,20.7,21.3,22.2,0,0,CPU_STRESS,3.25
3.5,8,2,8,12,8,4,15,7,0,0,CPU_STRESS,3.5,258,305,300,289,263,282,256,263,0,0,CPU_STRESS,3.5,1116,1400,1215,1243,950,1232,1191,1237,0,0,CPU_STRESS,3.5,9198,11217,10838,11069,9805,11350,10675,10675,0,0,CPU_STRESS,3.5,19.057090079365093,21.863886507936492,21.083821176046182,20.43894051226552,20.75202993852552,21.4823961264226,20.67853809523808,20.559803968253973,0,0,CPU_STRESS,3.5
3.75,8,2,8,9,7,4,6,7,0,0,CPU_STRESS,3.75,257,305,300,288,263,279,256,263,0,0,CPU_STRESS,3.75,1116,1190,1245,1238,1180,1233,1190,1237,0,0,CPU_STRESS,3.75,9198,11217,10838,11069,9819,11350,10665,10675,0,0,CPU_STRESS,3.75,19.057090079365093,21.96855317460316,21.083821176046182,20.43894051226552,20.75202993852552,21.669593395330168,20.67373809523808,20.559803968253973,0,0,CPU_STRESS,3.75
4.0,8,7,4,9,1,10,1,0,0,0,CPU_STRESS,4.0,256,303,285,282,262,275,254,259,0,0,CPU_STRESS,4.0,1089,1190,1245,1210,1180,1193,1221,1237,0,0,CPU_STRESS,4.0,9383,11189,10491,10753,9920,11414,10681,10557,0,0,CPU_STRESS,4.0,18.93695857142858,21.930517063492054,21.12511888997324,20.378913095238104,21.086516107911688,22.18943040097158,20.70865555555555,20.62610833333333,0,0,CPU_STRESS,4.0
4.25,8,10,3,8,0,12,1,1,0,0,CPU_STRESS,4.25,256,302,286,280,263,278,255,264,0,0,CPU_STRESS,4.25,1093,1190,1245,1207,1180,1186,1229,1242,0,0,CPU_STRESS,4.25,9278,11191,10634,10781,10050,11434,10744,10607,0,0,CPU_STRESS,4.25,18.56778602156369,21.869647222222213,20.93971297366732,20.514302380952387,21.05933191765749,22.31133833747952,20.697529365079355,20.62560833333334,0,0,CPU_STRESS,4.25
4.5,8,10,4,8,2,12,8,1,0,0,CPU_STRESS,4.5,259,301,288,282,266,287,262,269,0,0,CPU_STRESS,4.5,1104,1217,1245,1226,1241,1195,1232,1241,0,0,CPU_STRESS,4.5,9435,11242,10730,10664,10200,11336,10896,10745,0,0,CPU_STRESS,4.5,18.57736731304998,21.90249444444444,21.201249084778414,20.893530988455996,21.053117604331938,21.99812348191024,20.78964722222221,20.632717857142865,0,0,CPU_STRESS,4.5
4.75,5,5,4,8,3,11,5,2,0,0,CPU_STRESS,4.75,259,301,288,284,285,290,266,270,0,0,CPU_STRESS,4.75,1110,1217,1270,1239,1242,1194,1232,1242,0,0,CPU_STRESS,4.75,10326,11388,10945,10696,10581,11254,11191,10961,0,0,CPU_STRESS,4.75,19.236144694002352,21.94249444444444,21.55591019588953,21.18353813131313,21.555065511979848,22.021880624767388,21.874052849927853,21.655058333333333,0,0,CPU_STRESS,4.75
5.0,5,5,6,8,9,7,9,2,0,0,CPU_STRESS,5.0,259,301,289,297,304,281,264,270,0,0,CPU_STRESS,5.0,1165,1217,1340,1321,1292,1179,1237,1289,0,0,CPU_STRESS,5.0,10863,11441,11392,11100,12263,11205,12071,11435,0,0,CPU_STRESS,5.0,20.50097149775415,22.19783888888888,22.39378831168832,21.447524242424244,24.68665598845598,22.152856583122755,23.67888999334,22.81320277777779,0,0,CPU_STRESS,5.0
5.25,5,5,7,8,9,4,9,1,0,0,CPU_STRESS,5.25,260,301,289,301,309,280,263,267,0,0,CPU_STRESS,5.25,1173,1217,1340,1335,1300,1192,1235,1300,0,0,CPU_STRESS,5.25,11002,11578,11802,11171,12880,11264,12280,11796,0,0,CPU_STRESS,5.25,21.57298928571427,22.45402222222221,22.71218470418471,21.57779567099567,25.494675432900426,22.245833964075143,23.99598046953048,23.076083730158743,0,0,CPU_STRESS,5.25
5.5,5,5,8,8,8,3,6,1,0,0,CPU_STRESS,5.5,261,302,291,300,314,289,266,268,0,0,CPU_STRESS,5.5,1175,1222,1340,1353,1316,1222,1237,1306,0,0,CPU_STRESS,5.5,11185,11736,12045,11255,13253,11564,12302,12156,0,0,CPU_STRESS,5.5,21.829588827838823,23.11298928571428,23.459521897546907,21.951232178932177,25.33271203241203,22.3168053361671,23.54171038961039,23.42744801587302,0,0,CPU_STRESS,5.5
