minutes,apigateway_api_gateway,apigateway_source,customersservice_customers_service,customersservice_source,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,memavailable_mem_available,memavailable_source,memcache_mem_cache,memcache_source,memutil_mem_util,memutil_source,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,srtt_source,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,vetsservice_vets_service,vetsservice_source,visitsservice_visits_service,visitsservice_source,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source
2025-05-17 17:01:15,0.0,CPU_STRESS,0.0,CPU_STRESS,10.0,20.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,CPU_STRESS,70.0,100.0,80.0,80.0,70.0,110.0,60.0,70.0,0.0,0.0,CPU_STRESS,17877160.0,CPU_STRESS,3907132.0,CPU_STRESS,29.0,CPU_STRESS,131072,360448,0,491520,CPU_STRESS,CPU_STRESS,629.0,785.0,580.0,540.0,590.0,550.0,760.0,510.0,500.0,0.0,0.0,CPU_STRESS,6405.0,1890.0,2330.0,2420.0,2450.0,1820.0,1800.0,1920.0,0.0,0.0,CPU_STRESS,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,4561920,2641920,0,10002432,CPU_STRESS
2025-05-17 17:01:30,0.0,CPU_STRESS,0.0,CPU_STRESS,10.0,20.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,CPU_STRESS,70.0,100.0,80.0,80.0,70.0,110.0,60.0,70.0,0.0,0.0,CPU_STRESS,17877160.0,CPU_STRESS,3907132.0,CPU_STRESS,29.0,CPU_STRESS,131072,360448,0,491520,CPU_STRESS,CPU_STRESS,629.0,785.0,580.0,540.0,590.0,550.0,760.0,510.0,500.0,0.0,0.0,CPU_STRESS,6405.0,1890.0,2330.0,2420.0,2450.0,1820.0,1800.0,1920.0,0.0,0.0,CPU_STRESS,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,4561920,2641920,0,10002432,CPU_STRESS
2025-05-17 17:01:45,0.0,CPU_STRESS,0.0,CPU_STRESS,10.0,20.0,20.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,CPU_STRESS,70.0,100.0,80.0,80.0,70.0,110.0,60.0,70.0,0.0,0.0,CPU_STRESS,18297500.0,CPU_STRESS,4000868.0,CPU_STRESS,27.0,CPU_STRESS,131072,360448,0,491520,CPU_STRESS,CPU_STRESS,645.0,785.0,580.0,540.0,590.0,550.0,760.0,510.0,500.0,0.0,0.0,CPU_STRESS,6405.0,1890.0,2330.0,2420.0,2450.0,1820.0,1800.0,1920.0,0.0,0.0,CPU_STRESS,12.61,4.32,4.96,5.19,5.14,4.54,3.97,4.17,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,4561920,2641920,0,10002432,CPU_STRESS
2025-05-17 17:02:00,0.0,CPU_STRESS,0.0,CPU_STRESS,37.0,21.0,29.0,42.0,15.0,9.0,21.0,28.0,0.0,0.0,CPU_STRESS,194.0,205.0,173.0,213.0,218.0,199.0,171.0,180.0,0.0,0.0,CPU_STRESS,17810499.0,CPU_STRESS,3985134.0,CPU_STRESS,28.168204438698552,CPU_STRESS,131072,360448,1,491520,CPU_STRESS,CPU_STRESS,1067.046461489899,550.0,485.0,485.0,617.0,495.0,645.0,435.0,455.0,0.0,0.0,CPU_STRESS,6530.0,1805.0,1895.0,2180.0,1990.0,1535.0,1710.0,1730.0,0.0,0.0,CPU_STRESS,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,4561920,3385719,1222,5559186,CPU_STRESS
2025-05-17 17:02:15,0.0,CPU_STRESS,0.0,CPU_STRESS,187.0,26.0,34.0,107.0,18.0,8.0,42.0,43.0,0.0,0.0,CPU_STRESS,70.0,241.0,75.0,70.0,65.0,95.0,65.0,65.0,0.0,0.0,CPU_STRESS,17852689.0,CPU_STRESS,3985134.0,CPU_STRESS,28.138294914889038,CPU_STRESS,24576,48455680,1,48480256,CPU_STRESS,CPU_STRESS,598.5,550.0,485.0,485.0,576.0,495.0,645.0,435.0,455.0,0.0,0.0,CPU_STRESS,6530.0,1805.0,1895.0,2180.0,1990.0,1535.0,1710.0,1730.0,0.0,0.0,CPU_STRESS,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1769472,3385719,1222,5505811,CPU_STRESS
2025-05-17 17:02:30,0.0,CPU_STRESS,0.0,CPU_STRESS,208.0,27.0,37.0,115.0,18.0,12.0,40.0,45.0,0.0,0.0,CPU_STRESS,70.0,277.0,75.0,70.0,65.0,95.0,65.0,65.0,0.0,0.0,CPU_STRESS,17870972.0,CPU_STRESS,4002713.0,CPU_STRESS,28.266090942390942,CPU_STRESS,24576,48455680,1,48480256,CPU_STRESS,CPU_STRESS,2044.0,550.0,485.0,485.0,593.0,495.0,645.0,435.0,455.0,0.0,0.0,CPU_STRESS,6530.0,1805.0,1895.0,2180.0,1990.0,1535.0,1710.0,1730.0,0.0,0.0,CPU_STRESS,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1769472,3641013,1222,5243916,CPU_STRESS
2025-05-17 17:02:45,0.0,CPU_STRESS,0.0,CPU_STRESS,152.0,28.0,39.0,108.0,18.0,23.0,35.0,40.0,0.0,0.0,CPU_STRESS,70.0,290.0,75.0,70.0,65.0,95.0,65.0,65.0,0.0,0.0,CPU_STRESS,17863065.0,CPU_STRESS,4002713.0,CPU_STRESS,28.58379094239094,CPU_STRESS,24576,48455680,1,48480256,CPU_STRESS,CPU_STRESS,2044.0,795.0,485.0,485.0,706.0,495.0,645.0,435.0,455.0,0.0,0.0,CPU_STRESS,6530.0,1805.0,1895.0,2180.0,1990.0,1535.0,1710.0,1730.0,0.0,0.0,CPU_STRESS,12.85,4.105,4.125,4.73,4.29,3.845,3.71,3.78,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1769472,3707759,1222,5092271,CPU_STRESS
2025-05-17 17:03:00,0.0,CPU_STRESS,0.0,CPU_STRESS,52.0,27.0,38.0,107.0,18.0,9.0,34.0,32.0,0.0,0.0,CPU_STRESS,190.0,292.0,200.0,200.0,185.0,215.0,190.0,195.0,0.0,0.0,CPU_STRESS,17720915.0,CPU_STRESS,4002867.0,CPU_STRESS,29.309294914889016,CPU_STRESS,24576,48455680,1,48480256,CPU_STRESS,CPU_STRESS,3311.0,920.0,1390.0,1260.0,964.0,950.0,1060.0,900.0,960.0,0.0,0.0,CPU_STRESS,13902.0,9425.0,10085.0,10005.0,9290.0,9375.0,9725.0,9150.0,0.0,0.0,CPU_STRESS,26.225,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1632204,4178508,1222,5204309,CPU_STRESS
2025-05-17 17:03:15,0.0,CPU_STRESS,33.0,CPU_STRESS,52.0,14.0,19.0,40.0,18.0,11.0,13.0,5.0,0.0,0.0,CPU_STRESS,190.0,326.0,200.0,200.0,185.0,215.0,190.0,195.0,0.0,0.0,CPU_STRESS,17613894.0,CPU_STRESS,4004261.0,CPU_STRESS,29.82003777203187,CPU_STRESS,0,4096,1,4096,CPU_STRESS,CPU_STRESS,3316.0,920.0,1390.0,1260.0,1248.0,950.0,1060.0,900.0,960.0,0.0,0.0,CPU_STRESS,14000.0,9425.0,10085.0,10005.0,9290.0,9375.0,9725.0,9150.0,0.0,0.0,CPU_STRESS,26.4,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1452014,4258120,1222,5350058,CPU_STRESS
2025-05-17 17:03:30,0.0,CPU_STRESS,33.0,CPU_STRESS,52.0,11.0,14.0,25.0,18.0,12.0,12.0,3.0,0.0,0.0,CPU_STRESS,190.0,337.0,200.0,200.0,185.0,215.0,190.0,195.0,0.0,0.0,CPU_STRESS,17461203.0,CPU_STRESS,4004994.0,CPU_STRESS,30.43379029304029,CPU_STRESS,0,4096,1,4096,CPU_STRESS,CPU_STRESS,2687.0,920.0,1390.0,1260.0,1305.0,950.0,1060.0,900.0,960.0,0.0,0.0,CPU_STRESS,14000.0,9425.0,10085.0,10005.0,9290.0,9375.0,9725.0,9150.0,0.0,0.0,CPU_STRESS,26.4,18.009999999999998,18.88,18.845,17.62,18.02,18.285,17.435000000000002,0.0,0.0,CPU_STRESS,0.0,CPU_STRESS,0.0,CPU_STRESS,1433667,5213796,1222,6585232,CPU_STRESS
