minutes,memory_mem_available,memory_source,memory_mem_cache,memory_source,memory_mem_util,memory_source
2025-07-16 19:00:15,16937400,threadfull,4604000,threadfull,31.95,threadfull
2025-07-16 19:00:30,16314144,threadfull,4600112,threadfull,32.0,threadfull
2025-07-16 19:00:45,16314144,threadfull,4600112,threadfull,32.0,threadfull
2025-07-16 19:01:00,15607708,threadfull,4601074,threadfull,32.0,threadfull
2025-07-16 19:01:15,15460175,threadfull,4601227,threadfull,35.979767844084016,threadfull
2025-07-16 19:01:30,15460175,threadfull,4601271,threadfull,35.979767844084016,threadfull
2025-07-16 19:01:45,15598155,threadfull,4601811,threadfull,36.12535338909456,threadfull
2025-07-16 19:02:00,15487691,threadfull,4601800,threadfull,36.13596053195171,threadfull
2025-07-16 19:02:15,15231916,threadfull,4601188,threadfull,36.12425074451693,threadfull
2025-07-16 19:02:30,15203558,threadfull,4601007,threadfull,36.19432852229471,threadfull
2025-07-16 19:02:45,15098419,threadfull,4600610,threadfull,36.83215227770595,threadfull
2025-07-16 19:03:00,14961504,threadfull,4600466,threadfull,37.46132005437373,threadfull
2025-07-16 19:03:15,14820771,threadfull,4600774,threadfull,37.4614343276005,threadfull
2025-07-16 19:03:30,14775708,threadfull,4600966,threadfull,36.9,threadfull
2025-07-16 19:03:45,14535207,threadfull,4601363,threadfull,39.4,threadfull
2025-07-16 19:04:00,14399287,threadfull,4601815,threadfull,39.4,threadfull
2025-07-16 19:04:15,14275463,threadfull,4602337,threadfull,39.4,threadfull
2025-07-16 19:04:30,14271569,threadfull,4603147,threadfull,40.149291928414726,threadfull
2025-07-16 19:04:45,14235446,threadfull,4604523,threadfull,40.340264475312274,threadfull
2025-07-16 19:05:00,14188992,threadfull,4604794,threadfull,40.55921999479279,threadfull
2025-07-16 19:05:15,14119918,threadfull,4605044,threadfull,40.628065341113135,threadfull
2025-07-16 19:05:30,14102721,threadfull,4605404,threadfull,40.81564848770511,threadfull
2025-07-16 19:05:45,13856690,threadfull,4606088,threadfull,41.82319240351152,threadfull
2025-07-16 19:06:00,13531495,threadfull,4606508,threadfull,42.96044889424301,threadfull
2025-07-16 19:06:15,13420784,threadfull,4607163,threadfull,43.19437785900888,threadfull
2025-07-16 19:06:30,13396182,threadfull,4607419,threadfull,43.27384452567555,threadfull
2025-07-16 19:06:45,13193133,threadfull,4608215,threadfull,44.05751451383584,threadfull
2025-07-16 19:07:00,13108968,threadfull,4608709,threadfull,44.41529550922935,threadfull
2025-07-16 19:07:15,13069047,threadfull,4609302,threadfull,44.40457046093312,threadfull
2025-07-16 19:07:30,13069047,threadfull,4609599,threadfull,44.41194823871089,threadfull
2025-07-16 19:07:45,13059251,threadfull,4609632,threadfull,44.42274766706034,threadfull
2025-07-16 19:08:00,13042872,threadfull,4609997,threadfull,44.54761854479371,threadfull
2025-07-16 19:08:15,13018739,threadfull,4610769,threadfull,44.61390967033484,threadfull
2025-07-16 19:08:30,12984574,threadfull,4611561,threadfull,44.720592354317525,threadfull
2025-07-16 19:08:45,12780734,threadfull,4611806,threadfull,46.03797916455749,threadfull
2025-07-16 19:09:00,12670983,threadfull,4612076,threadfull,46.56711040129462,threadfull
2025-07-16 19:09:15,12604481,threadfull,4612533,threadfull,46.378557027723744,threadfull
2025-07-16 19:09:30,12604481,threadfull,4612875,threadfull,46.42209988486661,threadfull
2025-07-16 19:09:45,12569831,threadfull,4613610,threadfull,46.39473734629408,threadfull
2025-07-16 19:10:00,12546289,threadfull,4614032,threadfull,46.4543114757465,threadfull
2025-07-16 19:10:15,12539604,threadfull,4614093,threadfull,46.58311948273949,threadfull
2025-07-16 19:10:30,12529562,threadfull,4614292,threadfull,46.6293317843268,threadfull
2025-07-16 19:10:45,12420811,threadfull,4620367,threadfull,47.00925779220779,threadfull
2025-07-16 19:11:00,12369770,threadfull,4645883,threadfull,47.321965007215006,threadfull
2025-07-16 19:11:15,12330849,threadfull,4686714,threadfull,47.43395558441558,threadfull
2025-07-16 19:11:30,12309816,threadfull,4713635,threadfull,47.50683112554111,threadfull
2025-07-16 19:11:45,12294242,threadfull,4766468,threadfull,47.773549834887305,threadfull
2025-07-16 19:12:00,12268188,threadfull,4794138,threadfull,47.95664002884369,threadfull
2025-07-16 19:12:15,12241103,threadfull,4796036,threadfull,47.86490412974279,threadfull
2025-07-16 19:12:30,12241103,threadfull,4796081,threadfull,47.86252912974279,threadfull
2025-07-16 19:12:45,12225530,threadfull,4796735,threadfull,47.90407592461461,threadfull
2025-07-16 19:13:00,12218881,threadfull,4796964,threadfull,47.91658624207491,threadfull
2025-07-16 19:13:15,12231082,threadfull,4797039,threadfull,47.88794995336363,threadfull
2025-07-16 19:13:30,12231082,threadfull,4797152,threadfull,47.89625947717315,threadfull
2025-07-16 19:13:45,12228510,threadfull,4797608,threadfull,47.92932497833865,threadfull
2025-07-16 19:14:00,12228510,threadfull,4797776,threadfull,47.93674124817992,threadfull
2025-07-16 19:14:15,12231082,threadfull,4797843,threadfull,47.94482757851626,threadfull
2025-07-16 19:14:30,12231082,threadfull,4797882,threadfull,48.01434020477889,threadfull
2025-07-16 19:14:45,12121434,threadfull,4798353,threadfull,48.45224599229272,threadfull
2025-07-16 19:15:00,12077687,threadfull,4797810,threadfull,48.62453716639639,threadfull
2025-07-16 19:15:15,12038448,threadfull,4795730,threadfull,48.668882794379535,threadfull
2025-07-16 19:15:30,12038448,threadfull,4794086,threadfull,48.66658279437953,threadfull
2025-07-16 19:15:45,12057544,threadfull,4789450,threadfull,48.66482922295096,threadfull
2025-07-16 19:16:00,12067764,threadfull,4788089,threadfull,48.67421017533191,threadfull
2025-07-16 19:16:15,12072089,threadfull,4787453,threadfull,48.68273398485572,threadfull
2025-07-16 19:16:30,12072089,threadfull,4787470,threadfull,48.718493325515055,threadfull
2025-07-16 19:16:45,12061185,threadfull,4787499,threadfull,48.742979666951406,threadfull
2025-07-16 19:17:00,12043055,threadfull,4787525,threadfull,48.823069257916,threadfull
2025-07-16 19:17:15,12030577,threadfull,4787874,threadfull,48.945648844016176,threadfull
2025-07-16 19:17:30,12030577,threadfull,4788080,threadfull,49.01586215570448,threadfull
2025-07-16 19:17:45,11980609,threadfull,4788610,threadfull,49.30329984081349,threadfull
2025-07-16 19:18:00,11962039,threadfull,4788811,threadfull,49.41457690402805,threadfull
2025-07-16 19:18:15,11923742,threadfull,4788796,threadfull,49.38417419505404,threadfull
2025-07-16 19:18:30,11923742,threadfull,4789129,threadfull,49.38417419505404,threadfull
2025-07-16 19:18:45,11918568,threadfull,4789638,threadfull,49.38550752838737,threadfull
2025-07-16 19:19:00,11918568,threadfull,4789891,threadfull,49.39470752838737,threadfull
2025-07-16 19:19:15,11923742,threadfull,4790323,threadfull,49.399116619296464,threadfull
2025-07-16 19:19:30,11918340,threadfull,4790537,threadfull,49.46503383720927,threadfull
2025-07-16 19:19:45,11823242,threadfull,4791399,threadfull,49.90889109093521,threadfull
2025-07-16 19:20:00,11793065,threadfull,4791553,threadfull,50.02709242016152,threadfull
2025-07-16 19:20:15,11786738,threadfull,4791583,threadfull,49.987637674335474,threadfull
2025-07-16 19:20:30,11786738,threadfull,4791729,threadfull,49.99003767433546,threadfull
2025-07-16 19:20:45,11773837,threadfull,4792145,threadfull,49.96875492709904,threadfull
2025-07-16 19:21:00,11773837,threadfull,4792403,threadfull,49.96805730805143,threadfull
2025-07-16 19:21:15,11776267,threadfull,4792838,threadfull,49.994689314362105,threadfull
2025-07-16 19:21:30,11776267,threadfull,4793000,threadfull,49.99426074293354,threadfull
2025-07-16 19:21:45,11765099,threadfull,4793528,threadfull,49.96351390978303,threadfull
2025-07-16 19:22:00,11761169,threadfull,4793825,threadfull,49.963761528830645,threadfull
2025-07-16 19:22:15,11763261,threadfull,4794147,threadfull,49.99395553147832,threadfull
2025-07-16 19:22:30,11752774,threadfull,4794182,threadfull,50.08706685903967,threadfull
2025-07-16 19:22:45,11718017,threadfull,4794815,threadfull,50.49813524865659,threadfull
2025-07-16 19:23:00,11647925,threadfull,4795030,threadfull,50.57020238707372,threadfull
2025-07-16 19:23:15,11631466,threadfull,4795246,threadfull,50.653021070351215,threadfull
2025-07-16 19:23:30,11631466,threadfull,4795311,threadfull,50.66241987987503,threadfull
2025-07-16 19:23:45,11605329,threadfull,4795706,threadfull,50.69197340967856,threadfull
2025-07-16 19:24:00,11588088,threadfull,4796038,threadfull,50.718872219202375,threadfull
2025-07-16 19:24:15,11585762,threadfull,4796374,threadfull,50.804233534143,threadfull
2025-07-16 19:24:30,11576831,threadfull,4796566,threadfull,50.815328772238246,threadfull
2025-07-16 19:24:45,11534414,threadfull,4796819,threadfull,51.03585592456218,threadfull
2025-07-16 19:25:00,11500561,threadfull,4797097,threadfull,51.17827422672784,threadfull
2025-07-16 19:25:15,11492062,threadfull,4797338,threadfull,51.20941065440407,threadfull
2025-07-16 19:25:30,11488245,threadfull,4797497,threadfull,51.21159486493038,threadfull
2025-07-16 19:25:45,11472886,threadfull,4798028,threadfull,51.21709486493039,threadfull
2025-07-16 19:26:00,11471430,threadfull,4798225,threadfull,51.22180915064467,threadfull
2025-07-16 19:26:15,11483790,threadfull,4798473,threadfull,51.25731001644554,threadfull
2025-07-16 19:26:30,11482962,threadfull,4798700,threadfull,51.2756786672392,threadfull
2025-07-16 19:26:45,11476554,threadfull,4799270,threadfull,51.31663422279474,threadfull
2025-07-16 19:27:00,11470153,threadfull,4799429,threadfull,51.34813581009632,threadfull
2025-07-16 19:27:15,11471947,threadfull,4799167,threadfull,51.34813581009632,threadfull
2025-07-16 19:27:30,11448475,threadfull,4799272,threadfull,51.39763581009632,threadfull
2025-07-16 19:27:45,11317090,threadfull,4800147,threadfull,52.07173248818173,threadfull
2025-07-16 19:28:00,11152179,threadfull,4800676,threadfull,52.48411052656491,threadfull
2025-07-16 19:28:15,11117490,threadfull,4800395,threadfull,52.78309864548074,threadfull
2025-07-16 19:28:30,11091870,threadfull,4800631,threadfull,52.939120318252414,threadfull
