Time,disk sda,source,Minutes
2025-05-17 16:59:45,13,BASELINE,0.0
2025-05-17 17:00:00,13,BASELINE,0.25
2025-05-17 17:00:15,13,BASELINE,0.5
2025-05-17 17:00:30,13,BASELINE,0.75
2025-05-17 17:00:45,13,BASELINE,1.0
2025-05-17 17:01:00,12,BASELINE,1.25
2025-05-17 17:01:15,12,BASELINE,1.5
2025-05-17 17:01:30,12,BASELINE,1.75
2025-05-17 17:01:45,12,BASELINE,2.0
2025-05-17 17:02:00,13,BASELINE,2.25
2025-05-17 17:02:15,13,BASELINE,2.5
2025-05-17 17:02:30,13,BASELINE,2.75
2025-05-17 17:02:45,13,BASELINE,3.0
2025-05-17 17:03:00,13,BASELINE,3.25
2025-05-17 17:03:15,13,BASELINE,3.5
2025-05-17 17:03:30,13,BASELINE,3.75
2025-05-17 17:03:45,13,BASELINE,4.0
2025-05-17 17:04:00,13,BASELINE,4.25
2025-05-17 17:04:15,13,BASELINE,4.5
2025-05-17 17:04:30,13,BASELINE,4.75
2025-05-17 17:04:45,13,BASELINE,5.0
2025-05-17 17:05:00,13,BASELINE,5.25
2025-05-17 17:05:15,13,BASELINE,5.5
2025-05-17 17:05:30,12,BASELINE,5.75
2025-05-17 17:05:45,12,BASELINE,6.0
2025-05-17 17:06:00,12,BASELINE,6.25
2025-05-17 17:06:15,12,BASELINE,6.5
2025-05-17 17:06:30,13,BASELINE,6.75
2025-05-17 17:06:45,13,BASELINE,7.0
2025-05-17 17:07:00,13,BASELINE,7.25
2025-05-17 17:07:15,13,BASELINE,7.5
2025-05-17 17:07:30,13,BASELINE,7.75
2025-05-17 17:07:45,13,BASELINE,8.0
2025-05-17 17:08:00,13,BASELINE,8.25
2025-05-17 17:08:15,13,BASELINE,8.5
2025-05-17 17:08:30,13,BASELINE,8.75
2025-05-17 17:08:45,13,BASELINE,9.0
2025-05-17 17:09:00,13,BASELINE,9.25
2025-05-17 17:09:15,13,BASELINE,9.5
2025-05-17 17:09:30,13,BASELINE,9.75
2025-05-17 17:09:45,13,BASELINE,10.0
2025-05-17 17:10:00,13,BASELINE,10.25
2025-05-17 17:10:15,13,BASELINE,10.5
2025-05-17 17:10:30,13,BASELINE,10.75
2025-05-17 17:10:45,13,BASELINE,11.0
2025-05-17 17:11:00,13,BASELINE,11.25
2025-05-17 17:11:15,13,BASELINE,11.5
2025-05-17 17:11:30,13,BASELINE,11.75
2025-05-17 17:11:45,13,BASELINE,12.0
2025-05-17 17:12:00,13,BASELINE,12.25
2025-05-17 17:12:15,13,BASELINE,12.5
2025-05-17 17:12:30,13,BASELINE,12.75
2025-05-17 17:12:45,13,BASELINE,13.0
2025-05-17 17:13:00,13,BASELINE,13.25
2025-05-17 17:13:15,13,BASELINE,13.5
2025-05-17 17:13:30,13,BASELINE,13.75
2025-05-17 17:13:45,13,BASELINE,14.0
2025-05-17 17:14:00,13,BASELINE,14.25
2025-05-17 17:14:15,13,BASELINE,14.5
2025-05-17 17:14:30,13,BASELINE,14.75
2025-05-17 17:14:45,13,BASELINE,15.0
2025-05-17 17:15:00,13,BASELINE,15.25
2025-05-17 17:15:15,13,BASELINE,15.5
2025-05-17 17:15:30,13,BASELINE,15.75
2025-05-17 17:15:45,13,BASELINE,16.0
2025-05-17 17:16:00,13,BASELINE,16.25
2025-05-17 17:16:15,13,BASELINE,16.5
2025-05-17 17:16:30,12,BASELINE,16.75
2025-05-17 17:16:45,12,BASELINE,17.0
