Time,api_gateway
2025-07-08 23:42:00,0
2025-07-08 23:42:15,0
2025-07-08 23:42:30,0
2025-07-08 23:42:45,0
2025-07-08 23:43:00,0
2025-07-08 23:43:15,0
2025-07-08 23:43:30,0
2025-07-08 23:43:45,0
2025-07-08 23:44:00,0
2025-07-08 23:44:15,0
2025-07-08 23:44:30,0
2025-07-08 23:44:45,0
2025-07-08 23:45:00,0
2025-07-08 23:45:15,0
2025-07-08 23:45:30,0
2025-07-08 23:45:45,0
2025-07-08 23:46:00,0
2025-07-08 23:46:15,0
2025-07-08 23:46:30,0
2025-07-08 23:46:45,0
2025-07-09 00:32:00,0
2025-07-09 00:32:15,0
2025-07-09 00:32:30,0
2025-07-09 00:32:45,0
2025-07-09 00:33:00,0
2025-07-09 00:33:15,0
2025-07-09 00:33:30,0
2025-07-09 00:33:45,0
2025-07-09 00:34:00,0
2025-07-09 00:34:15,0
2025-07-09 00:34:30,0
2025-07-09 00:34:45,0
2025-07-09 00:35:00,0
2025-07-09 00:35:15,0
2025-07-09 00:35:30,0
2025-07-09 00:35:45,0
2025-07-09 00:36:00,0
2025-07-09 00:36:15,0
2025-07-09 00:36:30,0
2025-07-09 00:36:45,0
