Time,customers_service
2025-07-10 21:52:45,0
2025-07-10 21:53:00,0
2025-07-10 21:53:15,0
2025-07-10 21:53:30,0
2025-07-10 21:53:45,0
2025-07-10 21:54:00,0
2025-07-10 21:54:15,24
2025-07-10 21:54:30,24
2025-07-10 21:54:45,24
2025-07-10 21:55:00,24
2025-07-10 21:55:15,45
2025-07-10 21:55:30,45
2025-07-10 21:55:45,45
2025-07-10 21:56:00,45
2025-07-10 21:56:15,99
2025-07-10 21:56:30,99
2025-07-10 21:56:45,99
2025-07-10 21:57:00,99
2025-07-10 21:57:15,329
2025-07-10 21:57:30,329
2025-07-10 21:57:45,329
2025-07-10 21:58:00,329
2025-07-10 21:58:15,35
2025-07-10 21:58:30,35
2025-07-10 21:58:45,35
2025-07-10 21:59:00,35
2025-07-10 21:59:15,41
2025-07-10 21:59:30,41
2025-07-10 21:59:45,41
2025-07-10 22:00:00,41
2025-07-10 22:00:15,97
2025-07-10 22:00:30,97
2025-07-10 22:00:45,97
2025-07-10 22:01:00,97
2025-07-10 22:01:15,0
2025-07-10 22:01:30,0
2025-07-10 22:01:45,0
2025-07-10 22:02:00,0
2025-07-10 22:02:15,0
2025-07-10 22:02:30,0
2025-07-10 22:02:45,0
2025-07-10 22:03:00,0
2025-07-10 22:03:15,0
2025-07-10 22:03:30,0
2025-07-10 22:03:45,0
2025-07-10 22:04:00,0
2025-07-10 22:04:15,87
2025-07-10 22:04:30,87
2025-07-10 22:04:45,87
2025-07-10 22:05:00,87
2025-07-10 22:05:15,16
2025-07-10 22:05:30,16
2025-07-10 22:05:45,16
2025-07-10 22:06:00,16
2025-07-10 22:06:15,178
2025-07-10 22:06:30,178
2025-07-10 22:06:45,178
2025-07-10 22:07:00,178
2025-07-10 22:07:15,0
2025-07-10 22:07:30,0
2025-07-10 22:07:45,0
2025-07-10 22:08:00,0
2025-07-10 22:08:15,45
2025-07-10 22:08:30,45
2025-07-10 22:08:45,45
2025-07-10 22:09:00,45
2025-07-10 22:09:15,25
2025-07-10 22:09:30,25
2025-07-10 22:09:45,25
2025-07-10 22:10:00,25
2025-07-10 22:10:15,4
2025-07-10 22:10:30,4
2025-07-10 22:10:45,4
2025-07-10 22:11:00,4
2025-07-10 22:11:15,0
2025-07-10 22:11:30,0
2025-07-10 22:11:45,0
2025-07-10 22:12:00,0
2025-07-10 22:12:15,4157
2025-07-10 22:12:30,4157
2025-07-10 22:12:45,4157
2025-07-10 22:13:00,4157
2025-07-10 22:13:15,353
2025-07-10 22:13:30,353
2025-07-10 22:13:45,353
2025-07-10 22:14:00,353
2025-07-10 22:14:15,72
2025-07-10 22:14:30,72
2025-07-10 22:14:45,72
2025-07-10 22:15:00,72
2025-07-10 22:15:15,32
2025-07-10 22:15:30,32
2025-07-10 22:15:45,32
2025-07-10 22:16:00,32
2025-07-10 22:16:15,904
2025-07-10 22:16:30,904
2025-07-10 22:16:45,904
2025-07-10 22:17:00,904
2025-07-10 22:17:15,824
2025-07-10 22:17:30,824
2025-07-10 22:17:45,824
2025-07-10 22:18:00,824
2025-07-10 22:18:15,173
2025-07-10 22:18:30,173
2025-07-10 22:18:45,173
2025-07-10 22:19:00,173
2025-07-10 22:19:15,0
2025-07-10 22:19:30,0
2025-07-10 22:19:45,0
2025-07-10 22:20:00,0
2025-07-10 22:20:15,2
2025-07-10 22:20:30,2
2025-07-10 22:20:45,2
2025-07-10 22:21:00,2
2025-07-10 22:21:15,2154
2025-07-10 22:21:30,2154
2025-07-10 22:21:45,2154
2025-07-10 22:22:00,2154
2025-07-10 22:22:15,0
2025-07-10 22:22:30,0
2025-07-10 22:22:45,0
2025-07-10 22:23:00,0
2025-07-10 22:23:15,0
2025-07-10 22:23:30,0
2025-07-10 22:23:45,0
2025-07-10 22:24:00,0
2025-07-10 22:24:15,0
2025-07-10 22:24:30,0
2025-07-10 22:24:45,0
2025-07-10 22:25:00,0
2025-07-10 22:25:15,1
2025-07-10 22:25:30,1
2025-07-10 22:25:45,1
2025-07-10 22:26:00,1
2025-07-10 22:26:15,1
2025-07-10 22:26:30,1
2025-07-10 22:26:45,1
2025-07-10 22:27:00,1
2025-07-10 22:27:15,1
2025-07-10 22:27:30,1
2025-07-10 22:27:45,1
2025-07-10 22:28:00,1
2025-07-10 22:28:15,1
2025-07-10 22:28:30,1
2025-07-10 22:28:45,1
2025-07-10 22:29:00,1
2025-07-10 22:29:15,1
2025-07-10 22:29:30,1
2025-07-10 22:29:45,1
2025-07-10 22:30:00,1
2025-07-10 22:30:15,1
2025-07-10 22:30:30,0
2025-07-10 22:30:45,0
2025-07-10 22:31:00,0
2025-07-10 22:31:15,0
2025-07-10 22:31:30,0
2025-07-10 22:31:45,0
2025-07-10 22:32:00,0
2025-07-10 22:32:15,0
2025-07-10 22:32:30,0
2025-07-10 22:32:45,0
2025-07-10 22:33:00,0
2025-07-10 22:33:15,0
2025-07-10 22:33:30,0
2025-07-10 22:33:45,0
2025-07-10 22:34:00,0
2025-07-10 22:34:15,0
2025-07-10 22:34:30,0
2025-07-10 22:34:45,0
2025-07-10 22:35:00,0
2025-07-10 22:35:15,0
2025-07-10 22:35:30,2
2025-07-10 22:35:45,2
2025-07-10 22:36:00,2
2025-07-10 22:36:15,2
2025-07-10 22:36:30,0
2025-07-10 22:36:45,0
2025-07-10 22:37:00,0
2025-07-10 22:37:15,0
2025-07-10 22:37:30,0
2025-07-10 22:37:45,0
2025-07-10 22:38:00,0
2025-07-10 22:38:15,0
2025-07-10 22:38:30,0
2025-07-10 22:38:45,0
2025-07-10 22:39:00,0
2025-07-10 22:39:15,0
2025-07-10 22:39:30,1
2025-07-10 22:39:45,1
2025-07-10 22:40:00,1
2025-07-10 22:40:15,1
2025-07-10 22:40:30,0
2025-07-10 22:40:45,0
2025-07-10 22:41:00,0
2025-07-10 22:41:15,0
2025-07-10 22:41:30,0
2025-07-10 22:41:45,0
2025-07-10 22:42:00,0
2025-07-10 22:42:15,0
2025-07-10 22:42:30,0
2025-07-10 22:42:45,0
2025-07-10 22:43:00,0
2025-07-10 22:43:15,0
2025-07-10 22:43:30,0
2025-07-10 22:43:45,0
2025-07-10 22:44:00,0
2025-07-10 22:44:15,0
2025-07-10 22:44:30,1
2025-07-10 22:44:45,1
2025-07-10 22:45:00,1
2025-07-10 22:45:15,1
2025-07-10 22:45:30,0
2025-07-10 22:45:45,0
2025-07-10 22:46:00,0
2025-07-10 22:46:15,0
2025-07-10 22:46:30,0
2025-07-10 22:46:45,0
2025-07-10 22:47:00,0
2025-07-10 22:47:15,0
2025-07-10 22:47:30,4
2025-07-10 22:47:45,4
2025-07-10 22:48:00,4
2025-07-10 22:48:15,4
2025-07-10 22:48:30,0
2025-07-10 22:48:45,0
2025-07-10 22:49:00,0
2025-07-10 22:49:15,0
2025-07-10 22:49:30,0
2025-07-10 22:49:45,0
2025-07-10 22:50:00,0
2025-07-10 22:50:15,0
2025-07-10 22:50:30,0
2025-07-10 22:50:45,0
2025-07-10 22:51:00,0
2025-07-10 22:51:15,0
2025-07-10 22:51:30,0
2025-07-10 22:51:45,0
2025-07-10 22:52:00,0
2025-07-10 22:52:15,0
2025-07-10 22:52:30,1
2025-07-10 22:52:45,1
2025-07-10 22:53:00,1
2025-07-10 22:53:15,1
2025-07-10 22:53:30,1
2025-07-10 22:53:45,1
2025-07-10 22:54:00,1
2025-07-10 22:54:15,1
2025-07-10 22:54:30,0
2025-07-10 22:54:45,0
2025-07-10 22:55:00,0
2025-07-10 22:55:15,0
2025-07-10 22:55:30,1
2025-07-10 22:55:45,1
2025-07-10 22:56:00,1
2025-07-10 22:56:15,1
2025-07-10 22:56:30,0
2025-07-10 22:56:45,0
2025-07-10 22:57:00,0
2025-07-10 22:57:15,0
2025-07-10 22:57:30,0
2025-07-10 22:57:45,0
2025-07-10 22:58:00,0
2025-07-10 22:58:15,0
2025-07-10 22:58:30,0
2025-07-10 22:58:45,0
2025-07-10 22:59:00,0
2025-07-10 22:59:15,0
2025-07-10 22:59:30,0
2025-07-10 22:59:45,0
2025-07-10 23:00:00,0
2025-07-10 23:00:15,0
2025-07-10 23:00:30,0
2025-07-10 23:00:45,0
2025-07-10 23:01:00,0
2025-07-10 23:01:15,0
2025-07-10 23:01:30,0
2025-07-10 23:01:45,0
2025-07-10 23:02:00,0
2025-07-10 23:02:15,0
2025-07-10 23:02:30,1
2025-07-10 23:02:45,1
2025-07-10 23:03:00,1
2025-07-10 23:03:15,1
2025-07-10 23:03:30,0
2025-07-10 23:03:45,0
2025-07-10 23:04:00,0
2025-07-10 23:04:15,0
2025-07-10 23:04:30,0
2025-07-10 23:04:45,0
2025-07-10 23:05:00,0
2025-07-10 23:05:15,0
2025-07-10 23:05:30,0
2025-07-10 23:05:45,0
2025-07-10 23:06:00,0
2025-07-10 23:06:15,0
2025-07-10 23:06:30,0
2025-07-10 23:06:45,0
2025-07-10 23:07:00,0
2025-07-10 23:07:15,0
2025-07-10 23:07:30,0
2025-07-10 23:07:45,0
2025-07-10 23:08:00,0
2025-07-10 23:08:15,0
2025-07-10 23:08:30,0
2025-07-10 23:08:45,0
2025-07-10 23:09:00,0
2025-07-10 23:09:15,0
2025-07-10 23:09:30,1
2025-07-10 23:09:45,1
2025-07-10 23:10:00,1
2025-07-10 23:10:15,1
2025-07-10 23:10:30,0
2025-07-10 23:10:45,0
2025-07-10 23:11:00,0
2025-07-10 23:11:15,0
2025-07-10 23:11:30,0
2025-07-10 23:11:45,0
2025-07-10 23:12:00,0
2025-07-10 23:12:15,0
2025-07-10 23:12:30,0
2025-07-10 23:12:45,0
2025-07-10 23:13:00,0
2025-07-10 23:13:15,0
2025-07-10 23:13:30,0
2025-07-10 23:13:45,0
2025-07-10 23:14:00,0
2025-07-10 23:14:15,0
2025-07-10 23:14:30,5
2025-07-10 23:14:45,5
2025-07-10 23:15:00,5
2025-07-10 23:15:15,5
2025-07-10 23:15:30,2
2025-07-10 23:15:45,2
2025-07-10 23:16:00,2
2025-07-10 23:16:15,2
2025-07-10 23:16:30,0
2025-07-10 23:16:45,0
2025-07-10 23:17:00,0
2025-07-10 23:17:15,0
2025-07-10 23:17:30,0
2025-07-10 23:17:45,0
2025-07-10 23:18:00,0
2025-07-10 23:18:15,0
2025-07-10 23:18:30,0
2025-07-10 23:18:45,0
2025-07-10 23:19:00,0
2025-07-10 23:19:15,0
2025-07-10 23:19:30,18
2025-07-10 23:19:45,18
2025-07-10 23:20:00,18
2025-07-10 23:20:15,18
2025-07-10 23:20:30,0
2025-07-10 23:20:45,0
2025-07-10 23:21:00,0
2025-07-10 23:21:15,0
2025-07-10 23:21:30,0
2025-07-10 23:21:45,0
2025-07-10 23:22:00,0
2025-07-10 23:22:15,0
