Time,visits_service,source,Minutes
2025-05-17 18:03:45,0.0,CPU_STRESS,47.5
2025-05-17 18:04:00,0.0,CPU_STRESS,47.75
2025-05-17 18:04:15,0.0,CPU_STRESS,48.0
2025-05-17 18:04:30,0.0,CPU_STRESS,48.25
2025-05-17 18:04:45,0.0,CPU_STRESS,48.5
2025-05-17 18:05:00,0.0,CPU_STRESS,48.75
2025-05-17 18:05:15,0.0,CPU_STRESS,49.0
2025-05-17 18:05:30,0.0,CPU_STRESS,49.25
2025-05-17 18:05:45,0.0,CPU_STRESS,49.5
2025-05-17 18:06:00,0.0,CPU_STRESS,49.75
2025-05-17 18:06:15,0.0,CPU_STRESS,50.0
2025-05-17 18:06:30,0.0,CPU_STRESS,50.25
2025-05-17 18:06:45,0.0,CPU_STRESS,50.5
2025-05-17 18:07:00,0.0,CPU_STRESS,50.75
2025-05-17 18:07:15,0.0,CPU_STRESS,51.0
2025-05-17 18:07:30,0.0,CPU_STRESS,51.25
2025-05-17 18:07:45,0.0,CPU_STRESS,51.5
2025-05-17 18:08:00,0.0,CPU_STRESS,51.75
2025-05-17 18:10:15,0.0,CPU_STRESS,54.0
2025-05-17 18:10:30,0.0,CPU_STRESS,54.25
2025-05-17 18:10:45,0.0,CPU_STRESS,54.5
2025-05-17 18:11:00,0.0,CPU_STRESS,54.75
2025-05-17 18:11:15,0.0,CPU_STRESS,55.0
2025-05-17 18:11:30,0.0,CPU_STRESS,55.25
2025-05-17 18:11:45,0.0,CPU_STRESS,55.5
2025-05-17 18:12:00,0.0,CPU_STRESS,55.75
2025-05-17 18:12:15,0.0,CPU_STRESS,56.0
2025-05-17 18:12:30,0.0,CPU_STRESS,56.25
2025-05-17 18:12:45,0.0,CPU_STRESS,56.5
2025-05-17 18:13:00,0.0,CPU_STRESS,56.75
2025-05-17 18:13:15,0.0,CPU_STRESS,57.0
2025-05-17 18:13:30,0.0,CPU_STRESS,57.25
2025-05-17 18:13:45,0.0,CPU_STRESS,57.5
2025-05-17 18:14:00,0.0,CPU_STRESS,57.75
2025-05-17 18:14:15,0.0,CPU_STRESS,58.0
2025-05-17 18:14:30,0.0,CPU_STRESS,58.25
2025-05-17 18:14:45,0.0,CPU_STRESS,58.5
2025-05-17 18:15:00,0.0,CPU_STRESS,58.75
2025-05-17 18:15:15,0.0,CPU_STRESS,59.0
2025-05-17 18:15:30,0.0,CPU_STRESS,59.25
2025-05-17 18:15:45,0.0,CPU_STRESS,59.5
2025-05-17 18:16:00,0.0,CPU_STRESS,59.75
2025-05-17 18:16:15,0.0,CPU_STRESS,60.0
2025-05-17 18:16:30,0.0,CPU_STRESS,60.25
2025-05-17 18:16:45,0.0,CPU_STRESS,60.5
2025-05-17 18:17:00,0.0,CPU_STRESS,60.75
2025-05-17 18:17:15,0.0,CPU_STRESS,61.0
2025-05-17 18:17:30,0.0,CPU_STRESS,61.25
2025-05-17 18:17:45,0.0,CPU_STRESS,61.5
2025-05-17 18:18:00,0.0,CPU_STRESS,61.75
2025-05-17 18:26:15,0.0,CPU_STRESS,70.0
2025-05-17 18:26:30,0.0,CPU_STRESS,70.25
2025-05-17 18:26:45,0.0,CPU_STRESS,70.5
2025-05-17 18:27:00,0.0,CPU_STRESS,70.75
2025-05-17 18:27:15,0.0,CPU_STRESS,71.0
2025-05-17 18:27:30,0.0,CPU_STRESS,71.25
2025-05-17 18:27:45,0.0,CPU_STRESS,71.5
2025-05-17 18:28:00,0.0,CPU_STRESS,71.75
2025-05-17 18:28:15,0.0,CPU_STRESS,72.0
2025-05-17 18:28:30,0.0,CPU_STRESS,72.25
2025-05-17 18:28:45,0.0,CPU_STRESS,72.5
2025-05-17 18:29:00,0.0,CPU_STRESS,72.75
2025-05-17 18:29:15,0.0,CPU_STRESS,73.0
2025-05-17 18:29:30,0.0,CPU_STRESS,73.25
2025-05-17 18:29:45,0.0,CPU_STRESS,73.5
2025-05-17 18:30:00,0.0,CPU_STRESS,73.75
2025-05-17 18:30:15,0.0,CPU_STRESS,74.0
2025-05-17 18:30:30,0.0,CPU_STRESS,74.25
2025-05-17 18:30:45,0.0,CPU_STRESS,74.5
2025-05-17 18:31:00,0.0,CPU_STRESS,74.75
2025-05-17 18:32:30,0.0,CPU_STRESS,76.25
2025-05-17 18:32:45,0.0,CPU_STRESS,76.5
2025-05-17 18:33:00,0.0,CPU_STRESS,76.75
2025-05-17 18:33:15,0.0,CPU_STRESS,77.0
2025-05-17 18:33:30,0.0,CPU_STRESS,77.25
2025-05-17 18:33:45,0.0,CPU_STRESS,77.5
2025-05-17 18:34:00,0.0,CPU_STRESS,77.75
2025-05-17 18:34:15,0.0,CPU_STRESS,78.0
2025-05-17 18:34:30,0.0,CPU_STRESS,78.25
2025-05-17 18:34:45,0.0,CPU_STRESS,78.5
2025-05-17 18:35:00,0.0,CPU_STRESS,78.75
2025-05-17 18:35:15,0.0,CPU_STRESS,79.0
2025-05-17 18:35:30,0.0,CPU_STRESS,79.25
2025-05-17 18:35:45,0.0,CPU_STRESS,79.5
2025-05-17 18:36:00,0.0,CPU_STRESS,79.75
2025-05-17 18:36:15,0.0,CPU_STRESS,80.0
2025-05-17 18:36:30,0.0,CPU_STRESS,80.25
2025-05-17 18:36:45,0.0,CPU_STRESS,80.5
2025-05-17 18:37:00,0.0,CPU_STRESS,80.75
2025-05-17 18:37:15,0.0,CPU_STRESS,81.0
2025-05-17 18:40:30,0.0,CPU_STRESS,84.25
2025-05-17 18:40:45,0.0,CPU_STRESS,84.5
2025-05-17 18:41:00,0.0,CPU_STRESS,84.75
2025-05-17 18:41:15,0.0,CPU_STRESS,85.0
2025-05-17 18:41:30,3.75,CPU_STRESS,85.25
2025-05-17 18:41:45,3.75,CPU_STRESS,85.5
2025-05-17 18:42:00,3.75,CPU_STRESS,85.75
2025-05-17 18:42:15,3.75,CPU_STRESS,86.0
2025-05-17 18:42:30,2.25,CPU_STRESS,86.25
2025-05-17 18:42:45,2.25,CPU_STRESS,86.5
2025-05-17 18:43:00,2.25,CPU_STRESS,86.75
2025-05-17 18:43:15,2.25,CPU_STRESS,87.0
2025-05-17 18:43:30,0.0,CPU_STRESS,87.25
2025-05-17 18:43:45,0.0,CPU_STRESS,87.5
2025-05-17 18:44:00,0.0,CPU_STRESS,87.75
2025-05-17 18:44:15,0.0,CPU_STRESS,88.0
2025-05-17 18:44:30,0.0,CPU_STRESS,88.25
2025-05-17 18:44:45,0.0,CPU_STRESS,88.5
2025-05-17 18:45:00,0.0,CPU_STRESS,88.75
2025-05-17 18:45:15,0.0,CPU_STRESS,89.0
2025-05-17 18:45:30,0.0,CPU_STRESS,89.25
2025-05-17 18:45:45,0.0,CPU_STRESS,89.5
2025-05-17 18:46:00,0.0,CPU_STRESS,89.75
2025-05-17 18:46:15,0.0,CPU_STRESS,90.0
2025-05-17 18:46:30,0.0,CPU_STRESS,90.25
2025-05-17 18:46:45,0.0,CPU_STRESS,90.5
2025-05-17 18:47:00,0.0,CPU_STRESS,90.75
2025-05-17 18:47:15,0.0,CPU_STRESS,91.0
2025-05-17 18:47:30,0.0,CPU_STRESS,91.25
2025-05-17 18:47:45,0.0,CPU_STRESS,91.5
2025-05-17 18:48:00,0.0,CPU_STRESS,91.75
2025-05-17 18:48:15,0.0,CPU_STRESS,92.0
2025-05-17 18:59:30,0.0,CPU_STRESS,103.25
2025-05-17 18:59:45,0.0,CPU_STRESS,103.5
2025-05-17 19:00:00,0.0,CPU_STRESS,103.75
2025-05-17 19:00:15,0.0,CPU_STRESS,104.0
