minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memory_mem_available,memory_source,memory_Minutes,memory_mem_cache,memory_source,memory_Minutes,memory_mem_util,memory_source,memory_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
6.25,15334257.794558857,MEM_STRESS,6.25,4054293.8513813065,MEM_STRESS,6.25,15343400,MEM_STRESS,6.25,4045940,MEM_STRESS,6.25,37.70342857142851,MEM_STRESS,6.25,37.63767861804861,MEM_STRESS,6.25
6.5,15314622.192433195,MEM_STRESS,6.5,4054387.396609634,MEM_STRESS,6.5,15317204,MEM_STRESS,6.5,4046080,MEM_STRESS,6.5,37.71999999999994,MEM_STRESS,6.5,37.83841184297641,MEM_STRESS,6.5
6.75,15231976.12431916,MEM_STRESS,6.75,4054189.7435082174,MEM_STRESS,6.75,15218724,MEM_STRESS,6.75,4053939,MEM_STRESS,6.75,38.03049999999998,MEM_STRESS,6.75,38.095650321319546,MEM_STRESS,6.75
7.0,15174497.880780697,MEM_STRESS,7.0,4054737.650194755,MEM_STRESS,7.0,15192805,MEM_STRESS,7.0,4054186,MEM_STRESS,7.0,38.51450000000002,MEM_STRESS,7.0,38.1313101698044,MEM_STRESS,7.0
7.25,15066216.825486545,MEM_STRESS,7.25,4055496.954797039,MEM_STRESS,7.25,15077144,MEM_STRESS,7.25,4055845,MEM_STRESS,7.25,38.73200000000005,MEM_STRESS,7.25,38.72285669528785,MEM_STRESS,7.25
7.5,15027985.60029864,MEM_STRESS,7.5,4056350.040453614,MEM_STRESS,7.5,15015884,MEM_STRESS,7.5,4056582,MEM_STRESS,7.5,38.86600000000006,MEM_STRESS,7.5,38.90747442104335,MEM_STRESS,7.5
7.75,15004355.2319319,MEM_STRESS,7.75,4057518.379014248,MEM_STRESS,7.75,14978799,MEM_STRESS,7.75,4056786,MEM_STRESS,7.75,38.975333333333374,MEM_STRESS,7.75,39.027652884075,MEM_STRESS,7.75
8.0,14961969.64551641,MEM_STRESS,8.0,4058289.657726016,MEM_STRESS,8.0,14975850,MEM_STRESS,8.0,4057299,MEM_STRESS,8.0,39.24233333333336,MEM_STRESS,8.0,39.078850518312095,MEM_STRESS,8.0
8.25,14903875.379607862,MEM_STRESS,8.25,4058640.2899780106,MEM_STRESS,8.25,14910137,MEM_STRESS,8.25,4058502,MEM_STRESS,8.25,39.4488,MEM_STRESS,8.25,39.40405891492923,MEM_STRESS,8.25
8.5,14843871.047963588,MEM_STRESS,8.5,4058900.407085433,MEM_STRESS,8.5,14858411,MEM_STRESS,8.5,4058894,MEM_STRESS,8.5,39.5298,MEM_STRESS,8.5,39.57835078237551,MEM_STRESS,8.5
8.75,14844715.36391535,MEM_STRESS,8.75,4060174.780053716,MEM_STRESS,8.75,14840036,MEM_STRESS,8.75,4059120,MEM_STRESS,8.75,39.536133333333325,MEM_STRESS,8.75,39.545531903705175,MEM_STRESS,8.75
9.0,14837857.374764768,MEM_STRESS,9.0,4060252.2213607063,MEM_STRESS,9.0,14839538,MEM_STRESS,9.0,4059433,MEM_STRESS,9.0,39.5701333333333,MEM_STRESS,9.0,39.555523301196565,MEM_STRESS,9.0
