minutes,apigateway_api_gateway,apigateway_source,blocklatency_disk sda,blocklatency_source,customersservice_customers_service,customersservice_source,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,memavailable_mem_available,memavailable_source,memcache_mem_cache,memcache_source,memutil_mem_util,memutil_source,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,srtt_source,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,vetsservice_vets_service,vetsservice_source,visitsservice_visits_service,visitsservice_source,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source
2025-05-17 17:03:45,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,19.0,18.0,50.0,3.0,12.0,4.0,3.0,0.0,0.0,0.0,MEM_STRESS,500.0,580.0,750.0,320.0,370.0,314.0,310.0,340.0,0.0,0.0,MEM_STRESS,16580635.0,MEM_STRESS,4046144.0,MEM_STRESS,32.29499999999995,MEM_STRESS,61440,10580,184.56988442823163,1193819,MEM_STRESS,MEM_STRESS,3458.2890781573724,1061.0,1066.0,1239.0,1550.0,1517.0,1333.0,1360.0,1606.0,0.0,0.0,MEM_STRESS,5200.0,5090.0,7050.0,16080.0,17180.0,14630.0,16150.0,14960.0,0.0,0.0,MEM_STRESS,24.1,23.1,26.9,31.1,32.9,28.0,30.7,29.2,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1593344,3457936,582065.5182143287,10594304,MEM_STRESS
2025-05-17 17:04:00,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,19.0,18.0,50.0,2.0,13.0,2.0,2.0,1.0,0.0,0.0,MEM_STRESS,500.0,580.0,750.0,312.0,373.0,307.0,310.0,340.0,0.0,0.0,MEM_STRESS,16471399.0,MEM_STRESS,4047364.0,MEM_STRESS,32.607999999999976,MEM_STRESS,61440,10580,184.56988442823163,1087690,MEM_STRESS,MEM_STRESS,3232.3695664012757,1061.0,1076.0,1239.0,1533.0,1512.0,1321.0,1360.0,1587.0,0.0,0.0,MEM_STRESS,5200.0,5090.0,7050.0,16080.0,17180.0,14630.0,16150.0,14960.0,0.0,0.0,MEM_STRESS,24.1,23.1,26.9,31.1,32.9,28.0,30.7,29.2,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1593344,3765974,582065.5182143287,10594304,MEM_STRESS
2025-05-17 17:04:15,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,13.0,17.0,50.0,4.0,10.0,2.0,3.0,6.0,0.0,0.0,MEM_STRESS,482.0,557.0,723.0,306.0,362.0,314.0,269.0,373.0,0.0,0.0,MEM_STRESS,16445627.0,MEM_STRESS,4047507.0,MEM_STRESS,33.396833333333355,MEM_STRESS,0,10580,184.56988442823163,86101,MEM_STRESS,MEM_STRESS,3192.1511103842586,1020.0,1101.0,1237.0,1506.0,1524.0,1368.0,1343.0,1602.0,0.0,0.0,MEM_STRESS,5147.0,5397.0,6821.0,16213.0,15840.0,14511.0,15350.0,16085.0,0.0,0.0,MEM_STRESS,20.23470148555529,22.99167451159951,25.693407263840392,27.467061829519693,29.68201382430943,27.97681825396826,30.83499999999997,28.788036522026303,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1593344,4730374,582065.5182143287,10594304,MEM_STRESS
2025-05-17 17:04:30,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,9.0,17.0,15.0,4.0,10.0,3.0,3.0,6.0,0.0,0.0,MEM_STRESS,482.0,558.0,722.0,305.0,362.0,315.0,267.0,373.0,0.0,0.0,MEM_STRESS,16320292.0,MEM_STRESS,4046438.0,MEM_STRESS,33.73000000000004,MEM_STRESS,0,10580,184.56988442823163,86101,MEM_STRESS,MEM_STRESS,3164.4255490137966,1007.0,1105.0,1238.0,1492.0,1530.0,1378.0,1343.0,1604.0,0.0,0.0,MEM_STRESS,4280.0,5396.0,6822.0,14325.0,15840.0,14511.0,14260.0,14565.0,0.0,0.0,MEM_STRESS,20.23470148555529,22.99167451159951,25.693407263840392,27.59511182951969,29.68201382430943,27.97681825396826,27.0,28.788036522026303,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,2066104,4938828,582065.5182143287,6479872,MEM_STRESS
2025-05-17 17:04:45,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,0.0,10.0,15.0,4.0,17.0,8.0,3.0,19.0,0.0,0.0,MEM_STRESS,444.0,547.0,711.0,288.0,342.0,332.0,249.0,383.0,0.0,0.0,MEM_STRESS,16269464.0,MEM_STRESS,4048213.0,MEM_STRESS,34.023000000000046,MEM_STRESS,0,10580,184.56988442823163,86101,MEM_STRESS,MEM_STRESS,3075.041350136338,843.0,1158.0,1254.0,1305.0,1534.0,1575.0,1231.0,1698.0,0.0,0.0,MEM_STRESS,4280.0,5388.0,6768.0,14325.0,15216.0,14456.0,14260.0,14565.0,0.0,0.0,MEM_STRESS,20.20958809523808,22.21864428904429,25.011907471999976,26.865653401010757,29.24593424908427,27.969301587301583,27.0,28.715299198677144,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,5823488,4996760,582065.5182143287,6479872,MEM_STRESS
2025-05-17 17:05:00,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,0.0,9.0,15.0,4.0,18.0,9.0,3.0,19.0,0.0,0.0,MEM_STRESS,427.0,533.0,704.0,283.0,341.0,338.0,248.0,389.0,0.0,0.0,MEM_STRESS,16184649.0,MEM_STRESS,4049274.0,MEM_STRESS,34.157000000000046,MEM_STRESS,432,10580,184.56988442823163,66051,MEM_STRESS,MEM_STRESS,2927.4039702498867,836.0,1157.0,1261.0,1276.0,1537.0,1594.0,1159.0,1716.0,0.0,0.0,MEM_STRESS,4280.0,5388.0,6747.0,14325.0,15110.0,14439.0,14260.0,14565.0,0.0,0.0,MEM_STRESS,19.83983313492062,21.949765223828468,24.868355784846912,26.417633643545987,29.1831565934066,28.034001587301585,27.0,28.958470591173526,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1359872,5003172,582065.5182143287,6479872,MEM_STRESS
2025-05-17 17:05:15,0.0,MEM_STRESS,13,MEM_STRESS,43.0,MEM_STRESS,5.0,8.0,0.0,4.0,18.0,11.0,3.0,17.0,0.0,0.0,MEM_STRESS,424.0,534.0,700.0,278.0,347.0,342.0,254.0,400.0,0.0,0.0,MEM_STRESS,16163020.0,MEM_STRESS,4050144.0,MEM_STRESS,34.55500000000004,MEM_STRESS,432,10580,184.56988442823163,66051,MEM_STRESS,MEM_STRESS,2933.005826256861,892.0,1131.0,1269.0,1237.0,1552.0,1555.0,1136.0,1702.0,0.0,0.0,MEM_STRESS,4280.0,5416.0,6802.0,14325.0,15052.0,14472.0,14260.0,14565.0,0.0,0.0,MEM_STRESS,19.72918836546079,21.824121776486333,24.589209509635182,25.41729753422016,29.09190866910868,28.073051587301592,27.0,29.107924581189355,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1359872,5145201,582065.5182143287,6555033,MEM_STRESS
2025-05-17 17:05:30,0.0,MEM_STRESS,13,MEM_STRESS,43.0,MEM_STRESS,9.0,8.0,10.0,4.0,18.0,11.0,3.0,16.0,0.0,0.0,MEM_STRESS,426.0,530.0,697.0,277.0,348.0,343.0,259.0,401.0,0.0,0.0,MEM_STRESS,16064823.0,MEM_STRESS,4049743.0,MEM_STRESS,34.71600000000004,MEM_STRESS,432,10580,184.56988442823163,66051,MEM_STRESS,MEM_STRESS,2984.0031524738047,893.0,1124.0,1269.0,1239.0,1553.0,1555.0,1136.0,1706.0,0.0,0.0,MEM_STRESS,3990.0,5427.0,6857.0,13590.0,15189.0,14490.0,13690.0,16820.0,0.0,0.0,MEM_STRESS,19.841688221160645,21.806940824105386,24.83819761338966,25.45981301041063,29.328258669108667,28.35229325396826,26.1,29.19786613963091,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1359872,5192007,582065.5182143287,6555033,MEM_STRESS
2025-05-17 17:05:45,0.0,MEM_STRESS,13,MEM_STRESS,43.0,MEM_STRESS,19.0,1.0,10.0,8.0,11.0,27.0,3.0,10.0,0.0,0.0,MEM_STRESS,480.0,521.0,687.0,271.0,352.0,344.0,275.0,418.0,0.0,0.0,MEM_STRESS,16022557.0,MEM_STRESS,4050101.0,MEM_STRESS,34.84700000000005,MEM_STRESS,432,10580,184.56988442823163,66051,MEM_STRESS,MEM_STRESS,2931.306591692079,972.0,1060.0,1309.0,1244.0,1562.0,1424.0,1271.0,1790.0,0.0,0.0,MEM_STRESS,3990.0,5030.0,7102.0,13590.0,15631.0,15220.0,13690.0,16820.0,0.0,0.0,MEM_STRESS,20.437178574360114,21.474339322850355,25.179653067292488,26.469353017041428,30.26171269841271,29.088700396825388,26.1,30.802857142122576,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1220608,5174482,582065.5182143287,6610415,MEM_STRESS
2025-05-17 17:06:00,0.0,MEM_STRESS,13,MEM_STRESS,43.0,MEM_STRESS,19.0,1.0,8.0,8.0,10.0,27.0,3.0,10.0,0.0,0.0,MEM_STRESS,496.0,527.0,686.0,275.0,354.0,351.0,277.0,422.0,0.0,0.0,MEM_STRESS,15873246.0,MEM_STRESS,4051480.0,MEM_STRESS,35.181000000000054,MEM_STRESS,432,10580,184.56988442823163,66051,MEM_STRESS,MEM_STRESS,2945.586614793885,992.0,1050.0,1316.0,1258.0,1571.0,1414.0,1364.0,1812.0,0.0,0.0,MEM_STRESS,3990.0,5030.0,7146.0,13590.0,15743.0,15870.0,13690.0,16820.0,0.0,0.0,MEM_STRESS,20.82253060895916,21.484487879848917,25.23227154032273,26.874639771953174,30.69790151515153,29.658520238095225,26.1,33.12330939167042,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,1220608,5175783,582065.5182143287,6611646,MEM_STRESS
