readbytes_read_bytes_cumulative,writebytes_write_bytes_cumulative
36197,1766
36197,1766
36197,1766
15303,1766
15352,1725
15352,1725
15352,1725
15352,1725
15352,1725
15352,1725
15352,1725
15352,4345
15942,20161
20807,140925
177694,215071
205009,223655
274076,176680
273837,127337
92380,54946
56243,44343
20220,2383
19565,2383
19565,2383
18545,2383
17158,2383
17158,2383
16432,2383
16432,2383
16030,2383
16030,2383
16030,2383
16030,2383
16030,2383
16033,13843
16036,52220
15286,40590
15314,2528
15387,2528
15328,2528
14406,2528
14406,2528
14406,2528
31008,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14401,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
14403,2528
15127,2528
15127,2528
15425,2528
16394,4699
17208,11211
17334,35143
22874,213358
236608,341214
310551,356010
290199,329360
288028,324225
232097,258155
185118,121539
101186,33691
37986,20523
18552,2618
18552,2618
18242,2618
16702,2618
15229,2618
15229,2618
15229,2618
14867,2618
14867,2618
14867,2618
14867,2618
14867,2618
14867,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14871,2618
14887,2618
14887,2618
14824,2618
25178,2618
30777,2618
15312,2618
15281,2618
15282,2618
15282,2618
15282,2618
15282,2618
15282,2618
15282,2618
15282,2618
15282,2618
15282,1787
15282,1787
15282,1787
15282,1787
15282,1787
15282,1787
589,1787
589,1787
588,1787
678,1787
802,1787
802,1787
17347362,17348347
17347363,17348347
17347363,17348347
17347363,17348347
11680547,11681531
11680547,11681531
11680547,11681531
6013731,6014715
3463971,3464955
3463971,3464955
3463971,3464955
3463971,3464955
457507,458491
457507,696059
457507,636667
457507,577275
803,120571
803,120571
803,61179
803,1787
803,1787
13965,1787
13965,1787
13965,1787
251533,476923
236309,120571
60840,120571
60840,155507
15496,120609
15496,1825
15496,1825
15496,1825
15496,2618
15496,2618
15504,2618
14732,2618
14732,2618
14732,2618
14732,2618
14732,4543
15371,27163
44802,190435
238152,301932
292858,299957
284286,248824
260039,136590
126187,55040
62506,47210
23993,10629
23993,10629
23264,10629
21241,10657
20016,10670
22729,13744
19173,10536
22620,10637
22276,7543
21280,8901
20404,7437
19768,7525
19387,9577
19387,9577
