readbytes_read_bytes_cumulative,writebytes_write_bytes_cumulative
13008896,13008896
9930752,6852608
6858752,704512
6860217,1946201
6858288,940824
23058635,16907262
23058527,16905378
23057240,16904436
23057035,16904477
6504524,352131
6504524,352091
6504524,352091
6504524,352091
3252300,352091
76,352091
76,352091
76,352091
76,1883
13830,1883
13830,1883
13830,1883
13830,1883
13830,1883
13830,1883
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13830,1945
13782,1945
13782,1945
13782,1945
13782,1945
13795,1945
13795,1945
50646,41020
50646,43969
50645,81571
75995,96521
58656,58823
54549,50347
54549,42456
38935,16565
19410,16352
13781,1945
13781,1945
13781,1945
13781,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1945
13829,1883
13829,1883
13829,1883
13829,1883
13842,1883
13842,1883
28,1883
28,1883
28,1883
28,1883
28,38747
28,87899
2101276,2250587
2101276,2497821
2101276,2502491
1486876,1825107
28,138075
28,124025
28,4955
28,5979
28,5979
28,5979
28,5979
28,5979
76,3931
13848,1883
13848,1883
13871,1883
13912,5979
19327,10075
19527,10075
19567,3907
19549,3459
15919,3404
15708,2563
13912,2690
13894,1945
13894,1945
13894,1945
13894,1945
13874,1945
13874,1945
13867,1945
13856,1945
13856,1945
13856,1945
13853,1945
17671,1945
17671,1945
16620,1945
15997,1945
14949,1945
14949,1945
13905,1945
13905,1945
13904,1945
13904,1945
13904,1945
13904,1945
13904,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13896,1945
13908,1945
53866,1945
46642,1945
23390,1945
23390,1945
17340,1945
17340,1945
17340,1945
17340,1945
17340,1945
17340,1945
17340,1945
17340,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
17766,1945
19046,1945
19046,1945
19054,1945
19054,1945
19054,1945
19065,1945
19065,1945
19065,1945
19065,1987
19085,2397
19204,5529
23499,8314
23842,7571
27968,7286
27906,5812
22690,5019
22287,5140
21496,2705
21512,2778
21494,1966
21494,1966
21480,1966
21437,1966
21416,1966
21416,1966
21416,17567
21416,9811
21416,1926
21416,1926
21416,1926
21416,1926
21416,1926
21416,1926
21416,1926
21416,1926
21416,1926
21414,1926
21414,1926
21414,1926
21414,1926
20156,1926
20156,1926
20156,1766
20156,1766
20156,1766
20156,1766
20156,1766
20156,1766
20156,1766
20156,1766
15254,1766
15254,1766
15254,1766
15254,1766
15254,1766
15254,1766
15254,1766
15254,1766
36197,1766
