Time,visits_service
2025-05-21 21:25:15,0
2025-05-21 21:25:30,0
2025-05-21 21:25:45,0
2025-05-21 21:26:00,0
2025-05-21 21:26:15,0
2025-05-21 21:26:30,0
2025-05-21 21:26:45,0
2025-05-21 21:27:00,0
2025-05-21 21:27:15,0
2025-05-21 21:27:30,0
2025-05-21 21:27:45,0
2025-05-21 21:28:00,0
2025-05-21 21:28:15,0
2025-05-21 21:28:30,0
2025-05-21 21:28:45,0
2025-05-21 21:29:00,0
2025-05-21 21:29:15,0
2025-05-21 21:29:30,0
2025-05-21 21:29:45,0
2025-05-21 21:30:00,0
2025-05-21 21:41:15,0
2025-05-21 21:41:30,0
2025-05-21 21:41:45,0
2025-05-21 21:42:00,0
2025-05-21 21:42:15,0
2025-05-21 21:42:30,0
2025-05-21 21:42:45,0
2025-05-21 21:43:00,0
2025-05-21 21:43:15,0
2025-05-21 21:43:30,0
2025-05-21 21:43:45,0
2025-05-21 21:44:00,0
2025-05-21 21:44:15,0
2025-05-21 21:44:30,0
2025-05-21 21:44:45,0
2025-05-21 21:45:00,0
2025-05-21 21:45:15,0
2025-05-21 21:45:30,0
2025-05-21 21:45:45,0
2025-05-21 21:46:00,0
2025-05-21 21:46:15,0
2025-05-21 21:46:30,0
2025-05-21 21:46:45,0
2025-05-21 21:47:00,0
2025-05-21 21:50:15,0
2025-05-21 21:50:30,0
2025-05-21 21:50:45,0
2025-05-21 21:51:00,0
2025-05-21 21:51:15,1
2025-05-21 21:51:30,1
2025-05-21 21:51:45,1
2025-05-21 21:52:00,1
2025-05-21 21:52:15,7
2025-05-21 21:52:30,7
2025-05-21 21:52:45,7
2025-05-21 21:53:00,7
2025-05-21 21:53:15,0
2025-05-21 21:53:30,0
2025-05-21 21:53:45,0
2025-05-21 21:54:00,0
2025-05-21 21:54:15,0
2025-05-21 21:54:30,0
2025-05-21 21:54:45,0
2025-05-21 21:55:00,0
2025-05-21 21:55:15,0
2025-05-21 21:55:30,0
2025-05-21 21:55:45,0
2025-05-21 21:56:00,0
2025-05-21 21:56:15,0
2025-05-21 21:56:30,0
2025-05-21 21:56:45,0
2025-05-21 21:57:00,0
2025-05-21 21:57:15,0
2025-05-21 21:57:30,0
2025-05-21 21:57:45,0
2025-05-21 21:58:00,0
2025-05-21 22:05:15,0
2025-05-21 22:05:30,0
2025-05-21 22:05:45,0
2025-05-21 22:06:00,0
2025-05-21 22:06:15,0
2025-05-21 22:06:30,0
2025-05-21 22:06:45,0
2025-05-21 22:07:00,0
2025-05-21 22:07:15,0
2025-05-21 22:07:30,0
2025-05-21 22:07:45,0
2025-05-21 22:08:00,0
2025-05-21 22:08:15,0
2025-05-21 22:08:30,0
2025-05-21 22:08:45,0
2025-05-21 22:09:00,0
2025-05-21 22:09:15,0
2025-05-21 22:09:30,0
2025-05-21 22:09:45,0
2025-05-21 22:10:00,0
2025-05-21 22:10:15,0
2025-05-21 22:10:30,0
2025-05-21 22:10:45,0
2025-05-21 22:11:00,0
2025-05-21 22:12:15,0
2025-05-21 22:12:30,0
2025-05-21 22:12:45,0
2025-05-21 22:13:00,0
2025-05-21 22:13:15,0
2025-05-21 22:13:30,0
2025-05-21 22:13:45,0
2025-05-21 22:14:00,0
2025-05-21 22:14:15,0
2025-05-21 22:14:30,0
2025-05-21 22:14:45,0
2025-05-21 22:15:00,0
2025-05-21 22:15:15,0
2025-05-21 22:15:30,0
2025-05-21 22:15:45,0
2025-05-21 22:16:00,0
2025-05-21 22:16:15,0
2025-05-21 22:16:30,0
2025-05-21 22:16:45,0
2025-05-21 22:17:00,0
2025-05-21 22:22:15,0
2025-05-21 22:22:30,0
2025-05-21 22:22:45,0
2025-05-21 22:23:00,0
2025-05-21 22:23:15,0
2025-05-21 22:23:30,0
2025-05-21 22:23:45,0
2025-05-21 22:24:00,0
2025-05-21 22:24:15,0
2025-05-21 22:24:30,0
2025-05-21 22:24:45,0
2025-05-21 22:25:00,0
2025-05-21 22:25:15,0
2025-05-21 22:25:30,0
2025-05-21 22:25:45,0
2025-05-21 22:26:00,0
2025-05-21 22:26:15,0
2025-05-21 22:26:30,0
2025-05-21 22:26:45,0
2025-05-21 22:27:00,0
2025-05-21 22:32:15,0
2025-05-21 22:32:30,0
2025-05-21 22:32:45,0
2025-05-21 22:33:00,0
2025-05-21 22:33:15,0
2025-05-21 22:33:30,0
2025-05-21 22:33:45,0
2025-05-21 22:34:00,0
2025-05-21 22:34:15,0
2025-05-21 22:34:30,0
2025-05-21 22:34:45,0
2025-05-21 22:35:00,0
2025-05-21 22:35:15,8
2025-05-21 22:35:30,8
2025-05-21 22:35:45,8
2025-05-21 22:36:00,8
2025-05-21 22:36:15,0
2025-05-21 22:36:30,0
2025-05-21 22:36:45,0
2025-05-21 22:37:00,0
2025-05-21 22:37:15,0
2025-05-21 22:37:30,0
2025-05-21 22:37:45,0
2025-05-21 22:38:00,0
2025-05-21 22:38:15,0
2025-05-21 22:38:30,0
2025-05-21 22:38:45,0
2025-05-21 22:39:00,0
2025-05-21 22:39:15,0
2025-05-21 22:39:30,0
2025-05-21 22:39:45,0
2025-05-21 22:40:00,0
2025-05-21 22:40:15,0
2025-05-21 22:40:30,0
2025-05-21 22:40:45,0
2025-05-21 22:41:00,0
2025-05-21 22:46:15,0
2025-05-21 22:46:30,0
2025-05-21 22:46:45,0
2025-05-21 22:47:00,0
2025-05-21 22:47:15,0
2025-05-21 22:47:30,0
2025-05-21 22:47:45,0
2025-05-21 22:48:00,0
2025-05-21 22:48:15,0
2025-05-21 22:48:30,0
2025-05-21 22:48:45,0
2025-05-21 22:49:00,0
2025-05-21 22:49:15,0
2025-05-21 22:49:30,0
2025-05-21 22:49:45,0
2025-05-21 22:50:00,0
2025-05-21 22:50:15,0
2025-05-21 22:50:30,0
2025-05-21 22:50:45,0
2025-05-21 22:51:00,0
2025-05-21 22:51:15,0
2025-05-21 22:51:30,0
2025-05-21 22:51:45,0
2025-05-21 22:52:00,0
2025-05-21 22:56:15,0
2025-05-21 22:56:30,0
2025-05-21 22:56:45,0
2025-05-21 22:57:00,0
2025-05-21 22:57:15,0
2025-05-21 22:57:30,0
2025-05-21 22:57:45,0
2025-05-21 22:58:00,0
2025-05-21 22:58:15,0
2025-05-21 22:58:30,0
2025-05-21 22:58:45,0
2025-05-21 22:59:00,0
2025-05-21 22:59:15,0
2025-05-21 22:59:30,0
2025-05-21 22:59:45,0
2025-05-21 23:00:00,0
2025-05-21 23:00:15,0
2025-05-21 23:00:30,0
2025-05-21 23:00:45,0
2025-05-21 23:01:00,0
2025-05-21 23:08:15,0
2025-05-21 23:08:30,0
2025-05-21 23:08:45,0
2025-05-21 23:09:00,0
2025-05-21 23:09:15,0
2025-05-21 23:09:30,0
2025-05-21 23:09:45,0
2025-05-21 23:10:00,0
2025-05-21 23:10:15,8
2025-05-21 23:10:30,8
2025-05-21 23:10:45,8
2025-05-21 23:11:00,8
2025-05-21 23:11:15,0
2025-05-21 23:11:30,0
2025-05-21 23:11:45,0
2025-05-21 23:12:00,0
2025-05-21 23:12:15,0
2025-05-21 23:12:30,0
2025-05-21 23:12:45,0
2025-05-21 23:13:00,0
2025-05-21 23:13:15,0
2025-05-21 23:13:30,0
2025-05-21 23:13:45,0
2025-05-21 23:14:00,0
2025-05-21 23:14:15,0
2025-05-21 23:14:30,0
2025-05-21 23:14:45,0
