"Time","cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu }","cpu 8","cpu 9"
2025-05-12 16:14:45,20,0,10,0,20,10,0,0,0,0
2025-05-12 16:15:00,20,0,10,0,20,10,0,0,0,0
2025-05-12 16:15:15,20,0,10,0,20,10,0,0,0,0
2025-05-12 16:15:30,0,10,10,10,0,0,10,10,0,0
2025-05-12 16:15:45,0,10,10,10,0,0,10,10,0,0
2025-05-12 16:16:00,0,10,10,10,0,0,10,10,0,0
2025-05-12 16:16:15,0,10,10,10,0,0,10,10,0,0
2025-05-12 16:16:30,0,0,20,10,0,0,0,0,0,0
2025-05-12 16:16:45,0,0,20,10,0,0,0,0,0,0
2025-05-12 16:17:00,0,0,20,10,0,0,0,0,0,0
2025-05-12 16:17:15,0,0,20,10,0,0,0,0,0,0
2025-05-12 16:17:30,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:17:45,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:18:00,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:18:15,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:18:30,0,10,10,10,0,10,10,10,0,0
2025-05-12 16:18:45,0,10,10,10,0,10,10,10,0,0
2025-05-12 16:19:00,0,10,10,10,0,10,10,10,0,0
2025-05-12 16:19:15,0,10,10,10,0,10,10,10,0,0
2025-05-12 16:19:30,10,0,0,10,10,0,0,0,0,0
2025-05-12 16:19:45,10,0,0,10,10,0,0,0,0,0
2025-05-12 16:20:00,10,0,0,10,10,0,0,0,0,0
2025-05-12 16:20:15,10,0,0,10,10,0,0,0,0,0
2025-05-12 16:20:30,0,10,0,0,0,0,0,10,0,0
2025-05-12 16:20:45,0,10,0,0,0,0,0,10,0,0
2025-05-12 16:21:00,0,10,0,0,0,0,0,10,0,0
2025-05-12 16:21:15,0,10,0,0,0,0,0,10,0,0
2025-05-12 16:21:30,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:21:45,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:22:00,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:22:15,10,0,10,0,10,10,10,10,0,0
2025-05-12 16:22:30,10,10,0,10,0,10,20,0,0,0
2025-05-12 16:22:45,10,10,0,10,0,10,20,0,0,0
2025-05-12 16:23:00,10,10,0,10,0,10,20,0,0,0
2025-05-12 16:23:15,10,10,0,10,0,10,20,0,0,0
2025-05-12 16:23:30,10,0,0,0,10,0,0,20,0,0
2025-05-12 16:23:45,10,0,0,0,10,0,0,20,0,0
2025-05-12 16:24:00,10,0,0,0,10,0,0,20,0,0
2025-05-12 16:24:15,10,0,0,0,10,0,0,20,0,0
2025-05-12 16:24:30,0,10,0,10,10,10,10,0,0,0
2025-05-12 16:24:45,0,10,0,10,10,10,10,0,0,0
2025-05-12 16:25:00,0,10,0,10,10,10,10,0,0,0
2025-05-12 16:25:15,0,10,0,10,10,10,10,0,0,0
2025-05-12 16:25:30,10,10,10,0,0,10,0,10,0,0
2025-05-12 16:25:45,10,10,10,0,0,10,0,10,0,0
2025-05-12 16:26:00,10,10,10,0,0,10,0,10,0,0
2025-05-12 16:26:15,10,10,10,0,0,10,0,10,0,0
2025-05-12 16:26:30,0,0,0,10,10,0,0,0,0,0
2025-05-12 16:26:45,0,0,0,10,10,0,0,0,0,0
2025-05-12 16:27:00,0,0,0,10,10,0,0,0,0,0
2025-05-12 16:27:15,0,0,0,10,10,0,0,0,0,0
2025-05-12 16:27:30,10,0,0,10,0,0,10,10,0,0
2025-05-12 16:27:45,10,0,0,10,0,0,10,10,0,0
2025-05-12 16:28:00,10,0,0,10,0,0,10,10,0,0
2025-05-12 16:28:15,10,0,0,10,0,0,10,10,0,0
2025-05-12 16:28:30,0,10,10,10,0,10,10,0,0,0
2025-05-12 16:28:45,0,10,10,10,0,10,10,0,0,0
2025-05-12 16:29:00,0,10,10,10,0,10,10,0,0,0
2025-05-12 16:29:15,0,10,10,10,0,10,10,0,0,0
2025-05-12 16:29:30,0,10,0,10,10,0,0,10,0,0
2025-05-12 16:29:45,0,10,0,10,10,0,0,10,0,0
2025-05-12 16:30:00,0,10,0,10,10,0,0,10,0,0
2025-05-12 16:30:15,0,10,0,10,10,0,0,10,0,0
2025-05-12 16:30:30,0,0,10,0,10,0,0,0,0,0
2025-05-12 16:30:45,0,0,10,0,10,0,0,0,0,0
2025-05-12 16:31:00,0,0,10,0,10,0,0,0,0,0
2025-05-12 16:31:15,0,0,10,0,10,0,0,0,0,0
2025-05-12 16:31:30,10,0,0,10,10,10,10,10,0,0
2025-05-12 16:31:45,10,0,0,10,10,10,10,10,0,0
2025-05-12 16:32:00,10,0,0,10,10,10,10,10,0,0
2025-05-12 16:32:15,10,0,0,10,10,10,10,10,0,0
2025-05-12 16:32:30,0,0,0,0,0,10,0,0,0,0
2025-05-12 16:32:45,0,0,0,0,0,10,0,0,0,0
2025-05-12 16:33:00,0,0,0,0,0,10,0,0,0,0
2025-05-12 16:33:15,0,0,0,0,0,10,0,0,0,0
2025-05-12 16:33:30,0,10,10,0,10,0,0,10,0,0
2025-05-12 16:33:45,0,10,10,0,10,0,0,10,0,0
2025-05-12 16:34:00,0,10,10,0,10,0,0,10,0,0
2025-05-12 16:34:15,0,10,10,0,10,0,0,10,0,0
2025-05-12 16:34:30,10,0,0,10,0,20,10,10,0,0
2025-05-12 16:34:45,10,0,0,10,0,20,10,10,0,0
2025-05-12 16:35:00,10,0,0,10,0,20,10,10,0,0
2025-05-12 16:35:15,10,0,0,10,0,20,10,10,0,0
2025-05-12 16:35:30,0,0,0,0,0,10,10,0,0,0
2025-05-12 16:35:45,0,0,0,0,0,10,10,0,0,0
2025-05-12 16:36:00,0,0,0,0,0,10,10,0,0,0
2025-05-12 16:36:15,0,0,0,0,0,10,10,0,0,0
2025-05-12 16:36:30,0,10,10,20,10,0,0,10,0,0
2025-05-12 16:36:45,0,10,10,20,10,0,0,10,0,0
2025-05-12 16:37:00,0,10,10,20,10,0,0,10,0,0
2025-05-12 16:37:15,0,10,10,20,10,0,0,10,0,0
2025-05-12 16:37:30,10,0,20,10,0,0,0,10,0,0
2025-05-12 16:37:45,10,0,20,10,0,0,0,10,0,0
2025-05-12 16:38:00,10,0,20,10,0,0,0,10,0,0
2025-05-12 16:38:15,10,0,20,10,0,0,0,10,0,0
2025-05-12 16:38:30,0,0,10,10,10,10,10,0,0,0
2025-05-12 16:38:45,0,0,10,10,10,10,10,0,0,0
2025-05-12 16:39:00,0,0,10,10,10,10,10,0,0,0
2025-05-12 16:39:15,0,0,10,10,10,10,10,0,0,0
2025-05-12 16:39:30,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:39:45,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:40:00,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:40:15,10,0,0,0,10,0,0,10,0,0
2025-05-12 16:40:30,10,10,10,0,0,10,10,0,0,0
2025-05-12 16:40:45,10,10,10,0,0,10,10,0,0,0
2025-05-12 16:41:00,10,10,10,0,0,10,10,0,0,0
2025-05-12 16:41:15,10,10,10,0,0,10,10,0,0,0
2025-05-12 16:41:30,10,10,0,0,10,10,0,10,0,0
2025-05-12 16:41:45,10,10,0,0,10,10,0,10,0,0
2025-05-12 16:42:00,10,10,0,0,10,10,0,10,0,0
2025-05-12 16:42:15,10,10,0,0,10,10,0,10,0,0
2025-05-12 16:42:30,10,0,0,10,0,0,20,0,0,0
2025-05-12 16:42:45,10,0,0,10,0,0,20,0,0,0
2025-05-12 16:43:00,10,0,0,10,0,0,20,0,0,0
2025-05-12 16:43:15,10,0,0,10,0,0,20,0,0,0
2025-05-12 16:43:30,0,0,10,10,0,0,0,10,0,0
2025-05-12 16:43:45,0,0,10,10,0,0,0,10,0,0
2025-05-12 16:44:00,0,0,10,10,0,0,0,10,0,0
2025-05-12 16:44:15,0,0,10,10,0,0,0,10,0,0
2025-05-12 16:44:30,0,10,10,0,0,10,10,0,0,0
2025-05-12 16:44:45,0,10,10,0,0,10,10,0,0,0
2025-05-12 16:45:00,0,10,10,0,0,10,10,0,0,0
2025-05-12 16:45:15,0,10,10,0,0,10,10,0,0,0
2025-05-12 16:45:30,10,10,0,10,10,10,0,0,0,0
2025-05-12 16:45:45,10,10,0,10,10,10,0,0,0,0
2025-05-12 16:46:00,10,10,0,10,10,10,0,0,0,0
2025-05-12 16:46:15,10,10,0,10,10,10,0,0,0,0
2025-05-12 16:46:30,0,0,10,0,0,0,10,10,0,0
2025-05-12 16:46:45,0,0,10,0,0,0,10,10,0,0
2025-05-12 16:47:00,0,0,10,0,0,0,10,10,0,0
2025-05-12 16:47:15,0,0,10,0,0,0,10,10,0,0
2025-05-12 16:47:30,10,10,0,0,10,10,10,10,0,0
2025-05-12 16:47:45,10,10,0,0,10,10,10,10,0,0
