readbytes_read_bytes_cumulative,writebytes_write_bytes_cumulative
0,8167424
0,8167424
0,9437184
64398192,11751644
64332668,13199943
64034524,14886893
63825527,15108215
63781133,17580077
63642897,16273296
63589731,15252605
63589731,14935027
63589731,12589016
63589731,12261564
63589731,11869069
63589731,11763086
63589731,11875664
63589731,11856943
63589731,11602872
63589731,11542811
63589731,11393220
63589731,11008460
63589731,11168039
63589731,11196808
63589731,11149397
63589731,11135727
63589731,10986001
63589731,10953809
63589731,10920591
63589731,10968384
63589731,11477826
63589731,11622264
63589731,11787530
63589737,11925351
63589748,11849696
63589784,11996906
63589810,12025705
63589818,11781172
63589835,11838977
63589866,11936740
63589866,12045310
63589892,12040556
63593290,11861173
63593429,11773730
63593306,11687631
63593666,11579192
63593614,11530667
63590793,11425574
63590879,11235251
63590001,11193017
63589670,11214922
63589670,11259624
63589670,11316380
63589670,11557305
63589670,11624759
63589670,11768754
63589670,11797945
63589670,11939776
63589670,11959929
63589670,12032058
63589670,12013387
63589670,11922509
63589670,11828039
63589670,11463636
63589670,11066597
63589670,10737382
63589670,10754844
63589670,10980948
63589670,11038526
63589670,10584077
63589670,10475079
63589670,10255934
63589670,10163181
63589670,9828007
63589670,9764189
63589670,9453156
63589670,9320715
63589670,9156965
63589670,9179986
63589670,9942673
63589670,10037751
63589670,10229808
63589670,10168543
63589670,9869554
63589670,9735740
63589670,10553419
63589670,10961073
63589670,12143810
63589670,12329686
63589670,11890722
63589670,11368179
63589670,9934800
63589670,9780507
63589670,9668937
63589670,9648703
63589670,9610162
63589670,9720321
63589670,9594943
63589657,9586461
63589657,9756969
63589657,9777657
63589657,10160513
63589657,10514864
63589964,11921982
63620684,15098206
63640991,17443334
63662246,17535446
63661483,17978083
63630763,15798470
63629809,15828562
63614778,10399754
63593523,10238474
63589609,11131598
63589609,10069807
63589609,10105961
63589609,10159791
63589609,13220303
14306,10087630
14306,10167098
104,10194126
104,10281166
104,10334414
104,10334414
1119887464,1292006848
1119887464,1291875167
4422912104,4096114162
4422912104,4096112041
7532986472,5796549614
7532986472,5796549614
12876523624,9008784443
12876523624,9008894889
17465086056,11981420984
17039368296,12039199982
17890803816,12437781636
17637048424,12479717221
18033334701,12656989846
18015645979,12599252023
17977836396,12599306584
17908532898,12876510314
17908532898,12798824659
18002658876,12798809105
17983811780,13005237305
17863942341,12951260232
17855403557,12950656700
17815486928,12891933475
17764152441,12864446412
17645324802,12747674740
17643859746,12666918819
17779129293,12650167647
17812986284,12651772904
17814765715,12786616388
17838612051,12860613629
17955880722,12811367090
17971015312,12821419318
17922730735,12782296878
17924454347,12782875747
17958777808,12729829196
17890960858,12699180931
17581158791,12601115261
17510118196,12580666278
17388728275,12459933732
17384872081,12282807182
17015888895,11964253030
16828232287,11900736260
17070966934,12120337307
17195091127,12186454382
17467788775,12323674189
17535327861,12280080246
17421461404,12075563917
17295895773,12030128125
16582152745,11775054287
16502937796,11754037519
16680868671,11836130467
16693412387,11859047296
16753887927,12054228633
16798673948,12175119160
17233402111,12376534692
17304291845,12419383329
17523192404,12602726809
17571483287,12663946908
17613656914,12495874771
17584383278,12375984240
16993621803,11962821532
16883182870,11830904924
16957944368,11788266348
16906716035,11786514823
16757152699,11798976415
16756192539,11812798686
