Time,read_bytes_cumulative
2025-05-17 16:59:45,13008896
2025-05-17 17:00:00,9930752
2025-05-17 17:00:15,6858752
2025-05-17 17:00:30,6860217
2025-05-17 17:00:45,6858288
2025-05-17 17:01:00,23058635
2025-05-17 17:01:15,23058527
2025-05-17 17:01:30,23057240
2025-05-17 17:01:45,23057035
2025-05-17 17:02:00,6504524
2025-05-17 17:02:15,6504524
2025-05-17 17:02:30,6504524
2025-05-17 17:02:45,6504524
2025-05-17 17:03:00,3252300
2025-05-17 17:03:15,76
2025-05-17 17:03:30,76
2025-05-17 17:03:45,76
2025-05-17 17:04:00,76
2025-05-17 17:04:15,13830
2025-05-17 17:04:30,13830
2025-05-17 17:04:45,13830
2025-05-17 17:05:00,13830
2025-05-17 17:05:15,13830
2025-05-17 17:05:30,13830
2025-05-17 17:05:45,13830
2025-05-17 17:06:00,13830
2025-05-17 17:06:15,13830
2025-05-17 17:06:30,13830
2025-05-17 17:06:45,13830
2025-05-17 17:07:00,13830
2025-05-17 17:07:15,13830
2025-05-17 17:07:30,13830
2025-05-17 17:07:45,13830
2025-05-17 17:08:00,13830
2025-05-17 17:08:15,13830
2025-05-17 17:08:30,13830
2025-05-17 17:08:45,13830
2025-05-17 17:09:00,13782
2025-05-17 17:09:15,13782
2025-05-17 17:09:30,13782
2025-05-17 17:09:45,13782
2025-05-17 17:10:00,13795
2025-05-17 17:10:15,13795
2025-05-17 17:10:30,50646
2025-05-17 17:10:45,50646
2025-05-17 17:11:00,50645
2025-05-17 17:11:15,75995
2025-05-17 17:11:30,58656
2025-05-17 17:11:45,54549
2025-05-17 17:12:00,54549
2025-05-17 17:12:15,38935
2025-05-17 17:12:30,19410
2025-05-17 17:12:45,13781
2025-05-17 17:13:00,13781
2025-05-17 17:13:15,13781
2025-05-17 17:13:30,13781
2025-05-17 17:13:45,13829
2025-05-17 17:14:00,13829
2025-05-17 17:14:15,13829
2025-05-17 17:14:30,13829
2025-05-17 17:14:45,13829
2025-05-17 17:15:00,13829
2025-05-17 17:15:15,13829
2025-05-17 17:15:30,13829
2025-05-17 17:15:45,13829
2025-05-17 17:16:00,13829
2025-05-17 17:16:15,13829
2025-05-17 17:16:30,13829
2025-05-17 17:16:45,13829
2025-05-17 17:17:00,13829
2025-05-17 17:17:15,13829
2025-05-17 17:17:30,13829
2025-05-17 17:17:45,13829
2025-05-17 17:18:00,13829
2025-05-17 17:18:15,13829
2025-05-17 17:18:30,13829
2025-05-17 17:18:45,13829
2025-05-17 17:19:00,13829
2025-05-17 17:19:15,13829
2025-05-17 17:19:30,13829
2025-05-17 17:19:45,13829
2025-05-17 17:20:00,13829
2025-05-17 17:20:15,13829
2025-05-17 17:20:30,13829
2025-05-17 17:20:45,13829
2025-05-17 17:21:00,13829
2025-05-17 17:21:15,13829
2025-05-17 17:21:30,13829
2025-05-17 17:21:45,13829
2025-05-17 17:22:00,13829
2025-05-17 17:22:15,13829
2025-05-17 17:22:30,13829
2025-05-17 17:22:45,13829
2025-05-17 17:23:00,13829
2025-05-17 17:23:15,13829
2025-05-17 17:23:30,13829
2025-05-17 17:23:45,13829
2025-05-17 17:24:00,13829
2025-05-17 17:24:15,13829
2025-05-17 17:24:30,13829
2025-05-17 17:24:45,13829
2025-05-17 17:25:00,13829
2025-05-17 17:25:15,13829
2025-05-17 17:25:30,13829
2025-05-17 17:25:45,13829
2025-05-17 17:26:00,13829
2025-05-17 17:26:15,13829
2025-05-17 17:26:30,13829
2025-05-17 17:26:45,13829
2025-05-17 17:27:00,13829
2025-05-17 17:27:15,13829
2025-05-17 17:27:30,13829
2025-05-17 17:27:45,13829
2025-05-17 17:28:00,13829
2025-05-17 17:28:15,13829
2025-05-17 17:28:30,13829
2025-05-17 17:28:45,13829
2025-05-17 17:29:00,13829
2025-05-17 17:29:15,13829
2025-05-17 17:29:30,13842
2025-05-17 17:29:45,13842
2025-05-17 17:30:00,28
2025-05-17 17:30:15,28
2025-05-17 17:30:30,28
2025-05-17 17:30:45,28
2025-05-17 17:31:00,28
2025-05-17 17:31:15,28
2025-05-17 17:31:30,2101276
2025-05-17 17:31:45,2101276
2025-05-17 17:32:00,2101276
2025-05-17 17:32:15,1486876
2025-05-17 17:32:30,28
2025-05-17 17:32:45,28
2025-05-17 17:33:00,28
2025-05-17 17:33:15,28
2025-05-17 17:33:30,28
2025-05-17 17:33:45,28
2025-05-17 17:34:00,28
2025-05-17 17:34:15,28
2025-05-17 17:34:30,76
2025-05-17 17:34:45,13848
2025-05-17 17:35:00,13848
2025-05-17 17:35:15,13871
2025-05-17 17:35:30,13912
2025-05-17 17:35:45,19327
2025-05-17 17:36:00,19527
2025-05-17 17:36:15,19567
2025-05-17 17:36:30,19549
2025-05-17 17:36:45,15919
2025-05-17 17:37:00,15708
2025-05-17 17:37:15,13912
2025-05-17 17:37:30,13894
2025-05-17 17:37:45,13894
2025-05-17 17:38:00,13894
2025-05-17 17:38:15,13894
2025-05-17 17:38:30,13874
2025-05-17 17:38:45,13874
2025-05-17 17:39:00,13867
2025-05-17 17:39:15,13856
2025-05-17 17:39:30,13856
2025-05-17 17:39:45,13856
2025-05-17 17:40:00,13853
2025-05-17 17:40:15,17671
2025-05-17 17:40:30,17671
2025-05-17 17:40:45,16620
2025-05-17 17:41:00,15997
2025-05-17 17:41:15,14949
2025-05-17 17:41:30,14949
2025-05-17 17:41:45,13905
2025-05-17 17:42:00,13905
2025-05-17 17:42:15,13904
2025-05-17 17:42:30,13904
2025-05-17 17:42:45,13904
2025-05-17 17:43:00,13904
2025-05-17 17:43:15,13904
2025-05-17 17:43:30,13896
2025-05-17 17:43:45,13896
2025-05-17 17:44:00,13896
2025-05-17 17:44:15,13896
2025-05-17 17:44:30,13896
2025-05-17 17:44:45,13896
2025-05-17 17:45:00,13896
2025-05-17 17:45:15,13896
2025-05-17 17:45:30,13896
2025-05-17 17:45:45,13896
2025-05-17 17:46:00,13896
2025-05-17 17:46:15,13896
2025-05-17 17:46:30,13896
2025-05-17 17:46:45,13896
2025-05-17 17:47:00,13896
2025-05-17 17:47:15,13896
2025-05-17 17:47:30,13896
2025-05-17 17:47:45,13896
2025-05-17 17:48:00,13896
2025-05-17 17:48:15,13896
2025-05-17 17:48:30,13896
2025-05-17 17:48:45,13896
2025-05-17 17:49:00,13896
2025-05-17 17:49:15,13908
2025-05-17 17:49:30,53866
2025-05-17 17:49:45,46642
2025-05-17 17:50:00,23390
2025-05-17 17:50:15,23390
2025-05-17 17:50:30,17340
2025-05-17 17:50:45,17340
2025-05-17 17:51:00,17340
2025-05-17 17:51:15,17340
2025-05-17 17:51:30,17340
2025-05-17 17:51:45,17340
