Time,api_gateway
2025-07-15 17:55:00,0
2025-07-15 17:55:15,0
2025-07-15 17:55:30,0
2025-07-15 17:55:45,0
2025-07-15 17:56:00,0
2025-07-15 17:56:15,0
2025-07-15 17:56:30,0
2025-07-15 17:56:45,0
2025-07-15 17:57:00,0
2025-07-15 17:57:15,0
2025-07-15 17:57:30,0
2025-07-15 17:57:45,0
2025-07-15 17:58:00,0
2025-07-15 17:58:15,0
2025-07-15 17:58:30,0
2025-07-15 17:58:45,0
2025-07-15 17:59:00,0
2025-07-15 17:59:15,0
2025-07-15 17:59:30,0
2025-07-15 17:59:45,0
2025-07-15 18:45:15,0
2025-07-15 18:45:30,0
2025-07-15 18:45:45,0
2025-07-15 18:46:00,0
2025-07-15 18:46:15,0
2025-07-15 18:46:30,0
2025-07-15 18:46:45,0
2025-07-15 18:47:00,0
2025-07-15 18:47:15,0
2025-07-15 18:47:30,0
2025-07-15 18:47:45,0
2025-07-15 18:48:00,0
2025-07-15 18:48:15,0
2025-07-15 18:48:30,0
2025-07-15 18:48:45,0
2025-07-15 18:49:00,0
2025-07-15 18:49:15,0
2025-07-15 18:49:30,0
2025-07-15 18:49:45,0
2025-07-15 18:50:00,0
2025-07-15 18:50:15,0
