"Time","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""BASELINE2h""}"
2025-05-17 17:00:00,160,270,110,130,200,320,140,210,0,0
2025-05-17 17:00:15,160,270,110,130,200,320,140,210,0,0
2025-05-17 17:00:30,320,390,270,230,420,520,250,360,0,0
2025-05-17 17:00:45,320,390,270,230,420,520,250,360,0,0
2025-05-17 17:01:00,320,390,270,230,420,520,250,360,0,0
2025-05-17 17:01:15,320,390,270,230,420,520,250,360,0,0
2025-05-17 17:01:30,970,1120,700,650,970,1070,770,960,0,0
2025-05-17 17:01:45,970,1120,700,650,970,1070,770,960,0,0
2025-05-17 17:02:00,970,1120,700,650,970,1070,770,960,0,0
2025-05-17 17:02:15,970,1120,700,650,970,1070,770,960,0,0
2025-05-17 17:02:30,880,1550,880,820,980,1000,800,920,0,0
2025-05-17 17:02:45,880,1550,880,820,980,1000,800,920,0,0
2025-05-17 17:03:00,880,1550,880,820,980,1000,800,920,0,0
2025-05-17 17:03:15,880,1550,880,820,980,1000,800,920,0,0
2025-05-17 17:03:30,840,1050,780,740,1100,970,760,1000,0,0
2025-05-17 17:03:45,840,1050,780,740,1100,970,760,1000,0,0
2025-05-17 17:04:00,840,1050,780,740,1100,970,760,1000,0,0
2025-05-17 17:04:15,840,1050,780,740,1100,970,760,1000,0,0
2025-05-17 17:04:30,2340,2640,2300,2380,2370,2890,2400,2710,0,0
2025-05-17 17:04:45,2340,2640,2300,2380,2370,2890,2400,2710,0,0
2025-05-17 17:05:00,2340,2640,2300,2380,2370,2890,2400,2710,0,0
2025-05-17 17:05:15,2340,2640,2300,2380,2370,2890,2400,2710,0,0
2025-05-17 17:05:30,800,850,650,710,780,970,600,930,0,0
2025-05-17 17:05:45,800,850,650,710,780,970,600,930,0,0
2025-05-17 17:06:00,800,850,650,710,780,970,600,930,0,0
2025-05-17 17:06:15,800,850,650,710,780,970,600,930,0,0
2025-05-17 17:06:30,840,710,730,770,890,920,680,960,0,0
2025-05-17 17:06:45,840,710,730,770,890,920,680,960,0,0
2025-05-17 17:07:00,840,710,730,770,890,920,680,960,0,0
2025-05-17 17:07:15,840,710,730,770,890,920,680,960,0,0
2025-05-17 17:07:30,690,920,620,680,820,730,750,950,0,0
2025-05-17 17:07:45,690,920,620,680,820,730,750,950,0,0
