Time,mem_available
2025-07-16 19:00:15,15445808
2025-07-16 19:00:30,15445808
2025-07-16 19:00:45,14765172
2025-07-16 19:01:00,14765172
2025-07-16 19:01:15,14765172
2025-07-16 19:01:30,14765172
2025-07-16 19:01:45,13971656
2025-07-16 19:02:00,13971656
2025-07-16 19:02:15,13971656
2025-07-16 19:02:30,13971656
2025-07-16 19:02:45,13289280
2025-07-16 19:03:00,13289280
2025-07-16 19:03:15,13289280
2025-07-16 19:03:30,13289280
2025-07-16 19:03:45,12945180
2025-07-16 19:04:00,12945180
2025-07-16 19:04:15,12945180
2025-07-16 19:04:30,12945180
2025-07-16 19:04:45,12662896
2025-07-16 19:05:00,12662896
2025-07-16 19:05:15,12662896
2025-07-16 19:05:30,12662896
2025-07-16 19:05:45,12044880
2025-07-16 19:06:00,12044880
2025-07-16 19:06:15,12044880
2025-07-16 19:06:30,12044880
2025-07-16 19:06:45,11736132
2025-07-16 19:07:00,11736132
2025-07-16 19:07:15,11736132
2025-07-16 19:07:30,11736132
2025-07-16 19:07:45,11481008
2025-07-16 19:08:00,11481008
2025-07-16 19:08:15,11481008
2025-07-16 19:08:30,11481008
2025-07-16 19:08:45,11276184
2025-07-16 19:09:00,11276184
2025-07-16 19:09:15,11276184
2025-07-16 19:09:30,11276184
2025-07-16 19:09:45,11156516
2025-07-16 19:10:00,11156516
2025-07-16 19:10:15,11156516
2025-07-16 19:10:30,11156516
2025-07-16 19:10:45,11086092
2025-07-16 19:11:00,11086092
2025-07-16 19:11:15,11086092
2025-07-16 19:11:30,11086092
2025-07-16 19:11:45,10910312
2025-07-16 19:12:00,10910312
2025-07-16 19:12:15,10910312
2025-07-16 19:12:30,10910312
2025-07-16 19:12:45,10902704
2025-07-16 19:13:00,10902704
2025-07-16 19:13:15,10902704
2025-07-16 19:13:30,10902704
2025-07-16 19:13:45,10745660
2025-07-16 19:14:00,10745660
2025-07-16 19:14:15,10745660
2025-07-16 19:14:30,10745660
2025-07-16 19:14:45,10742208
2025-07-16 19:15:00,10742208
2025-07-16 19:15:15,10742208
2025-07-16 19:15:30,10742208
2025-07-16 19:15:45,10702632
2025-07-16 19:16:00,10702632
2025-07-16 19:16:15,10702632
2025-07-16 19:16:30,10702632
2025-07-16 19:16:45,10551192
2025-07-16 19:17:00,10551192
2025-07-16 19:17:15,10551192
2025-07-16 19:17:30,10551192
2025-07-16 19:17:45,10322808
2025-07-16 19:18:00,10322808
2025-07-16 19:18:15,10322808
2025-07-16 19:18:30,10322808
2025-07-16 19:18:45,10192664
2025-07-16 19:19:00,10192664
2025-07-16 19:19:15,10192664
2025-07-16 19:19:30,10192664
2025-07-16 19:19:45,10173852
2025-07-16 19:20:00,10173852
2025-07-16 19:20:15,10173852
2025-07-16 19:20:30,10173852
2025-07-16 19:20:45,10142108
2025-07-16 19:21:00,10142108
2025-07-16 19:21:15,10142108
2025-07-16 19:21:30,10142108
2025-07-16 19:21:45,10151700
2025-07-16 19:22:00,10151700
2025-07-16 19:22:15,10151700
2025-07-16 19:22:30,10151700
2025-07-16 19:22:45,10142820
2025-07-16 19:23:00,10142820
2025-07-16 19:23:15,10142820
2025-07-16 19:23:30,10142820
2025-07-16 19:23:45,10000388
2025-07-16 19:24:00,10000388
2025-07-16 19:24:15,10000388
2025-07-16 19:24:30,10000388
2025-07-16 19:24:45,9867092
2025-07-16 19:25:00,9867092
2025-07-16 19:25:15,9867092
2025-07-16 19:25:30,9867092
2025-07-16 19:25:45,9859004
2025-07-16 19:26:00,9859004
2025-07-16 19:26:15,9859004
2025-07-16 19:26:30,9859004
2025-07-16 19:26:45,9800968
2025-07-16 19:27:00,9800968
2025-07-16 19:27:15,9800968
2025-07-16 19:27:30,9800968
2025-07-16 19:27:45,9680952
2025-07-16 19:28:00,9680952
2025-07-16 19:28:15,9680952
2025-07-16 19:28:30,9680952
2025-07-16 19:28:45,9609744
2025-07-16 19:29:00,9609744
2025-07-16 19:29:15,9609744
2025-07-16 19:29:30,9609744
2025-07-16 19:29:45,9546316
2025-07-16 19:30:00,9546316
2025-07-16 19:30:15,9546316
2025-07-16 19:30:30,9546316
2025-07-16 19:30:45,7452712
2025-07-16 19:31:00,7452712
2025-07-16 19:31:15,7452712
2025-07-16 19:31:30,7452712
2025-07-16 19:31:45,7212576
2025-07-16 19:32:00,7212576
2025-07-16 19:32:15,7212576
2025-07-16 19:32:30,7212576
2025-07-16 19:32:45,6747572
2025-07-16 19:33:00,6747572
2025-07-16 19:33:15,6747572
2025-07-16 19:33:30,6747572
2025-07-16 19:33:45,6500748
2025-07-16 19:34:00,6500748
2025-07-16 19:34:15,6500748
2025-07-16 19:34:30,6500748
2025-07-16 19:34:45,6430160
2025-07-16 19:35:00,6430160
2025-07-16 19:35:15,6430160
2025-07-16 19:35:30,6430160
2025-07-16 19:35:45,6278920
2025-07-16 19:36:00,6278920
2025-07-16 19:36:15,6278920
2025-07-16 19:36:30,6278920
2025-07-16 19:36:45,6191124
2025-07-16 19:37:00,6191124
2025-07-16 19:37:15,6191124
2025-07-16 19:37:30,6191124
2025-07-16 19:37:45,6183800
2025-07-16 19:38:00,6183800
2025-07-16 19:38:15,6183800
2025-07-16 19:38:30,6183800
2025-07-16 19:38:45,7575916
2025-07-16 19:39:00,7575916
2025-07-16 19:39:15,7575916
2025-07-16 19:39:30,7575916
2025-07-16 19:39:45,7027376
2025-07-16 19:40:00,7027376
2025-07-16 19:40:15,7027376
2025-07-16 19:40:30,7027376
2025-07-16 19:40:45,6745948
2025-07-16 19:41:00,6745948
2025-07-16 19:41:15,6745948
2025-07-16 19:41:30,6745948
2025-07-16 19:41:45,6386592
2025-07-16 19:42:00,6386592
2025-07-16 19:42:15,6386592
2025-07-16 19:42:30,6386592
2025-07-16 19:42:45,6181644
2025-07-16 19:43:00,6181644
2025-07-16 19:43:15,6181644
2025-07-16 19:43:30,6181644
