Time,mem_cache,source,Minutes
2025-05-17 17:25:00,5821398.159498665,BASELINE,25.5
2025-05-17 17:25:15,5821256.121756925,BASELINE,25.75
2025-05-17 17:25:30,5821267.699938743,BASELINE,26.0
2025-05-17 17:25:45,5821949.745164227,BASELINE,26.25
2025-05-17 17:26:00,5822097.317575618,BASELINE,26.5
2025-05-17 17:26:15,5821622.593269087,BASELINE,26.75
2025-05-17 17:26:30,5821640.646602419,BASELINE,27.0
2025-05-17 17:26:45,5822108.938648687,BASELINE,27.25
2025-05-17 17:27:00,5822234.153421413,BASELINE,27.5
2025-05-17 17:27:15,5821897.524608846,BASELINE,27.75
2025-05-17 17:27:30,5821905.364608846,BASELINE,28.0
2025-05-17 17:27:45,5822778.7391251335,BASELINE,28.25
2025-05-17 17:28:00,5822904.928477991,BASELINE,28.5
2025-05-17 17:28:15,5821722.868760234,BASELINE,28.75
2025-05-17 17:28:30,5821800.993435559,BASELINE,29.0
2025-05-17 17:28:45,5824063.23689955,BASELINE,29.25
2025-05-17 17:29:00,5824346.769871521,BASELINE,29.5
2025-05-17 17:29:15,5824429.361222875,BASELINE,29.75
2025-05-17 17:29:30,5824429.361222875,BASELINE,30.0
2025-05-17 17:29:45,5825141.998225267,BASELINE,30.25
2025-05-17 17:30:00,5825212.955036457,BASELINE,30.5
2025-05-17 17:30:15,5824582.309155277,BASELINE,30.75
2025-05-17 17:30:30,5824626.672155277,BASELINE,31.0
2025-05-17 17:30:45,5825032.888242763,BASELINE,31.25
2025-05-17 17:31:00,5825119.149347585,BASELINE,31.5
2025-05-17 17:31:15,5824580.425191425,BASELINE,31.75
2025-05-17 17:31:30,5824580.425191425,BASELINE,32.0
2025-05-17 17:31:45,5825976.640416574,BASELINE,32.25
2025-05-17 17:32:00,5826033.737699402,BASELINE,32.5
2025-05-17 17:32:15,5825125.130041774,BASELINE,32.75
2025-05-17 17:32:30,5825153.267819553,BASELINE,33.0
2025-05-17 17:32:45,5825340.393508924,BASELINE,33.25
2025-05-17 17:33:00,5824421.363835525,BASELINE,33.5
2025-05-17 17:33:15,5823105.373379919,BASELINE,33.75
2025-05-17 17:33:30,5822573.4742284035,BASELINE,34.0
2025-05-17 17:33:45,5818405.709255031,BASELINE,34.25
2025-05-17 17:34:00,5814181.095894385,BASELINE,34.5
2025-05-17 17:34:15,5807379.466305222,BASELINE,34.75
2025-05-17 17:34:30,5807388.41297189,BASELINE,35.0
2025-05-17 17:34:45,5806863.144372173,BASELINE,35.25
2025-05-17 17:35:00,5806930.953261061,BASELINE,35.5
2025-05-17 17:35:15,5807204.366527446,BASELINE,35.75
2025-05-17 17:35:30,5807225.916527445,BASELINE,36.0
2025-05-17 17:35:45,5807625.454874351,BASELINE,36.25
2025-05-17 17:36:00,5807653.994874351,BASELINE,36.5
2025-05-17 17:36:15,5807492.124088206,BASELINE,36.75
2025-05-17 17:36:30,5807520.720088206,BASELINE,37.0
2025-05-17 17:36:45,5808127.294253217,BASELINE,37.25
2025-05-17 17:37:00,5808184.479427819,BASELINE,37.5
2025-05-17 17:37:15,5807535.98631043,BASELINE,37.75
2025-05-17 17:37:30,5807535.98631043,BASELINE,38.0
2025-05-17 17:37:45,5809055.582202392,BASELINE,38.25
2025-05-17 17:38:00,5807410.999908297,BASELINE,38.5
2025-05-17 17:38:15,5808164.303884315,BASELINE,38.75
2025-05-17 17:38:30,5807766.236265266,BASELINE,39.0
2025-05-17 17:38:45,5801981.813778534,BASELINE,39.25
2025-05-17 17:39:00,5802513.246778291,BASELINE,39.5
2025-05-17 17:39:15,5803739.639655875,BASELINE,39.75
2025-05-17 17:39:30,5803739.639655875,BASELINE,40.0
2025-05-17 17:39:45,5803862.230100652,BASELINE,40.25
2025-05-17 17:40:00,5804391.073847405,BASELINE,40.5
2025-05-17 17:40:15,5802289.129027059,BASELINE,40.75
2025-05-17 17:40:30,5802649.248030722,BASELINE,41.0
2025-05-17 17:40:45,5812084.444541115,BASELINE,41.25
2025-05-17 17:41:00,5810917.692763248,BASELINE,41.5
2025-05-17 17:41:15,5813277.707014131,BASELINE,41.75
2025-05-17 17:41:30,5813357.604889589,BASELINE,42.0
2025-05-17 17:41:45,5814042.252207998,BASELINE,42.25
2025-05-17 17:42:00,5814091.248874664,BASELINE,42.5
2025-05-17 17:42:15,5814012.643001434,BASELINE,42.75
2025-05-17 17:42:30,5814045.159668101,BASELINE,43.0
2025-05-17 17:42:45,5814260.289883684,BASELINE,43.25
2025-05-17 17:43:00,5814467.031026541,BASELINE,43.5
2025-05-17 17:43:15,5814457.883902533,BASELINE,43.75
2025-05-17 17:43:30,5814570.084212056,BASELINE,44.0
2025-05-17 17:43:45,5814967.952833902,BASELINE,44.25
2025-05-17 17:44:00,5815010.238357711,BASELINE,44.5
2025-05-17 17:44:15,5815504.746251079,BASELINE,44.75
2025-05-17 17:44:30,5815534.6005367935,BASELINE,45.0
2025-05-17 17:44:45,5815570.25945798,BASELINE,45.25
2025-05-17 17:45:00,5815656.5088086305,BASELINE,45.5
2025-05-17 17:45:15,5815765.667327558,BASELINE,45.75
2025-05-17 17:45:30,5815781.244470415,BASELINE,46.0
2025-05-17 17:45:45,5815892.94801076,BASELINE,46.25
2025-05-17 17:46:00,5816008.606050405,BASELINE,46.5
2025-05-17 17:46:15,5816073.6549862465,BASELINE,46.75
2025-05-17 17:46:30,5816111.445271961,BASELINE,47.0
2025-05-17 17:46:45,5816420.5620698985,BASELINE,47.25
2025-05-17 17:47:00,5816690.124283758,BASELINE,47.5
2025-05-17 17:47:15,5816599.778562743,BASELINE,47.75
2025-05-17 17:47:30,5816626.623896078,BASELINE,48.0
2025-05-17 17:47:45,5813673.473249052,BASELINE,48.25
2025-05-17 17:48:00,5816910.03137698,BASELINE,48.5
2025-05-17 17:48:15,5817200.684815883,BASELINE,48.75
2025-05-17 17:48:30,5817477.786001273,BASELINE,49.0
2025-05-17 17:48:45,5817453.0094768675,BASELINE,49.25
2025-05-17 17:49:00,5817524.040160485,BASELINE,49.5
2025-05-17 17:49:15,5817902.631357568,BASELINE,49.75
2025-05-17 17:49:30,5817956.235060865,BASELINE,50.0
2025-05-17 17:49:45,5817986.711859736,BASELINE,50.25
2025-05-17 17:50:00,5818144.321285308,BASELINE,50.5
2025-05-17 17:50:15,5818398.623333024,BASELINE,50.75
2025-05-17 17:50:30,5818429.282553803,BASELINE,51.0
2025-05-17 17:50:45,5818322.797754277,BASELINE,51.25
2025-05-17 17:51:00,5818525.041570338,BASELINE,51.5
2025-05-17 17:51:15,5818926.000747039,BASELINE,51.75
2025-05-17 17:51:30,5818926.000747039,BASELINE,52.0
2025-05-17 17:51:45,5822845.098407217,BASELINE,52.25
2025-05-17 17:52:00,5819294.44097169,BASELINE,52.5
2025-05-17 17:52:15,5819463.326906029,BASELINE,52.75
2025-05-17 17:52:30,5819686.62329756,BASELINE,53.0
2025-05-17 17:52:45,5819841.136723582,BASELINE,53.25
2025-05-17 17:53:00,5820118.321325311,BASELINE,53.5
2025-05-17 17:53:15,5820079.482830485,BASELINE,53.75
2025-05-17 17:53:30,5821133.072727922,BASELINE,54.0
2025-05-17 17:53:45,5821827.314744835,BASELINE,54.25
2025-05-17 17:54:00,5821735.432656941,BASELINE,54.5
2025-05-17 17:54:15,5822268.90178044,BASELINE,54.75
2025-05-17 17:54:30,5822339.806613773,BASELINE,55.0
2025-05-17 17:54:45,5823111.737883758,BASELINE,55.25
2025-05-17 17:55:00,5823339.282863141,BASELINE,55.5
2025-05-17 17:55:15,5822548.986041575,BASELINE,55.75
2025-05-17 17:55:30,5818610.518422527,BASELINE,56.0
2025-05-17 17:55:45,5819392.235900816,BASELINE,56.25
2025-05-17 17:56:00,5819587.266620892,BASELINE,56.5
2025-05-17 17:56:15,5822740.173090029,BASELINE,56.75
2025-05-17 17:56:30,5823054.154556594,BASELINE,57.0
2025-05-17 17:56:45,5823173.708031117,BASELINE,57.25
2025-05-17 17:57:00,5823296.108325398,BASELINE,57.5
2025-05-17 17:57:15,5823396.2854403285,BASELINE,57.75
2025-05-17 17:57:30,5823414.877070967,BASELINE,58.0
2025-05-17 17:57:45,5823588.841579173,BASELINE,58.25
2025-05-17 17:58:00,5823721.487823289,BASELINE,58.5
2025-05-17 17:58:15,5823715.048640959,BASELINE,58.75
2025-05-17 17:58:30,5823728.158640959,BASELINE,59.0
2025-05-17 17:58:45,5824080.79695722,BASELINE,59.25
2025-05-17 17:59:00,5824135.452759418,BASELINE,59.5
2025-05-17 17:59:15,5823964.8742468245,BASELINE,59.75
2025-05-17 17:59:30,5824075.348936783,BASELINE,60.0
2025-05-17 17:59:45,5824483.220142798,BASELINE,60.25
2025-05-17 18:00:00,5824558.758439335,BASELINE,60.5
2025-05-17 18:00:15,5824289.815632799,BASELINE,60.75
2025-05-17 18:00:30,5824386.63441252,BASELINE,61.0
2025-05-17 18:00:45,5824883.104426913,BASELINE,61.25
2025-05-17 18:01:00,5824970.503317023,BASELINE,61.5
