Time,mem_util
2025-07-15 05:42:45,33.7
2025-07-15 05:43:00,33.7
2025-07-15 05:43:15,33.7
2025-07-15 05:43:30,33.7
2025-07-15 05:43:45,36.9
2025-07-15 05:44:00,36.9
2025-07-15 05:44:15,36.9
2025-07-15 05:44:30,36.9
2025-07-15 05:44:45,40.0
2025-07-15 05:45:00,40.0
2025-07-15 05:45:15,40.0
2025-07-15 05:45:30,40.0
2025-07-15 05:45:45,41.1
2025-07-15 05:46:00,41.1
2025-07-15 05:46:15,41.1
2025-07-15 05:46:30,41.1
2025-07-15 05:46:45,42.9
2025-07-15 05:47:00,42.9
2025-07-15 05:47:15,42.9
2025-07-15 05:47:30,42.9
2025-07-15 05:47:45,44.9
2025-07-15 05:48:00,44.9
2025-07-15 05:48:15,44.9
2025-07-15 05:48:30,44.9
2025-07-15 05:48:45,46.3
2025-07-15 05:49:00,46.3
2025-07-15 05:49:15,46.3
2025-07-15 05:49:30,46.3
2025-07-15 05:49:45,47.0
2025-07-15 05:50:00,47.0
2025-07-15 05:50:15,47.0
2025-07-15 05:50:30,47.0
2025-07-15 05:50:45,48.5
2025-07-15 05:51:00,48.5
2025-07-15 05:51:15,48.5
2025-07-15 05:51:30,48.5
2025-07-15 05:51:45,48.6
2025-07-15 05:52:00,48.6
2025-07-15 05:52:15,48.6
2025-07-15 05:52:30,48.6
2025-07-15 05:52:45,49.4
2025-07-15 05:53:00,49.4
2025-07-15 05:53:15,49.4
2025-07-15 05:53:30,49.4
2025-07-15 05:53:45,50.2
2025-07-15 05:54:00,50.2
2025-07-15 05:54:15,50.2
2025-07-15 05:54:30,50.2
2025-07-15 05:54:45,50.2
2025-07-15 05:55:00,50.2
2025-07-15 05:55:15,50.2
2025-07-15 05:55:30,50.2
2025-07-15 05:55:45,50.8
2025-07-15 05:56:00,50.8
2025-07-15 05:56:15,50.8
2025-07-15 05:56:30,50.8
2025-07-15 05:56:45,50.8
2025-07-15 05:57:00,50.8
2025-07-15 05:57:15,50.8
2025-07-15 05:57:30,50.8
2025-07-15 05:57:45,51.1
2025-07-15 05:58:00,51.1
2025-07-15 05:58:15,51.1
2025-07-15 05:58:30,51.1
2025-07-15 05:58:45,51.6
2025-07-15 05:59:00,51.6
2025-07-15 05:59:15,51.6
2025-07-15 05:59:30,51.6
2025-07-15 05:59:45,52.4
2025-07-15 06:00:00,52.4
2025-07-15 06:00:15,52.4
2025-07-15 06:00:30,52.4
2025-07-15 06:00:45,52.4
2025-07-15 06:01:00,52.4
2025-07-15 06:01:15,52.4
2025-07-15 06:01:30,52.4
2025-07-15 06:01:45,52.4
