class,method,exceptions
"org.apache.zookeeper.Watcher$Event$KeeperState","fromInt",#java.lang.RuntimeException
"org.apache.zookeeper.Watcher$WatcherType","fromInt",#java.lang.RuntimeException
"org.apache.zookeeper.ZooKeeper","getClientCnxnSocket",#java.io.IOException
"org.apache.zookeeper.ZooKeeper","multiInternal",#java.lang.IllegalArgumentException
"org.apache.zookeeper.ZooKeeper","multiInternal",#java.lang.IllegalArgumentException
"org.apache.zookeeper.ZooKeeper","validateACL",#org.apache.zookeeper.KeeperException$InvalidACLException
"org.apache.zookeeper.ZooKeeper","validateWatcher",#java.lang.IllegalArgumentException
"org.apache.zookeeper.ZooKeeper$AddWatchRegistration","getWatches",#java.lang.IllegalArgumentException
"org.apache.zookeeper.ZooKeeper$ZKWatchManager","containsWatcher",#org.apache.zookeeper.KeeperException$NoWatcherException
"org.apache.zookeeper.ZooKeeper$ZKWatchManager","materialize",#java.lang.RuntimeException
"org.apache.zookeeper.ZooKeeper$ZKWatchManager","removeWatcher",#org.apache.zookeeper.KeeperException$NoWatcherException
"org.apache.zookeeper.ZooKeeperMain","processZKCmd",#org.apache.zookeeper.cli.MalformedCommandException#org.apache.zookeeper.cli.CommandNotFoundException
"org.apache.zookeeper.audit.ZKAuditProvider","getAuditLogger",#java.lang.RuntimeException
"org.apache.zookeeper.cli.AddAuthCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.AddWatchCommand","exec",#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.AddWatchCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.CloseCommand","exec",#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.CreateCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException#org.apache.zookeeper.cli.MalformedCommandException
"org.apache.zookeeper.cli.CreateCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.DelQuotaCommand","delQuota",#org.apache.zookeeper.cli.MalformedPathException
"org.apache.zookeeper.cli.DelQuotaCommand","exec",#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.DelQuotaCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.DeleteAllCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException#org.apache.zookeeper.cli.MalformedCommandException
"org.apache.zookeeper.cli.DeleteAllCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.DeleteCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.DeleteCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.DeleteCommand","retainCompatibility",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetAclCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.GetAclCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetAllChildrenNumberCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException#org.apache.zookeeper.cli.MalformedCommandException
"org.apache.zookeeper.cli.GetAllChildrenNumberCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliException
"org.apache.zookeeper.cli.GetCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetCommand","retainCompatibility",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetConfigCommand","exec",#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.GetConfigCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.GetEphemeralsCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.GetEphemeralsCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.ListQuotaCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.ListQuotaCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.LsCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException#org.apache.zookeeper.cli.MalformedCommandException
"org.apache.zookeeper.cli.LsCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.LsCommand","retainCompatibility",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.ReconfigCommand","exec",#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.ReconfigCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.RemoveWatchesCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.RemoveWatchesCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.SetAclCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.SetAclCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.SetCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.SetCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.SetQuotaCommand","checkIfParentQuota",#java.lang.IllegalArgumentException
"org.apache.zookeeper.cli.SetQuotaCommand","createQuota",#org.apache.zookeeper.cli.MalformedPathException#java.lang.IllegalArgumentException
"org.apache.zookeeper.cli.SetQuotaCommand","exec",#org.apache.zookeeper.cli.CliWrapperException#org.apache.zookeeper.cli.MalformedCommandException
"org.apache.zookeeper.cli.SetQuotaCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.SetQuotaCommand$1","processResult",#java.lang.IllegalArgumentException
"org.apache.zookeeper.cli.StatCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.StatCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.StatCommand","retainCompatibility",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.SyncCommand","exec",#org.apache.zookeeper.cli.MalformedPathException#org.apache.zookeeper.cli.CliWrapperException
"org.apache.zookeeper.cli.SyncCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.cli.VersionCommand","parse",#org.apache.zookeeper.cli.CliParseException
"org.apache.zookeeper.client.FourLetterWordMain","send4LetterWord",#java.io.IOException
"org.apache.zookeeper.client.StaticHostProvider","init",#java.lang.IllegalArgumentException
"org.apache.zookeeper.client.StaticHostProvider","updateServerList",#java.lang.IllegalArgumentException
"org.apache.zookeeper.client.ZooKeeperSaslClient","<init>",#javax.security.auth.login.LoginException
"org.apache.zookeeper.client.ZooKeeperSaslClient","createSaslToken",#javax.security.sasl.SaslException
"org.apache.zookeeper.client.ZooKeeperSaslClient","initialize",#javax.security.sasl.SaslException
"org.apache.zookeeper.client.ZooKeeperSaslClient","sendSaslPacket",#javax.security.sasl.SaslException
"org.apache.zookeeper.client.ZooKeeperSaslClient","sendSaslPacket",#javax.security.sasl.SaslException
"org.apache.zookeeper.common.AtomicFileOutputStream","close",#java.io.IOException
"org.apache.zookeeper.common.FileChangeWatcher$WatcherThread","run",#java.lang.IllegalStateException
"org.apache.zookeeper.common.FileKeyStoreLoaderBuilderProvider","getBuilderForKeyStoreFileType",#java.lang.AssertionError
"org.apache.zookeeper.common.IOUtils","copyBytes",#java.io.IOException
"org.apache.zookeeper.common.KeyStoreFileType","fromFilename",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.NetUtils","getHostPort",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.NetUtils","getIPV6HostAndPort",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.PathTrie","addPath",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.PathTrie","deletePath",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.PathTrie","existsNode",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.PathUtils","validatePath",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.X509Util","createKeyManager",#org.apache.zookeeper.common.X509Exception$KeyManagerException
"org.apache.zookeeper.common.X509Util","createSSLContextAndOptions",#org.apache.zookeeper.common.X509Exception$SSLContextException
"org.apache.zookeeper.common.X509Util","createSSLContextAndOptionsFromConfig",#org.apache.zookeeper.common.X509Exception$SSLContextException
"org.apache.zookeeper.common.X509Util","createTrustManager",#org.apache.zookeeper.common.X509Exception$TrustManagerException
"org.apache.zookeeper.common.X509Util","handleWatchEvent",#java.lang.RuntimeException
"org.apache.zookeeper.common.X509Util","newFileChangeWatcher",#java.io.IOException
"org.apache.zookeeper.common.ZKConfig","addConfiguration",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.common.ZKConfig","setProperty",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.ZKHostnameVerifier","extractCN",#javax.net.ssl.SSLException
"org.apache.zookeeper.common.ZKHostnameVerifier","matchCN",#javax.net.ssl.SSLPeerUnverifiedException
"org.apache.zookeeper.common.ZKHostnameVerifier","matchDNSName",#javax.net.ssl.SSLPeerUnverifiedException
"org.apache.zookeeper.common.ZKHostnameVerifier","matchIPAddress",#javax.net.ssl.SSLPeerUnverifiedException
"org.apache.zookeeper.common.ZKHostnameVerifier","matchIPv6Address",#javax.net.ssl.SSLPeerUnverifiedException
"org.apache.zookeeper.common.ZKHostnameVerifier","verify",#javax.net.ssl.SSLException
"org.apache.zookeeper.common.ZKHostnameVerifier$SubjectName","<init>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.common.ZKTrustManager","checkClientTrusted",#java.security.cert.CertificateException
"org.apache.zookeeper.common.ZKTrustManager","checkServerTrusted",#java.security.cert.CertificateException
"org.apache.zookeeper.common.ZKTrustManager","performHostVerification",#java.security.cert.CertificateException
"org.apache.zookeeper.data.ACL","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.data.Id","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.data.Stat","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.data.StatPersisted","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.jmx.MBeanRegistry","register",#java.lang.AssertionError
"org.apache.zookeeper.jmx.ManagedUtil","registerLog4jMBeans",#javax.management.JMException
"org.apache.zookeeper.metrics.impl.DefaultMetricsProvider$DefaultMetricsContext","lambda$getSummary$1",#java.lang.IllegalArgumentException
"org.apache.zookeeper.metrics.impl.DefaultMetricsProvider$DefaultMetricsContext","lambda$getSummary$2",#java.lang.IllegalArgumentException
"org.apache.zookeeper.metrics.impl.DefaultMetricsProvider$DefaultMetricsContext","lambda$getSummarySet$3",#java.lang.IllegalArgumentException
"org.apache.zookeeper.metrics.impl.DefaultMetricsProvider$DefaultMetricsContext","lambda$getSummarySet$4",#java.lang.IllegalArgumentException
"org.apache.zookeeper.metrics.impl.MetricsProviderBootstrap","startMetricsProvider",#org.apache.zookeeper.metrics.MetricsProviderLifeCycleException
"org.apache.zookeeper.proto.AddWatchRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.AuthPacket","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.CheckVersionRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.CheckWatchesRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ConnectRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ConnectResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.Create2Response","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.CreateRequest","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.CreateResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.CreateTTLRequest","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.DeleteRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ErrorResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ExistsRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.ExistsResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetACLRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetACLResponse","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.GetAllChildrenNumberRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetAllChildrenNumberResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetChildren2Request","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetChildren2Response","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.GetChildrenRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetChildrenResponse","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.GetDataRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetDataResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetEphemeralsRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetEphemeralsResponse","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.proto.GetMaxChildrenRequest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetMaxChildrenResponse","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.proto.GetSASLRequest","compareTo",#java.lang.ClassCastException
