class,method,exceptions
"org.apache.zookeeper.server.persistence.SnapStream","checkSealIntegrity",#java.io.IOException
"org.apache.zookeeper.server.persistence.SnapStream","isValidCheckedStream",#java.lang.NullPointerException
"org.apache.zookeeper.server.persistence.SnapStream","isValidGZipStream",#java.lang.NullPointerException
"org.apache.zookeeper.server.persistence.SnapStream","isValidSnappyStream",#java.lang.NullPointerException
"org.apache.zookeeper.server.persistence.TxnLogToolkit","<init>",#org.apache.zookeeper.server.persistence.TxnLogToolkit$TxnLogToolkitException
"org.apache.zookeeper.server.persistence.TxnLogToolkit","askForFix",#org.apache.zookeeper.server.persistence.TxnLogToolkit$TxnLogToolkitException
"org.apache.zookeeper.server.persistence.TxnLogToolkit","dump",#org.apache.zookeeper.server.persistence.TxnLogToolkit$TxnLogToolkitException
"org.apache.zookeeper.server.persistence.TxnLogToolkit","loadTxnFile",#org.apache.zookeeper.server.persistence.TxnLogToolkit$TxnLogToolkitException
"org.apache.zookeeper.server.persistence.TxnLogToolkit","parseCommandLine",#org.apache.zookeeper.server.persistence.TxnLogToolkit$TxnLogToolkitParseException
"org.apache.zookeeper.server.quorum.CommitProcessor","initBatchSizes",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.FastLeaderElection","getPeerEpoch",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.Follower","processPacket",#java.lang.Exception
"org.apache.zookeeper.server.quorum.Leader","<init>",#java.io.IOException
"org.apache.zookeeper.server.quorum.Leader","getEpochToPropose",#java.lang.InterruptedException
"org.apache.zookeeper.server.quorum.Leader","lead",#java.io.IOException
"org.apache.zookeeper.server.quorum.Leader","propose",#org.apache.zookeeper.server.quorum.Leader$XidRolloverException
"org.apache.zookeeper.server.quorum.Leader","waitForEpochAck",#java.io.IOException#java.lang.InterruptedException
"org.apache.zookeeper.server.quorum.Leader","waitForNewLeaderAck",#java.lang.InterruptedException
"org.apache.zookeeper.server.quorum.Leader$ToBeAppliedRequestProcessor","<init>",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.LeaderSessionTracker","checkGlobalSession",#org.apache.zookeeper.KeeperException$SessionExpiredException
"org.apache.zookeeper.server.quorum.LeaderSessionTracker","checkSession",#org.apache.zookeeper.KeeperException$SessionExpiredException
"org.apache.zookeeper.server.quorum.Learner","connectToLeader",#java.io.IOException
"org.apache.zookeeper.server.quorum.Learner","registerWithLeader",#java.io.IOException
"org.apache.zookeeper.server.quorum.Learner","syncWithLeader",#java.lang.UnsupportedOperationException#java.io.IOException#java.lang.Exception
"org.apache.zookeeper.server.quorum.Learner$LeaderConnector","connectToLeader",#java.io.IOException
"org.apache.zookeeper.server.quorum.LearnerHandler","<init>",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.LearnerInfo","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.server.quorum.LearnerSessionTracker","checkSession",#org.apache.zookeeper.KeeperException$SessionExpiredException
"org.apache.zookeeper.server.quorum.LearnerSyncThrottler","<init>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.LearnerSyncThrottler","beginSync",#org.apache.zookeeper.server.quorum.SyncThrottleException
"org.apache.zookeeper.server.quorum.Observer","processPacket",#java.lang.Exception
"org.apache.zookeeper.server.quorum.ObserverMaster","addLearnerHandler",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.ObserverMaster","processAck",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.ObserverMaster","removeProposedPacket",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.PrependableSocket","prependToInputStream",#java.io.IOException
"org.apache.zookeeper.server.quorum.ProposalRequestProcessor","processRequest",#org.apache.zookeeper.server.RequestProcessor$RequestProcessorException
"org.apache.zookeeper.server.quorum.QuorumAuthPacket","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.server.quorum.QuorumCnxManager","addToRecvQueue",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumCnxManager","addToSendQueue",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumCnxManager$InitialMessage","parse",#org.apache.zookeeper.server.quorum.QuorumCnxManager$InitialMessage$InitialMessageException
"org.apache.zookeeper.server.quorum.QuorumPacket","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.quorum.QuorumPeer","createElectionAlgorithm",#java.lang.UnsupportedOperationException#java.lang.AssertionError
"org.apache.zookeeper.server.quorum.QuorumPeer","getAddrs",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumPeer","getClientAddress",#java.io.IOException
"org.apache.zookeeper.server.quorum.QuorumPeer","loadDataBase",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumPeer","readLongFromFile",#java.io.IOException
"org.apache.zookeeper.server.quorum.QuorumPeer","start",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumPeer","startLeaderElection",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer","<init>",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer","checkAddressDuplicate",#org.apache.zookeeper.KeeperException$BadArgumentsException
"org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer","getType",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer","hashCode",#java.lang.AssertionError
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","checkValidity",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","configureSSLAuth",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","parse",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","parseDynamicConfig",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","parseProperties",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","setupClientPort",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.QuorumPeerConfig","setupMyId",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.quorum.QuorumPeerMain","runFromConfig",#java.io.IOException
"org.apache.zookeeper.server.quorum.QuorumZooKeeperServer","checkUpgradeSession",#org.apache.zookeeper.KeeperException$EphemeralOnLocalSessionException
"org.apache.zookeeper.server.quorum.UnifiedServerSocket","accept",#java.net.SocketException
"org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedInputStream","mark",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedInputStream","markSupported",#java.lang.RuntimeException
"org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket","detectMode",#java.io.IOException
"org.apache.zookeeper.server.quorum.UnifiedServerSocket$UnifiedSocket","getSslSocket",#java.net.SocketException
"org.apache.zookeeper.server.quorum.UpgradeableSessionTracker","checkGlobalSession",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.quorum.auth.QuorumAuth$Status","getStatus",#java.lang.AssertionError
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner","<init>",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner","authenticate",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner","checkAuthStatus",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner","createSaslToken",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthServer","<init>",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthServer","authenticate",#javax.security.sasl.SaslException
"org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler","<init>",#java.io.IOException
"org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical","hashCode",#java.lang.AssertionError
"org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical","parse",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical","readConfigFile",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.quorum.flexible.QuorumMaj","hashCode",#java.lang.AssertionError
"org.apache.zookeeper.server.util.BitHashSet$1","remove",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.util.CircularBuffer","<init>",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.util.ConfigUtils","getHostAndPort",#org.apache.zookeeper.server.quorum.QuorumPeerConfig$ConfigException
"org.apache.zookeeper.server.util.LogChopper","chop",#java.io.IOException#java.io.EOFException
"org.apache.zookeeper.server.util.SerializeUtils","deserializeTxn",#java.io.IOException
"org.apache.zookeeper.server.util.VerifyingFileFactory","<init>",#java.lang.AssertionError
"org.apache.zookeeper.server.util.VerifyingFileFactory","doFailForNonExistingPath",#java.lang.IllegalArgumentException
"org.apache.zookeeper.server.watch.IWatchManager","addWatch",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.watch.PathParentIterator","next",#java.util.NoSuchElementException
"org.apache.zookeeper.server.watch.PathParentIterator","remove",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.server.watch.WatchManagerFactory","createWatchManager",#java.io.IOException
"org.apache.zookeeper.server.watch.WatcherMode","fromZooDef",#java.lang.IllegalArgumentException
"org.apache.zookeeper.txn.CheckVersionTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.CloseSessionTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.CreateContainerTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.CreateSessionTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.CreateTTLTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.CreateTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.CreateTxnV0","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.DeleteTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.ErrorTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.MultiTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.SetACLTxn","compareTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.txn.SetDataTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.SetMaxChildrenTxn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.Txn","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.TxnDigest","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.txn.TxnHeader","compareTo",#java.lang.ClassCastException
"org.apache.zookeeper.util.CircularBlockingQueue","add",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","addAll",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","clear",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","contains",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","containsAll",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","drainTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","drainTo",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","element",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","iterator",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","offer",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","peek",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","poll",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","put",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","remainingCapacity",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","remove",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","remove",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","removeAll",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","retainAll",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","toArray",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.CircularBlockingQueue","toArray",#java.lang.UnsupportedOperationException
"org.apache.zookeeper.util.PemReader","loadKeyStore",#java.security.cert.CertificateException
"org.apache.zookeeper.util.PemReader","loadPrivateKey",#java.security.KeyStoreException
"org.apache.zookeeper.util.PemReader","loadPublicKey",#java.security.KeyStoreException
