Time,disk sda,source,Minutes
2025-05-17 17:22:45,13.0,MEM_STRESS,23.0
2025-05-17 17:23:00,13.0,MEM_STRESS,23.25
2025-05-17 17:23:15,13.0,MEM_STRESS,23.5
2025-05-17 17:23:30,13.0,MEM_STRESS,23.75
2025-05-17 17:23:45,13.0,MEM_STRESS,24.0
2025-05-17 17:24:00,13.0,MEM_STRESS,24.25
2025-05-17 17:24:15,13.0,MEM_STRESS,24.5
2025-05-17 17:24:30,13.0,MEM_STRESS,24.75
2025-05-17 17:24:45,12.0,MEM_STRESS,25.0
2025-05-17 17:25:00,12.0,MEM_STRESS,25.25
2025-05-17 17:25:15,12.0,MEM_STRESS,25.5
2025-05-17 17:25:30,12.0,MEM_STRESS,25.75
2025-05-17 17:25:45,13.0,MEM_STRESS,26.0
2025-05-17 17:26:00,13.0,MEM_STRESS,26.25
2025-05-17 17:26:15,13.0,MEM_STRESS,26.5
2025-05-17 17:26:30,13.0,MEM_STRESS,26.75
2025-05-17 17:26:45,13.0,MEM_STRESS,27.0
2025-05-17 17:27:00,13.0,MEM_STRESS,27.25
2025-05-17 17:27:15,13.0,MEM_STRESS,27.5
2025-05-17 17:27:30,13.0,MEM_STRESS,27.75
2025-05-17 17:27:45,13.0,MEM_STRESS,28.0
2025-05-17 17:28:00,13.0,MEM_STRESS,28.25
2025-05-17 17:28:15,13.0,MEM_STRESS,28.5
2025-05-17 17:28:30,13.0,MEM_STRESS,28.75
2025-05-17 17:28:45,13.0,MEM_STRESS,29.0
2025-05-17 17:29:00,13.0,MEM_STRESS,29.25
2025-05-17 17:29:15,13.0,MEM_STRESS,29.5
2025-05-17 17:29:30,13.0,MEM_STRESS,29.75
2025-05-17 17:29:45,13.0,MEM_STRESS,30.0
2025-05-17 17:30:00,13.0,MEM_STRESS,30.25
2025-05-17 17:30:15,13.0,MEM_STRESS,30.5
2025-05-17 17:30:30,13.0,MEM_STRESS,30.75
2025-05-17 17:30:45,13.0,MEM_STRESS,31.0
2025-05-17 17:31:00,13.0,MEM_STRESS,31.25
2025-05-17 17:31:15,13.0,MEM_STRESS,31.5
2025-05-17 17:31:30,13.0,MEM_STRESS,31.75
2025-05-17 17:31:45,13.0,MEM_STRESS,32.0
2025-05-17 17:32:00,13.0,MEM_STRESS,32.25
2025-05-17 17:32:15,13.0,MEM_STRESS,32.5
2025-05-17 17:32:30,13.0,MEM_STRESS,32.75
2025-05-17 17:32:45,13.0,MEM_STRESS,33.0
2025-05-17 17:33:00,13.0,MEM_STRESS,33.25
2025-05-17 17:33:15,13.0,MEM_STRESS,33.5
2025-05-17 17:33:30,13.0,MEM_STRESS,33.75
2025-05-17 17:33:45,13.0,MEM_STRESS,34.0
2025-05-17 17:34:00,13.0,MEM_STRESS,34.25
2025-05-17 17:34:15,13.0,MEM_STRESS,34.5
2025-05-17 17:34:30,13.0,MEM_STRESS,34.75
2025-05-17 17:34:45,13.0,MEM_STRESS,35.0
2025-05-17 17:35:00,13.0,MEM_STRESS,35.25
2025-05-17 17:35:15,12.0,MEM_STRESS,35.5
2025-05-17 17:35:30,12.0,MEM_STRESS,35.75
2025-05-17 17:35:45,12.0,MEM_STRESS,36.0
2025-05-17 17:36:00,12.0,MEM_STRESS,36.25
2025-05-17 17:36:15,13.0,MEM_STRESS,36.5
2025-05-17 17:36:30,13.0,MEM_STRESS,36.75
2025-05-17 17:36:45,13.0,MEM_STRESS,37.0
2025-05-17 17:37:00,13.0,MEM_STRESS,37.25
2025-05-17 17:37:15,13.0,MEM_STRESS,37.5
2025-05-17 17:37:30,13.0,MEM_STRESS,37.75
