timestamp,experiment_name,seq_len,lstm1_units,lstm2_units,dropout_rate,learning_rate,epochs,batch_size,patience,class_weight_ratio,train_ratio,val_ratio,num_features,train_samples,val_samples,test_samples,f1_score,recall,precision,roc_auc,best_threshold,final_train_loss,final_val_loss,epochs_trained,focal_alpha,focal_gamma,method,n_runs,f1_score_mean,f1_score_std,recall_mean,recall_std,precision_mean,precision_std,roc_auc_mean,roc_auc_std,total_false_negatives,miss_rate,stability_cv_f1,stability_cv_auc,break_temporal_pattern,add_noise
20250730_134111,19,25,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4923.0,2052.0,1231.0,0.6476683937823834,0.7309941520467836,0.5813953488372093,0.7849044617113815,0.3,0.6797325015068054,0.5222511887550354,36.0,,,,,,,,,,,,,,,,,,
20250730_135009,19,30,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4920.0,2050.0,1231.0,0.6910569105691057,0.6627680311890838,0.721868365180467,0.8001542078656871,0.5,0.677786648273468,0.5116724371910095,31.0,,,,,,,,,,,,,,,,,,
20250730_135155,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.6631467793030623,0.6108949416342413,0.7251732101616628,0.793576514962661,0.5,0.7159267067909241,0.5138087272644043,28.0,,,,,,,,,,,,,,,,,,
20250730_135302,19,15,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4929.0,2054.0,1233.0,0.6536885245901639,0.6194174757281553,0.6919739696312365,0.7880358060415934,0.5,0.696105420589447,0.5255736708641052,33.0,,,,,,,,,,,,,,,,,,
20250730_135333,19,17,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4928.0,2053.0,1233.0,0.5175141242937853,0.4446601941747573,0.6189189189189189,0.6702274386780971,0.5,0.9054218530654908,0.6945919394493103,6.0,,,,,,,,,,,,,,,,,,
20250730_135432,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.6586345381526104,0.6381322957198443,0.6804979253112033,0.7920076303610332,0.5,0.6970167756080627,0.5650281310081482,30.0,,,,,,,,,,,,,,,,,,
20250730_140541,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.6546644844517185,0.7782101167315175,0.5649717514124294,0.7832961208718555,0.3,0.7249220609664917,0.5463303327560425,40.0,,,,,,,,,,,,,,,,,,
20250730_140719,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.6483390607101948,0.5505836575875487,0.7883008356545961,0.7776139947758038,0.6,0.6654850840568542,0.5159333348274231,39.0,,,,,,,,,,,,,,,,,,
20250730_140900,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.2,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.6592920353982301,0.8696498054474708,0.5308788598574822,0.7905715183768142,0.3,0.6730716824531555,0.5481550693511963,34.0,,,,,,,,,,,,,,,,,,
20250730_141114,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,2.0,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.648590021691974,0.5817120622568094,0.7328431372549019,0.7847457810823407,0.5,0.6664270162582397,0.5014282464981079,32.0,,,,,,,,,,,,,,,,,,
20250730_141144,19,20,16,8,0.35,5e-05,50.0,32.0,5.0,3.0,0.6,0.25,8.0,4926.0,2053.0,1232.0,0.0,0.0,0.0,0.5317421393191204,0.5,1.111514925956726,0.7977661490440369,6.0,,,,,,,,,,,,,,,,,,
