minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
3.5,9,10,8,9,9,14,4,11,0,0,IO,3.5,466,542,694,321,357,303,366,357,0,0,IO,3.5,966,985,1289,1500,1580,1330,1468,1574,0,0,IO,3.5,4664,5276,6699,15206,15708,12731,15203,15819,0,0,IO,3.5,20.683989955937783,21.381844580633373,24.62996941176472,29.06181975770317,29.092731868131875,24.77966974357342,29.41012464985993,29.746646346627248,0,0,IO,3.5
3.75,5,10,20,9,2,2,7,11,0,0,IO,3.75,440,540,631,320,332,303,364,347,0,0,IO,3.75,946,1039,1345,1458,1426,1324,1518,1640,0,0,IO,3.75,4608,5259,6517,15332,13893,12872,14849,14966,0,0,IO,3.75,20.600573289271114,21.351692680048576,24.262421031746044,29.30394479246374,26.65432313797313,24.830226128854807,28.73605780281809,29.03266399433901,0,0,IO,3.75
4.0,6,10,17,9,2,1,8,9,0,0,IO,4.0,441,562,633,316,334,316,379,343,0,0,IO,4.0,961,1041,1325,1426,1416,1328,1572,1546,0,0,IO,4.0,4670,5282,6477,15344,14181,12911,14974,14895,0,0,IO,4.0,20.730765596963423,21.347442680048577,24.20983928571431,28.81526162726578,27.099147619047606,24.86732612885481,30.23188084415583,28.096899877899883,0,0,IO,4.0
4.25,7,9,18,8,2,1,8,9,0,0,IO,4.25,446,567,641,317,334,314,380,340,0,0,IO,4.25,962,1043,1332,1420,1408,1329,1581,1552,0,0,IO,4.25,4653,5250,6478,15334,14308,13136,15065,14727,0,0,IO,4.25,21.478008454106284,21.74398669159259,24.2719031746032,28.892832659011816,27.81965647130646,25.450630313558985,30.13696479860009,27.86443321123322,0,0,IO,4.25
4.5,8,7,19,7,3,1,8,8,0,0,IO,4.5,492,609,645,318,350,323,387,334,0,0,IO,4.5,995,1054,1317,1390,1414,1354,1618,1522,0,0,IO,4.5,4955,5755,6473,15293,15517,13923,16166,14448,0,0,IO,4.5,23.55915239350022,23.21116682454444,24.574673015873017,28.841010436789592,30.38230329670328,26.814492218320893,31.330363863424157,27.52847606837608,0,0,IO,4.5
4.75,16,1,19,3,1,1,8,12,0,0,IO,4.75,580,695,699,327,384,342,465,312,0,0,IO,4.75,1176,1172,1199,1300,1493,1424,1883,1259,0,0,IO,4.75,5258,6534,6467,15189,17475,15375,18261,14008,0,0,IO,4.75,24.338675438596493,25.67822342735784,24.9321479110432,28.63643886391803,33.14895753968251,29.0251518593743,34.73533302114553,25.7260994047619,0,0,IO,4.75
5.0,16,2,19,1,1,1,8,12,0,0,IO,5.0,581,701,692,332,386,347,471,313,0,0,IO,5.0,1185,1178,1199,1338,1500,1421,1903,1254,0,0,IO,5.0,5298,6644,6493,15571,17886,15492,18415,14041,0,0,IO,5.0,24.288050438596493,25.685331436015844,24.919022911043204,28.830090548344717,33.72286388888888,29.09092908644819,34.879016354478864,25.142598629568106,0,0,IO,5.0
5.25,15,1,18,1,1,2,8,12,0,0,IO,5.25,582,706,688,334,387,349,474,317,0,0,IO,5.25,1166,1180,1202,1333,1520,1426,1896,1264,0,0,IO,5.25,5264,6637,6523,15744,18162,15773,18482,14219,0,0,IO,5.25,24.124342105263167,25.5396673883968,24.840627672947967,29.43189388623489,34.15367896825396,29.72432405303031,34.94290235736487,25.693931962901438,0,0,IO,5.25
5.5,10,4,17,6,1,3,8,12,0,0,IO,5.5,581,703,681,341,389,352,473,337,0,0,IO,5.5,1100,1165,1213,1376,1537,1432,1890,1286,0,0,IO,5.5,5074,6550,6805,16136,19106,16150,18766,14666,0,0,IO,5.5,22.81634924812033,25.080816149463853,24.65876179993209,29.7427024942935,35.384878174603166,30.06329295079921,35.19621012725198,27.413573918168385,0,0,IO,5.5
5.75,4,10,16,10,1,9,6,9,0,0,IO,5.75,557,646,631,384,405,369,449,368,0,0,IO,5.75,926,1088,1282,1483,1625,1460,1853,1369,0,0,IO,5.75,4891,6411,6931,18355,19751,16500,19595,16141,0,0,IO,5.75,21.946852555837918,23.492302400272507,24.529640768186056,33.843563187259726,36.935850353038624,30.89036166680541,37.523414260618615,30.091852794765643,0,0,IO,5.75
6.0,4,10,15,9,3,9,6,9,0,0,IO,6.0,551,652,600,387,403,376,449,369,0,0,IO,6.0,921,1110,1282,1496,1622,1471,1857,1382,0,0,IO,6.0,4903,6448,7003,18703,19867,16808,19968,16133,0,0,IO,6.0,21.934916047901407,23.93485356126576,24.53851695866225,34.66480127972283,37.169783289546544,31.97675702977577,38.014140986670334,30.07078475447261,0,0,IO,6.0
6.25,4,10,15,10,3,9,6,9,0,0,IO,6.25,551,652,594,389,404,377,452,367,0,0,IO,6.25,921,1113,1276,1503,1609,1457,1851,1380,0,0,IO,6.25,4857,6526,6961,18874,19895,16907,20190,16264,0,0,IO,6.25,21.897693825679177,24.45773196929564,24.617747911043207,35.007533819405374,37.10214995621322,32.07326417263291,38.3521398544692,30.76374059862845,0,0,IO,6.25
6.5,4,10,12,10,3,8,6,9,0,0,IO,6.5,546,656,594,387,392,375,451,363,0,0,IO,6.5,920,1121,1254,1530,1574,1445,1835,1373,0,0,IO,6.5,4847,6996,6890,19415,19841,16997,20606,16672,0,0,IO,6.5,21.66021108758392,25.656074449201355,24.697848704694,35.544037707238665,36.9474166228799,32.50604043525918,38.72088473181408,31.639408455771317,0,0,IO,6.5
6.75,10,10,4,10,8,9,11,8,0,0,IO,6.75,516,678,608,380,348,368,438,361,0,0,IO,6.75,919,1260,1126,1594,1428,1408,1720,1375,0,0,IO,6.75,4835,7805,6799,20289,19886,17971,21168,19167,0,0,IO,6.75,21.70246108758392,28.052412037619664,24.71853759358288,37.31337548046962,36.54971436850346,33.40580130563881,40.1680545038295,35.33709915577463,0,0,IO,6.75
7.0,10,10,5,10,8,9,11,8,0,0,IO,7.0,517,710,606,382,351,371,438,368,0,0,IO,7.0,921,1278,1112,1592,1429,1413,1740,1417,0,0,IO,7.0,4905,7886,6823,20457,20117,18701,21411,19292,0,0,IO,7.0,21.84804921889705,27.794966836570094,24.95957886342415,37.8890275944476,36.654277494727495,35.04547119303111,40.69951522138233,35.73788117158492,0,0,IO,7.0
7.25,10,8,6,10,8,9,11,8,0,0,IO,7.25,511,724,617,382,353,370,436,373,0,0,IO,7.25,927,1278,1112,1585,1422,1414,1706,1418,0,0,IO,7.25,4928,7890,6867,20450,20255,19040,21601,19388,0,0,IO,7.25,21.95690338556371,27.89196683657009,25.160507434852715,37.99463058590059,37.45165646298146,35.44442601703852,40.86749421461133,36.38588355253727,0,0,IO,7.25
7.5,10,13,13,11,7,9,11,8,0,0,IO,7.5,539,778,636,381,364,371,430,397,0,0,IO,7.5,942,1282,1115,1545,1420,1424,1689,1465,0,0,IO,7.5,5294,7899,6960,20205,21211,19940,22011,20345,0,0,IO,7.5,24.23767965367966,28.308360038466237,26.24497246753245,37.79616315888316,39.16735408202907,36.781349448109374,41.14143631972843,39.01317369409505,0,0,IO,7.5
7.75,10,18,11,18,1,9,8,8,0,0,IO,7.75,572,881,670,366,391,370,427,457,0,0,IO,7.75,1001,1283,1180,1496,1451,1511,1621,1681,0,0,IO,7.75,5646,7927,7012,19534,22180,22513,22948,22643,0,0,IO,7.75,25.247057761828824,29.23338911149015,27.15483333333332,36.58036256395723,40.3589815063073,41.42314721669287,42.59890654807448,42.45335716650502,0,0,IO,7.75
8.0,11,20,12,17,1,9,8,8,0,0,IO,8.0,592,870,671,370,395,374,425,453,0,0,IO,8.0,1008,1283,1180,1524,1454,1536,1594,1713,0,0,IO,8.0,5718,7908,6992,20195,22475,23206,23014,23113,0,0,IO,8.0,25.40248276182883,29.34491764114763,27.147897619047605,37.23780849502218,40.8562421013852,42.38582138696705,42.79064498301916,43.52433667431605,0,0,IO,8.0
8.25,10,19,10,16,1,9,8,8,0,0,IO,8.25,592,861,675,369,395,375,423,443,0,0,IO,8.25,1009,1281,1178,1536,1463,1550,1591,1732,0,0,IO,8.25,5676,7884,7000,20516,22885,23287,22991,23156,0,0,IO,8.25,25.808482761828827,29.458188203918198,27.088728571428565,37.564772265167925,41.31188389194758,42.49014176381243,42.88825445687863,43.38449857907796,0,0,IO,8.25
8.5,10,25,9,9,1,9,8,8,0,0,IO,8.5,597,843,676,382,396,383,423,440,0,0,IO,8.5,1011,1262,1161,1599,1498,1578,1583,1734,0,0,IO,8.5,5737,7848,7017,21472,23053,23626,23310,23281,0,0,IO,8.5,27.002582761828812,29.182397512583385,26.98793571428572,39.279591238791454,42.597791363211954,43.09400097682165,43.10216808769226,43.6528533409827,0,0,IO,8.5
8.75,10,34,3,1,1,9,7,7,0,0,IO,8.75,661,779,681,453,400,456,423,422,0,0,IO,8.75,1033,1194,1100,1754,1626,1700,1514,1702,0,0,IO,8.75,6728,7878,7029,24780,24242,25425,24005,23989,0,0,IO,8.75,27.4984,29.05370538534788,26.9422848901099,45.51865698952509,44.11422326007326,46.34244111166609,44.11031921318713,44.38404863083778,0,0,IO,8.75
9.0,11,32,3,1,1,9,7,7,0,0,IO,9.0,663,796,701,455,401,464,429,424,0,0,IO,9.0,1037,1191,1091,1766,1629,1712,1517,1697,0,0,IO,9.0,6650,8133,7047,25255,24682,25856,24013,24281,0,0,IO,9.0,27.641466666666677,28.889265865805005,26.94447377899879,46.75722095268612,45.37514537815125,47.09787995337995,44.22492179602097,44.86106848607668,0,0,IO,9.0
