Time,mem_available,source,Minutes
2025-07-15 17:24:15,17086452,cache_filling,0.0
2025-07-15 17:24:30,17086452,cache_filling,0.25
2025-07-15 17:24:45,16293396,cache_filling,0.5
2025-07-15 17:25:00,15817564,cache_filling,0.75
2025-07-15 17:25:15,15817564,cache_filling,1.0
2025-07-15 17:25:30,15741721,cache_filling,1.25
2025-07-15 17:25:45,15731479,cache_filling,1.5
2025-07-15 17:26:00,15718015,cache_filling,1.75
2025-07-15 17:26:15,15553112,cache_filling,2.0
2025-07-15 17:26:30,15388098,cache_filling,2.25
2025-07-15 17:26:45,15368500,cache_filling,2.5
2025-07-15 17:27:00,15125345,cache_filling,2.75
2025-07-15 17:27:15,14928510,cache_filling,3.0
2025-07-15 17:27:30,14762579,cache_filling,3.25
2025-07-15 17:27:45,14757042,cache_filling,3.5
2025-07-15 17:28:00,14688254,cache_filling,3.75
2025-07-15 17:28:15,14622198,cache_filling,4.0
2025-07-15 17:28:30,14558019,cache_filling,4.25
2025-07-15 17:28:45,14553559,cache_filling,4.5
2025-07-15 17:29:00,14468738,cache_filling,4.75
2025-07-15 17:29:15,14340479,cache_filling,5.0
2025-07-15 17:29:30,14178967,cache_filling,5.25
2025-07-15 17:29:45,14151790,cache_filling,5.5
2025-07-15 17:30:00,13762658,cache_filling,5.75
2025-07-15 17:30:15,13587534,cache_filling,6.0
2025-07-15 17:30:30,13356517,cache_filling,6.25
2025-07-15 17:30:45,13360214,cache_filling,6.5
2025-07-15 17:31:00,13366601,cache_filling,6.75
2025-07-15 17:31:15,13353124,cache_filling,7.0
2025-07-15 17:31:30,13327025,cache_filling,7.25
2025-07-15 17:31:45,13320111,cache_filling,7.5
2025-07-15 17:32:00,13239673,cache_filling,7.75
2025-07-15 17:32:15,13186560,cache_filling,8.0
2025-07-15 17:32:30,13167848,cache_filling,8.25
2025-07-15 17:32:45,13165733,cache_filling,8.5
2025-07-15 17:33:00,13011603,cache_filling,8.75
2025-07-15 17:33:15,12965448,cache_filling,9.0
2025-07-15 17:33:30,12944365,cache_filling,9.25
2025-07-15 17:33:45,12937222,cache_filling,9.5
2025-07-15 17:34:00,12847767,cache_filling,9.75
2025-07-15 17:34:15,12785008,cache_filling,10.0
2025-07-15 17:34:30,12754338,cache_filling,10.25
2025-07-15 17:34:45,12747199,cache_filling,10.5
2025-07-15 17:35:00,12680362,cache_filling,10.75
2025-07-15 17:35:15,12623626,cache_filling,11.0
2025-07-15 17:35:30,12618239,cache_filling,11.25
2025-07-15 17:35:45,12618326,cache_filling,11.5
2025-07-15 17:36:00,12625889,cache_filling,11.75
2025-07-15 17:36:15,12614497,cache_filling,12.0
2025-07-15 17:36:30,12599278,cache_filling,12.25
2025-07-15 17:36:45,12592287,cache_filling,12.5
2025-07-15 17:37:00,12496100,cache_filling,12.75
2025-07-15 17:37:15,12464846,cache_filling,13.0
2025-07-15 17:37:30,12459662,cache_filling,13.25
2025-07-15 17:37:45,12459662,cache_filling,13.5
2025-07-15 17:38:00,12464084,cache_filling,13.75
2025-07-15 17:38:15,12462165,cache_filling,14.0
2025-07-15 17:38:30,12454342,cache_filling,14.25
2025-07-15 17:38:45,12448591,cache_filling,14.5
2025-07-15 17:39:00,12349076,cache_filling,14.75
2025-07-15 17:39:15,12298801,cache_filling,15.0
