Time,connection_1,connection_2,connection_3
2025-05-19 16:48:15,,,0
2025-05-19 16:48:30,,,0
2025-05-19 16:48:45,,,0
2025-05-19 16:49:00,,,0
2025-05-19 16:49:15,,,0
2025-05-19 16:49:30,,,0
2025-05-19 16:49:45,0,,0
2025-05-19 16:50:00,0,,0
2025-05-19 16:50:15,0,,0
2025-05-19 16:50:30,0,,0
2025-05-19 16:50:45,0,,0
2025-05-19 16:51:00,0,,0
2025-05-19 16:51:15,0,,0
2025-05-19 16:51:30,0,,0
2025-05-19 16:51:45,0,,0
2025-05-19 16:52:00,0,,0
2025-05-19 16:52:15,0,,0
2025-05-19 16:52:30,0,,0
2025-05-19 16:52:45,0,,0
2025-05-19 16:53:00,0,,0
2025-05-19 16:53:15,0,,
2025-05-19 16:53:30,0,,
2025-05-19 16:53:45,0,,
2025-05-19 16:54:00,0,,
2025-05-19 16:54:15,0,,
2025-05-19 16:54:30,0,,
2025-05-19 16:54:45,0,,
2025-05-19 16:55:00,0,,
2025-05-19 16:55:15,0,,
2025-05-19 16:55:30,0,,
2025-05-19 16:55:45,0,,
2025-05-19 16:56:00,0,,
2025-05-19 16:56:15,0,,
2025-05-19 16:56:30,0,,
2025-05-19 16:56:45,0,,
2025-05-19 16:57:00,0,,
2025-05-19 16:57:15,0,,
2025-05-19 16:57:30,0,,
2025-05-19 16:57:45,0,,
2025-05-19 16:58:00,0,,
2025-05-19 16:58:15,0,,
2025-05-19 16:58:30,0,,
2025-05-19 16:58:45,0,,
2025-05-19 16:59:00,0,,
2025-05-19 16:59:15,0,,
2025-05-19 16:59:30,0,,
2025-05-19 16:59:45,0,,
2025-05-19 17:00:00,0,,
2025-05-19 17:00:15,0,,
2025-05-19 17:00:30,0,,
2025-05-19 17:00:45,0,,
2025-05-19 17:01:00,0,,
2025-05-19 17:01:15,0,,
2025-05-19 17:01:30,0,,
2025-05-19 17:01:45,0,,
2025-05-19 17:02:00,0,,
2025-05-19 17:02:15,0,,
2025-05-19 17:02:30,0,,
2025-05-19 17:02:45,0,,
2025-05-19 17:03:00,0,,
2025-05-19 17:03:15,0,,
2025-05-19 17:03:30,0,,
2025-05-19 17:03:45,0,,
2025-05-19 17:04:00,0,,
2025-05-19 17:04:15,0,,
2025-05-19 17:04:30,0,,
2025-05-19 17:04:45,0,,
2025-05-19 17:05:00,0,,
2025-05-19 17:05:15,0,,
2025-05-19 17:05:30,0,,
2025-05-19 17:05:45,0,,
2025-05-19 17:06:00,0,,
2025-05-19 17:06:15,0,,
2025-05-19 17:06:30,0,,
2025-05-19 17:06:45,0,,
2025-05-19 17:07:00,0,,
2025-05-19 17:07:15,0,,
2025-05-19 17:07:30,0,,
2025-05-19 17:07:45,0,,
