Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 17:16:30,986085,4788544,1222,5811433,CPU_STRESS,16.75
2025-05-17 17:16:45,1182921,4779874,1222,5818645,CPU_STRESS,17.0
2025-05-17 17:17:00,1193073,4781887,1222,5824028,CPU_STRESS,17.25
2025-05-17 17:17:15,1141194,4854569,1222,5964301,CPU_STRESS,17.5
2025-05-17 17:17:30,1139562,4846502,1222,5988711,CPU_STRESS,17.75
2025-05-17 17:17:45,1036992,4671927,1222,5861952,CPU_STRESS,18.0
2025-05-17 17:18:00,1020432,4649597,1222,5838578,CPU_STRESS,18.25
2025-05-17 17:18:15,954275,3814105,1222,5287287,CPU_STRESS,18.5
2025-05-17 17:18:30,936351,3782510,1222,5163601,CPU_STRESS,18.75
2025-05-17 17:18:45,768869,3798082,1222,5038972,CPU_STRESS,19.0
2025-05-17 17:19:00,767168,3796706,1222,5030587,CPU_STRESS,19.25
2025-05-17 17:19:15,876993,3801539,1222,4563538,CPU_STRESS,19.5
2025-05-17 17:19:30,881216,3933766,1222,4579745,CPU_STRESS,19.75
2025-05-17 17:19:45,1147635,4227054,1222,4864968,CPU_STRESS,20.0
2025-05-17 17:20:00,1146766,4258818,1222,4918397,CPU_STRESS,20.25
2025-05-17 17:20:15,1070905,5350379,1222,6197337,CPU_STRESS,20.5
2025-05-17 17:20:30,1063269,5543613,1222,6295972,CPU_STRESS,20.75
2025-05-17 17:20:45,978528,5323313,1222,6056649,CPU_STRESS,21.0
2025-05-17 17:21:00,972326,5309780,1222,5994019,CPU_STRESS,21.25
2025-05-17 17:21:15,954420,5252127,1222,5488045,CPU_STRESS,21.5
2025-05-17 17:21:30,945394,4567404,1222,5472027,CPU_STRESS,21.75
2025-05-17 17:21:45,852478,4500610,1222,5497699,CPU_STRESS,22.0
2025-05-17 17:22:00,869484,4482018,1222,5510224,CPU_STRESS,22.25
2025-05-17 17:22:15,955630,4495812,1222,5837550,CPU_STRESS,22.5
2025-05-17 17:22:30,987998,4654951,1222,5840843,CPU_STRESS,22.75
2025-05-17 17:22:45,1022914,4624370,1222,5669779,CPU_STRESS,23.0
2025-05-17 17:23:00,1408068,4491043,1222,5580892,CPU_STRESS,23.25
2025-05-17 17:23:15,1441501,4448422,1222,4682618,CPU_STRESS,23.5
2025-05-17 17:23:30,1242333,3556588,1222,4634728,CPU_STRESS,23.75
2025-05-17 17:23:45,1206345,3493065,1222,4765302,CPU_STRESS,24.0
2025-05-17 17:24:00,1010757,3611339,1222,4759060,CPU_STRESS,24.25
2025-05-17 17:24:15,1007366,3613140,1222,5197539,CPU_STRESS,24.5
2025-05-17 17:24:30,970350,4235064,1222,5217072,CPU_STRESS,24.75
2025-05-17 17:24:45,973700,4286175,1222,5302967,CPU_STRESS,25.0
2025-05-17 17:25:00,1055867,4444581,1222,5313805,CPU_STRESS,25.25
2025-05-17 17:25:15,1037774,4450110,1222,5311777,CPU_STRESS,25.5
2025-05-17 17:25:30,1015199,4568883,1222,5438226,CPU_STRESS,25.75
2025-05-17 17:25:45,1014235,4637004,1222,5471171,CPU_STRESS,26.0
2025-05-17 17:26:00,991111,4685590,1222,5575935,CPU_STRESS,26.25
2025-05-17 17:26:15,1000218,4710773,1222,5597630,CPU_STRESS,26.5
2025-05-17 17:26:30,1038330,5201519,1222,6706803,CPU_STRESS,26.75
2025-05-17 17:26:45,1068840,5291328,1222,6709844,CPU_STRESS,27.0
2025-05-17 17:27:00,1185781,5036919,1222,6240593,CPU_STRESS,27.25
