minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
3.5,64,68,53,85,60,455,27,23,0,0,OOM,3.5,883,1077,1024,661,653,1051,617,1026,0,0,OOM,3.5,1063,1234,1178,1534,1519,1219,1442,1123,0,0,OOM,3.5,7319,7510,7584,12891,12840,7422,13570,8137,0,0,OOM,3.5,59.39800000000008,60.132012554112606,61.67774166666671,64.1,64.45,60.18064999999992,63.87385238095243,62.00445198412698,0,0,OOM,3.5
3.75,100,65,64,88,68,455,57,35,0,0,OOM,3.75,876,1078,1069,671,640,1050,618,1033,0,0,OOM,3.75,1067,1245,1203,1535,1513,1221,1433,1118,0,0,OOM,3.75,7322,7510,7520,12924,12911,7486,13330,8100,0,0,OOM,3.75,59.44300000000008,60.3183982683983,60.85113214285719,64.1,64.45,60.6290559523809,64.05359276556781,62.21229783549782,0,0,OOM,3.75
4.0,101,64,64,88,61,60,58,35,0,0,OOM,4.0,876,1086,1078,671,641,1049,621,1038,0,0,OOM,4.0,1068,1245,1205,1537,1514,1220,1437,1117,0,0,OOM,4.0,6937,7310,7517,12996,13179,7570,12889,8061,0,0,OOM,4.0,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.0
4.25,203,54,51,96,8,60,103,5,0,0,OOM,4.25,898,1175,1186,668,662,1056,643,1106,0,0,OOM,4.25,1070,1216,1207,1565,1539,1213,1466,1120,0,0,OOM,4.25,6937,7310,7489,13069,13390,7627,12631,7912,0,0,OOM,4.25,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.25
4.5,215,53,52,99,7,60,106,8,0,0,OOM,4.5,910,1192,1195,666,670,1053,647,1121,0,0,OOM,4.5,1071,1208,1200,1559,1545,1208,1487,1123,0,0,OOM,4.5,6937,7310,7497,13133,13464,7639,12690,7884,0,0,OOM,4.5,58.675,60.025,60.675,64.1,62.6,60.150000000000006,62.825,60.85,0,0,OOM,4.5
4.75,210,54,64,103,78,70,93,73,0,0,OOM,4.75,904,1186,1171,665,672,1050,645,1115,0,0,OOM,4.75,1064,1183,1179,1554,1539,1193,1532,1122,0,0,OOM,4.75,6937,7889,7603,13265,13538,7874,12904,7915,0,0,OOM,4.75,58.675,60.025,60.675,64.1,66.74734642857138,60.150000000000006,62.825,60.85,0,0,OOM,4.75
5.0,210,54,64,103,100,10,91,74,0,0,OOM,5.0,923,1184,1166,664,673,1034,645,1115,0,0,OOM,5.0,1060,1179,1144,1548,1539,1158,1562,1122,0,0,OOM,5.0,7890,7916,7835,13497,13555,8189,13799,7949,0,0,OOM,5.0,65.2,65.5,65.8,68.8,66.7551797619047,67.4,69.0,65.3,0,0,OOM,5.0
5.25,227,67,54,58,188,10,14,102,0,0,OOM,5.25,1015,1178,1105,654,733,950,659,1131,0,0,OOM,5.25,1044,1178,1083,1511,1530,1106,1667,1126,0,0,OOM,5.25,7890,8120,8244,14111,13862,8445,14110,8065,0,0,OOM,5.25,65.2,65.5,65.8,68.8,67.64138809523806,67.4,69.0,65.3,0,0,OOM,5.25
5.5,225,66,54,64,191,32,8,111,0,0,OOM,5.5,1029,1174,1069,652,742,938,664,1128,0,0,OOM,5.5,1041,1174,1070,1503,1518,1102,1685,1125,0,0,OOM,5.5,7890,8178,8335,14359,14061,8567,14200,8170,0,0,OOM,5.5,65.2,65.5,65.8,68.8,67.74816071428569,67.4,69.0,65.3,0,0,OOM,5.5
5.75,198,65,65,111,147,78,19,131,0,0,OOM,5.75,1011,1154,1037,658,754,944,666,1107,0,0,OOM,5.75,1032,1169,1020,1489,1499,1080,1655,1107,0,0,OOM,5.75,8056,8101,8354,14376,14127,8577,14328,8258,0,0,OOM,5.75,65.86499999999997,64.69328993506495,65.71176428571427,69.35226161947787,67.91957976190479,68.46774060008619,68.79964801587302,67.65639944614209,0,0,OOM,5.75
6.0,195,63,65,114,143,87,19,132,0,0,OOM,6.0,1007,1098,1007,664,756,938,666,1100,0,0,OOM,6.0,1026,1161,1007,1480,1476,1070,1534,1092,0,0,OOM,6.0,8174,8109,8379,14382,14203,8594,14399,8489,0,0,OOM,6.0,68.16500000000008,65.26088993506495,67.42980753968256,69.47437828614454,68.87816309523811,68.64165964770523,69.17044801587302,68.56585658899922,0,0,OOM,6.0
6.25,159,36,38,361,36,142,10,183,0,0,OOM,6.25,973,927,910,730,778,972,670,1078,0,0,OOM,6.25,994,1089,948,1409,1412,1052,1406,951,0,0,OOM,6.25,8363,8049,8400,14354,14417,8593,14457,8820,0,0,OOM,6.25,68.61200000000011,66.29627803030304,68.59898486714758,69.93610291608975,69.83500984848486,69.24065468975469,70.27131666666668,69.48545606452372,0,0,OOM,6.25
6.5,154,33,35,376,30,149,11,186,0,0,OOM,6.5,958,908,890,737,770,982,670,1067,0,0,OOM,6.5,990,1060,950,1397,1395,1043,1396,914,0,0,OOM,6.5,8441,8099,8426,14419,14528,8606,14503,8862,0,0,OOM,6.5,68.9290000000001,67.42396904761905,68.858578497743,70.40866427417613,70.43359675324676,69.59175588023086,70.99244523809526,70.53923188840236,0,0,OOM,6.5
6.75,163,45,47,318,36,129,39,182,0,0,OOM,6.75,898,955,884,697,741,973,668,1058,0,0,OOM,6.75,973,1044,992,1382,1392,1040,1399,909,0,0,OOM,6.75,8464,8177,8448,14515,14700,8623,14789,8923,0,0,OOM,6.75,69.15400000000008,68.30899047619047,69.20504974593923,70.74843482184741,71.37200211675578,69.85195033431066,71.94369047619051,70.85880010319053,0,0,OOM,6.75
7.0,163,45,47,315,36,128,40,183,0,0,OOM,7.0,854,957,885,689,733,973,668,1058,0,0,OOM,7.0,964,1039,1011,1379,1394,1035,1403,913,0,0,OOM,7.0,8474,8291,8464,14677,14776,8666,15215,8928,0,0,OOM,7.0,70.3487916666667,69.1324,69.384777523717,71.945329716332,72.00396402151767,69.99970985812018,72.34702380952383,71.00007192858737,0,0,OOM,7.0
7.25,185,68,163,289,13,172,50,216,0,0,OOM,7.25,727,1077,928,663,707,1004,674,1060,0,0,OOM,7.25,957,989,1097,1357,1434,1018,1440,1002,0,0,OOM,7.25,8479,8670,8560,14832,14945,8760,15447,8929,0,0,OOM,7.25,70.9513630952381,70.77668134920633,70.05343973235803,73.03130216025806,73.27297912065904,70.85894062704101,74.22013809523807,71.38354322590116,0,0,OOM,7.25
7.5,192,69,170,279,12,172,52,216,0,0,OOM,7.5,713,1095,942,659,695,1002,675,1052,0,0,OOM,7.5,950,970,1112,1365,1446,1013,1444,1004,0,0,OOM,7.5,8501,8798,8674,14866,15029,8795,15538,8928,0,0,OOM,7.5,71.01456309523809,71.07123015873015,70.13275960050727,73.85393391738981,73.80191974617172,70.83063667017919,74.58976904761907,71.318604106188,0,0,OOM,7.5
7.75,190,71,162,237,44,150,79,157,0,0,OOM,7.75,755,1002,930,644,676,962,667,1020,0,0,OOM,7.75,926,931,1049,1370,1451,1016,1431,999,0,0,OOM,7.75,8513,8875,8810,14893,15052,8882,15699,8939,0,0,OOM,7.75,71.09191785714283,71.75993409090907,70.27629454163201,73.80905381758765,74.172633412325,71.42506850582026,75.01125300255302,71.27675962142439,0,0,OOM,7.75
8.0,190,80,162,236,45,149,79,155,0,0,OOM,8.0,755,981,926,639,675,961,666,983,0,0,OOM,8.0,915,921,1011,1373,1453,1010,1400,995,0,0,OOM,8.0,8514,8898,8851,14887,15042,8927,15943,8960,0,0,OOM,8.0,71.2089178571428,69.45,71.6,72.1,74.20276674565834,71.471216233093,74.075,71.8,0,0,OOM,8.0
8.25,247,147,146,137,35,24,122,34,0,0,OOM,8.25,863,818,890,592,653,942,656,802,0,0,OOM,8.25,872,907,918,1402,1456,975,1302,921,0,0,OOM,8.25,8582,8876,9274,14887,14942,9063,16189,9165,0,0,OOM,8.25,71.38952499999988,69.7,72.3,72.1,74.34810753935392,73.95877716293367,74.4,72.95,0,0,OOM,8.25
8.5,246,151,137,127,39,21,130,27,0,0,OOM,8.5,868,790,883,582,648,928,651,791,0,0,OOM,8.5,865,897,908,1401,1448,956,1289,906,0,0,OOM,8.5,8579,8860,9288,14887,14953,9114,16228,9176,0,0,OOM,8.5,71.42087499999988,69.7,72.3,72.1,74.6303440465564,74.75558669088632,74.4,72.95,0,0,OOM,8.5
8.75,213,124,133,110,52,89,133,86,0,0,OOM,8.75,863,836,844,605,637,920,648,815,0,0,OOM,8.75,870,893,888,1364,1413,936,1283,912,0,0,OOM,8.75,8593,8868,9113,14887,15081,9199,16065,9197,0,0,OOM,8.75,71.56169642857131,69.7,72.3,72.1,74.55619264779176,74.81822066686402,74.4,72.95,0,0,OOM,8.75
9.0,213,123,132,112,52,93,135,89,0,0,OOM,9.0,861,833,842,607,637,919,651,820,0,0,OOM,9.0,871,893,888,1347,1385,922,1289,913,0,0,OOM,9.0,8591,8862,9084,14879,15137,9222,15487,9209,0,0,OOM,9.0,71.1,70.7,72.8,73.0,73.1,73.225,74.5,72.7,0,0,OOM,9.0
9.25,231,128,110,182,73,172,184,232,0,0,OOM,9.25,846,1010,843,656,624,937,699,909,0,0,OOM,9.25,893,912,917,1273,1280,867,1379,947,0,0,OOM,9.25,8628,8568,8897,14809,15553,9311,15004,8976,0,0,OOM,9.25,71.1,70.7,72.8,73.0,73.1,73.225,74.5,72.7,0,0,OOM,9.25
9.5,225,123,104,190,79,176,177,226,0,0,OOM,9.5,842,1050,834,665,617,949,705,910,0,0,OOM,9.5,915,910,920,1247,1243,866,1395,958,0,0,OOM,9.5,8640,8556,8833,14862,15615,9328,14851,8984,0,0,OOM,9.5,71.1,70.7,72.8,73.0,73.1,73.225,74.5,72.7,0,0,OOM,9.5
9.75,196,92,106,192,79,154,163,202,0,0,OOM,9.75,842,1017,832,677,608,940,676,896,0,0,OOM,9.75,922,891,918,1216,1228,870,1398,948,0,0,OOM,9.75,8659,8671,8915,14939,15566,9281,15071,9039,0,0,OOM,9.75,71.1,71.51978369408364,71.48427598373206,73.41396930226637,73.1,73.225,75.00138871683873,72.29445975996784,0,0,OOM,9.75
10.0,193,87,106,193,78,155,163,202,0,0,OOM,10.0,842,1012,833,684,607,939,649,894,0,0,OOM,10.0,924,885,920,1216,1226,874,1394,947,0,0,OOM,10.0,8664,8679,8917,14959,15561,9223,15225,9051,0,0,OOM,10.0,72.2,71.65229797979795,71.3961093170654,73.775,75.5,71.5,75.08230538350539,72.2733883313964,0,0,OOM,10.0
10.25,78,21,54,234,68,186,165,105,0,0,OOM,10.25,878,912,877,728,611,998,561,823,0,0,OOM,10.25,940,870,916,1271,1234,921,1375,914,0,0,OOM,10.25,8715,8845,8900,15457,15363,8939,15428,9133,0,0,OOM,10.25,72.2,71.81164242424245,70.8958357336662,74.7,75.5,71.5,75.21707983405481,72.25672166472975,0,0,OOM,10.25
10.5,75,21,36,235,67,186,161,110,0,0,OOM,10.5,882,904,878,726,611,1003,555,805,0,0,OOM,10.5,936,857,915,1270,1236,927,1361,897,0,0,OOM,10.5,8700,8840,8891,15470,15249,8926,15412,9073,0,0,OOM,10.5,72.2,71.64146309523811,70.63097500839447,74.7,75.5,71.5,74.84915086580085,72.10102507382065,0,0,OOM,10.5
10.75,108,41,46,191,77,153,146,120,0,0,OOM,10.75,832,915,834,687,607,945,560,801,0,0,OOM,10.75,902,866,912,1264,1237,907,1340,884,0,0,OOM,10.75,8659,8821,8762,15193,15182,8932,15220,9041,0,0,OOM,10.75,71.32829642857136,71.30136428571427,70.0349571651266,74.7,73.80009511574859,71.30859207631585,74.28911093906096,72.05356598291156,0,0,OOM,10.75
11.0,108,47,46,190,77,151,146,120,0,0,OOM,11.0,808,915,817,668,607,939,559,800,0,0,OOM,11.0,897,866,906,1261,1237,901,1337,883,0,0,OOM,11.0,8652,8820,8741,15139,15169,8925,14604,8997,0,0,OOM,11.0,70.81617142857142,70.78333333333332,69.88580972922915,71.5,73.61122779525547,71.30224921917298,73.8422918914419,71.85476503121957,0,0,OOM,11.0
11.25,211,67,95,91,95,24,127,149,0,0,OOM,11.25,699,925,660,587,583,775,521,723,0,0,OOM,11.25,819,871,893,1233,1237,827,1259,859,0,0,OOM,11.25,8436,8569,8467,14545,14616,8843,14159,8670,0,0,OOM,11.25,70.38459999999999,69.1024940476191,68.53569281349725,71.5,72.21479086080579,70.7404170281683,71.09582499999999,70.55754711709783,0,0,OOM,11.25
11.5,227,68,103,89,100,19,122,156,0,0,OOM,11.5,701,923,650,574,581,755,522,716,0,0,OOM,11.5,801,863,889,1218,1244,817,1243,854,0,0,OOM,11.5,8407,8542,8401,14486,14394,8829,14146,8652,0,0,OOM,11.5,70.2916,68.66912261904766,68.56925611533289,71.5,72.0358534122008,70.74216702816828,70.68791547619044,70.38349938010906,0,0,OOM,11.5
11.75,201,68,106,87,110,46,97,150,0,0,OOM,11.75,661,891,699,593,584,772,538,739,0,0,OOM,11.75,807,855,894,1185,1243,820,1220,861,0,0,OOM,11.75,8422,8657,8478,14724,14311,8887,14381,8730,0,0,OOM,11.75,70.03333333333333,68.8846380952381,69.0298330193909,73.64323344784302,72.61766269345875,71.1982010246565,71.69214761904762,70.71257857697074,0,0,OOM,11.75
12.0,201,59,106,87,110,47,96,150,0,0,OOM,12.0,658,885,701,595,583,772,542,740,0,0,OOM,12.0,807,854,891,1183,1239,832,1192,861,0,0,OOM,12.0,8421,8675,8549,14730,14311,8910,14717,8744,0,0,OOM,12.0,70.03333333333333,72.125,69.92187956410633,73.82884754575491,72.61566269345876,71.28730014746351,72.18854761904763,70.98985370127885,0,0,OOM,12.0
12.25,249,16,68,95,48,93,72,136,0,0,OOM,12.25,613,851,767,614,522,777,555,792,0,0,OOM,12.25,857,839,868,1158,1230,897,1118,862,0,0,OOM,12.25,8406,8921,8714,15038,14464,8964,14944,8868,0,0,OOM,12.25,70.05333333333333,73.2,71.0699929738562,74.83042668295755,73.24087264836416,71.58620314602535,74.01123690476193,71.957601330369,0,0,OOM,12.25
12.5,248,16,60,98,50,94,67,125,0,0,OOM,12.5,619,842,773,615,521,784,558,798,0,0,OOM,12.5,859,832,865,1156,1227,905,1109,867,0,0,OOM,12.5,8414,8984,8785,15074,14527,9003,15001,8928,0,0,OOM,12.5,70.15733333333334,73.2,71.51524097424256,75.60764097079391,73.79098858270761,72.01712343689559,74.36968928571434,72.44249796037299,0,0,OOM,12.5
12.75,209,49,66,102,56,89,63,113,0,0,OOM,12.75,701,826,770,593,555,804,565,807,0,0,OOM,12.75,866,838,868,1170,1226,908,1126,874,0,0,OOM,12.75,8462,9022,8893,15157,14705,9057,15021,9075,0,0,OOM,12.75,70.28566666666667,73.2,72.17935519229657,75.56142423132424,74.29264922836572,72.29179175479364,74.38297142857145,73.25259942236129,0,0,OOM,12.75
