time,apigateway_api_gateway,customersservice_customers_service,srtt_SRTT_cumulative,vetsservice_vets_service,visitsservice_visits_service
2025-05-17 17:01:15,0.0,0.0,555.0,0.0,0.0
2025-05-17 17:01:30,0.0,0.0,571.0,0.0,0.0
2025-05-17 17:01:45,0.0,0.0,518.0,0.0,0.0
2025-05-17 17:02:00,0.0,0.0,396.75,0.0,0.0
2025-05-17 17:02:15,0.0,0.0,401.25,0.0,0.0
2025-05-17 17:02:30,0.0,0.0,364.5,0.0,0.0
2025-05-17 17:02:45,0.0,0.0,356.25,0.0,0.0
2025-05-17 17:03:00,0.0,0.0,273.75,0.0,0.0
2025-05-17 17:03:15,0.0,0.0,1822.5,0.0,0.0
2025-05-17 17:03:30,0.0,0.0,3857.25,0.0,0.0
2025-05-17 17:03:45,0.0,0.0,3822.75,0.0,0.0
2025-05-17 17:04:00,0.0,0.0,3807.75,0.0,0.0
2025-05-17 17:04:15,0.0,5.25,3810.0,0.0,0.0
2025-05-17 17:04:30,0.0,5.25,8238.75,0.0,0.0
2025-05-17 17:04:45,0.0,5.25,8250.0,0.0,0.0
2025-05-17 17:05:00,0.0,5.25,8226.0,0.0,0.0
2025-05-17 17:05:15,0.0,33.0,7113.75,0.0,0.0
2025-05-17 17:05:30,0.0,33.0,7458.932714285713,0.0,0.0
2025-05-17 17:05:45,0.0,33.0,7883.457809523809,0.0,0.0
2025-05-17 17:06:00,0.0,33.0,7792.322428571428,0.0,0.0
2025-05-17 17:06:15,0.0,0.0,7517.905865079366,0.0,0.0
2025-05-17 17:06:30,0.0,0.0,6872.330539682539,0.0,0.0
2025-05-17 17:06:45,0.0,0.0,6644.182777777776,0.0,0.0
2025-05-17 17:07:00,0.0,0.0,6529.577634920635,0.0,0.0
2025-05-17 17:07:15,0.0,36.75,6565.635206349206,0.0,0.0
2025-05-17 17:07:30,0.0,36.75,6415.749142857141,0.0,0.0
2025-05-17 17:07:45,0.0,36.75,6258.992666666666,0.0,0.0
2025-05-17 17:08:00,0.0,36.75,6348.489405372405,0.0,0.0
2025-05-17 17:08:15,0.0,32.25,6462.850405372405,0.0,0.0
2025-05-17 17:08:30,0.0,32.25,7170.925523809522,0.0,0.0
2025-05-17 17:08:45,0.0,32.25,7725.662293650793,0.0,0.0
2025-05-17 17:09:00,0.0,32.25,7757.4091269841265,0.0,0.0
2025-05-17 17:09:15,0.0,0.0,7642.343682539682,0.0,0.0
2025-05-17 17:09:30,0.0,0.0,7719.934388888887,0.0,0.0
2025-05-17 17:09:45,0.0,0.0,7655.277603174602,0.0,0.0
2025-05-17 17:10:00,0.0,0.0,7710.597269841271,0.0,0.0
2025-05-17 17:10:15,0.0,39.75,7944.166071428573,0.0,0.0
2025-05-17 17:10:30,0.0,39.75,8362.016404761906,0.0,0.0
2025-05-17 17:10:45,0.0,39.75,8379.648880952382,0.0,0.0
2025-05-17 17:11:00,0.0,39.75,8359.901714285714,0.0,0.0
2025-05-17 17:11:15,0.0,13.5,8366.12723809524,0.0,0.0
