readbytes_read_bytes_cumulative,writebytes_write_bytes_cumulative
0,12820480
0,12615680
0,11198464
0,10625977
0,10824559
0,10441537
0,9974043
0,10021458
0,10000566
0,10796811
0,11127470
0,11687857
0,11801815
0,11792577
0,11789806
0,11849487
0,11838686
0,11828387
0,11658502
0,12430600
0,12545451
0,12411841
0,12450703
0,12686327
0,12663397
0,12373426
0,12253961
0,11531452
0,11319522
0,11109569
0,11099253
0,10984887
0,10994739
0,10963314
0,10966498
0,10928195
0,10940028
0,10968683
0,10961740
0,11003261
0,10815027
0,10733671
0,10734160
0,11156264
0,11376068
0,11389644
0,11358568
0,11194499
0,11026927
0,10946238
0,10949300
0,11134928
0,11224389
0,11158401
0,11119019
0,10485711
0,10260883
0,9660137
0,9615112
0,9633961
0,9406799
0,9500839
0,9617372
0,11102896
0,11719106
0,11742245
0,11465790
0,17764323
0,22754713
0,22704560
0,22647862
0,17004427
0,11423352
0,11417695
0,11266809
0,11248017
0,11083787
0,10726834
0,10745036
0,10764246
0,11054290
0,11104243
0,11311415
0,11242903
0,11544789
0,11530121
0,11318204
0,10939825
0,10362705
0,10615198
0,10159540
0,10087525
0,9875143
0,9811786
0,9704243
0,9623236
0,9562194
0,9585610
0,9609065
0,9644611
0,9619868
0,9624289
0,9645479
0,9677810
0,9701921
0,9839076
0,9931313
0,10074850
0,10073775
0,10293477
0,10339470
0,10512159
0,10540324
0,10599932
0,10617223
0,10730287
0,10716344
0,10218539
0,10175803
0,10341670
0,10342771
0,10408920
0,10360310
0,10359394
0,10362919
0,10414359
0,10416950
0,10480388
0,10528796
0,10657163
0,10649789
0,10530639
0,10441623
0,9843544
0,9747703
0,10235905
0,10262025
0,10837391
0,10932170
0,10602067
0,11443530
0,10941663
0,10679749
0,10669141
0,10577898
0,10075105
0,10007639
0,9984759
0,9980062
0,9781596
0,9787211
0,9751698
0,9855884
0,9863865
0,10669117
0,10701227
0,10699859
0,10409060
0,10597117
0,10525437
0,10020433
0,9927006
0,9615999
0,9593465
0,9452848
0,9426203
0,9014368
0,8969993
0,9187458
0,9195093
0,9828335
0,9991212
0,9993181
0,10060608
0,10019777
0,10039838
0,9952174
0,9860674
0,9614654
0,9147193
0,9046450
0,9026714
0,8977582
0,8908017
0,8900560
0,8792735
0,8710019
0,8506270
0,8486227
0,8793979
0,8985492
0,9327278
0,9480186
0,9627721
0,9981774
