Time,mem_available,source,Minutes
2025-05-17 17:22:00,11056507.844000868,BASELINE,22.5
2025-05-17 17:22:15,11041359.087420495,BASELINE,22.75
2025-05-17 17:22:30,11035201.007420495,BASELINE,23.0
2025-05-17 17:22:45,11024466.435417175,BASELINE,23.25
2025-05-17 17:23:00,10887902.176669646,BASELINE,23.5
2025-05-17 17:23:15,10727279.985614311,BASELINE,23.75
2025-05-17 17:23:30,10416356.898725422,BASELINE,24.0
2025-05-17 17:23:45,9708500.429200916,BASELINE,24.25
2025-05-17 17:24:00,9641588.105073934,BASELINE,24.5
2025-05-17 17:24:15,9335682.90613475,BASELINE,24.75
2025-05-17 17:24:30,9088492.701924223,BASELINE,25.0
2025-05-17 17:24:45,8688290.122715304,BASELINE,25.25
2025-05-17 17:25:00,8700333.585497914,BASELINE,25.5
2025-05-17 17:25:15,9083441.23884793,BASELINE,25.75
2025-05-17 17:25:30,9666763.52484793,BASELINE,26.0
2025-05-17 17:25:45,10261954.504444445,BASELINE,26.25
2025-05-17 17:26:00,10266162.398958096,BASELINE,26.5
2025-05-17 17:26:15,10030222.052151598,BASELINE,26.75
2025-05-17 17:26:30,9275866.170100316,BASELINE,27.0
2025-05-17 17:26:45,8800956.9358658,BASELINE,27.25
2025-05-17 17:27:00,8813799.649666667,BASELINE,27.5
2025-05-17 17:27:15,9064180.32583076,BASELINE,27.75
2025-05-17 17:27:30,9262891.805830758,BASELINE,28.0
2025-05-17 17:27:45,9687302.36511111,BASELINE,28.25
2025-05-17 17:28:00,9657966.533052288,BASELINE,28.5
2025-05-17 17:28:15,9321848.523150148,BASELINE,28.75
2025-05-17 17:28:30,8919395.46048348,BASELINE,29.0
2025-05-17 17:28:45,8395802.850927977,BASELINE,29.25
2025-05-17 17:29:00,8388528.945972207,BASELINE,29.5
2025-05-17 17:29:15,8646514.510592118,BASELINE,29.75
2025-05-17 17:29:30,8778526.756306404,BASELINE,30.0
2025-05-17 17:29:45,9182136.549985126,BASELINE,30.25
2025-05-17 17:30:00,9191910.039328227,BASELINE,30.5
2025-05-17 17:30:15,9006732.653578173,BASELINE,30.75
2025-05-17 17:30:30,8731235.90050001,BASELINE,31.0
2025-05-17 17:30:45,8370264.894130108,BASELINE,31.25
2025-05-17 17:31:00,8327838.666503392,BASELINE,31.5
2025-05-17 17:31:15,8304853.443396678,BASELINE,31.75
2025-05-17 17:31:30,8290606.28808937,BASELINE,32.0
2025-05-17 17:31:45,8220853.668066677,BASELINE,32.25
2025-05-17 17:32:00,8209497.85467662,BASELINE,32.5
2025-05-17 17:32:15,8268458.311662319,BASELINE,32.75
2025-05-17 17:32:30,8272060.947662319,BASELINE,33.0
2025-05-17 17:32:45,8193048.989733144,BASELINE,33.25
2025-05-17 17:33:00,8214536.532960727,BASELINE,33.5
2025-05-17 17:33:15,8416819.114783026,BASELINE,33.75
2025-05-17 17:33:30,8556169.18754493,BASELINE,34.0
