minutes,tcp_customersservice_customers_service,tcp_customersservice_source,tcp_visitsservice_visits_service,tcp_visitsservice_source
2080-11-30 12:32:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:32:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:32:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:33:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:33:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:33:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:33:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:34:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:34:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:34:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:34:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:35:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:35:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:35:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:35:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:36:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:36:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:36:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:36:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 12:37:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:22:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:22:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:23:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:23:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:23:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:23:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:24:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:24:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:24:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:24:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:25:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:25:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:25:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:25:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:26:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:26:15,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:26:30,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:26:45,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:27:00,0.0,CACHE_FILLING,0,CACHE_FILLING
2080-11-30 13:27:15,0.0,CACHE_FILLING,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
,,,0,CACHE_FILLING
