Time,read_bytes_cumulative
2025-05-17 16:59:45,0
2025-05-17 17:00:00,0
2025-05-17 17:00:15,0
2025-05-17 17:00:30,64398192
2025-05-17 17:00:45,64332668
2025-05-17 17:01:00,64034524
2025-05-17 17:01:15,63825527
2025-05-17 17:01:30,63781133
2025-05-17 17:01:45,63642897
2025-05-17 17:02:00,63589731
2025-05-17 17:02:15,63589731
2025-05-17 17:02:30,63589731
2025-05-17 17:02:45,63589731
2025-05-17 17:03:00,63589731
2025-05-17 17:03:15,63589731
2025-05-17 17:03:30,63589731
2025-05-17 17:03:45,63589731
2025-05-17 17:04:00,63589731
2025-05-17 17:04:15,63589731
2025-05-17 17:04:30,63589731
2025-05-17 17:04:45,63589731
2025-05-17 17:05:00,63589731
2025-05-17 17:05:15,63589731
2025-05-17 17:05:30,63589731
2025-05-17 17:05:45,63589731
2025-05-17 17:06:00,63589731
2025-05-17 17:06:15,63589731
2025-05-17 17:06:30,63589731
2025-05-17 17:06:45,63589731
2025-05-17 17:07:00,63589731
2025-05-17 17:07:15,63589731
2025-05-17 17:07:30,63589731
2025-05-17 17:07:45,63589737
2025-05-17 17:08:00,63589748
2025-05-17 17:08:15,63589784
2025-05-17 17:08:30,63589810
2025-05-17 17:08:45,63589818
2025-05-17 17:09:00,63589835
2025-05-17 17:09:15,63589866
2025-05-17 17:09:30,63589866
2025-05-17 17:09:45,63589892
2025-05-17 17:10:00,63593290
2025-05-17 17:10:15,63593429
2025-05-17 17:10:30,63593306
2025-05-17 17:10:45,63593666
2025-05-17 17:11:00,63593614
2025-05-17 17:11:15,63590793
2025-05-17 17:11:30,63590879
2025-05-17 17:11:45,63590001
2025-05-17 17:12:00,63589670
2025-05-17 17:12:15,63589670
2025-05-17 17:12:30,63589670
2025-05-17 17:12:45,63589670
2025-05-17 17:13:00,63589670
2025-05-17 17:13:15,63589670
2025-05-17 17:13:30,63589670
2025-05-17 17:13:45,63589670
2025-05-17 17:14:00,63589670
2025-05-17 17:14:15,63589670
2025-05-17 17:14:30,63589670
2025-05-17 17:14:45,63589670
2025-05-17 17:15:00,63589670
2025-05-17 17:15:15,63589670
2025-05-17 17:15:30,63589670
2025-05-17 17:15:45,63589670
2025-05-17 17:16:00,63589670
2025-05-17 17:16:15,63589670
2025-05-17 17:16:30,63589670
2025-05-17 17:16:45,63589670
2025-05-17 17:17:00,63589670
2025-05-17 17:17:15,63589670
2025-05-17 17:17:30,63589670
2025-05-17 17:17:45,63589670
2025-05-17 17:18:00,63589670
2025-05-17 17:18:15,63589670
2025-05-17 17:18:30,63589670
2025-05-17 17:18:45,63589670
2025-05-17 17:19:00,63589670
2025-05-17 17:19:15,63589670
2025-05-17 17:19:30,63589670
2025-05-17 17:19:45,63589670
2025-05-17 17:20:00,63589670
2025-05-17 17:20:15,63589670
2025-05-17 17:20:30,63589670
2025-05-17 17:20:45,63589670
2025-05-17 17:21:00,63589670
2025-05-17 17:21:15,63589670
2025-05-17 17:21:30,63589670
2025-05-17 17:21:45,63589670
2025-05-17 17:22:00,63589670
2025-05-17 17:22:15,63589670
2025-05-17 17:22:30,63589670
2025-05-17 17:22:45,63589670
2025-05-17 17:23:00,63589670
2025-05-17 17:23:15,63589670
2025-05-17 17:23:30,63589670
2025-05-17 17:23:45,63589670
2025-05-17 17:24:00,63589657
2025-05-17 17:24:15,63589657
