"Time","{__name__=""gala_gopher_mem_available_kB"", infos=""/proc/meminfo"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""customersMemStress""}"
2025-05-21 00:54:15,16768244
2025-05-21 00:54:30,17859880
2025-05-21 00:54:45,17859880
2025-05-21 00:55:00,17859880
2025-05-21 00:55:15,17859880
2025-05-21 00:55:30,17133396
2025-05-21 00:55:45,17133396
2025-05-21 00:56:00,17133396
2025-05-21 00:56:15,16597148
2025-05-21 00:56:30,16597148
2025-05-21 00:56:45,16597148
2025-05-21 00:57:00,16597148
2025-05-21 00:57:15,16292056
2025-05-21 00:57:30,16292056
2025-05-21 00:57:45,16292056
2025-05-21 00:58:00,16292056
2025-05-21 00:58:15,16057856
2025-05-21 00:58:30,16057856
2025-05-21 00:58:45,16057856
2025-05-21 00:59:00,16057856
2025-05-21 00:59:15,15520124
2025-05-21 00:59:30,15520124
2025-05-21 00:59:45,15520124
2025-05-21 01:00:00,15520124
2025-05-21 01:00:15,15321144
2025-05-21 01:00:30,15321144
2025-05-21 01:00:45,15321144
2025-05-21 01:01:00,15321144
2025-05-21 01:01:15,15061744
2025-05-21 01:01:30,15061744
2025-05-21 01:01:45,15061744
2025-05-21 01:02:00,15061744
2025-05-21 01:02:15,14869412
2025-05-21 01:02:30,14869412
2025-05-21 01:02:45,14869412
2025-05-21 01:03:00,14869412
2025-05-21 01:03:15,14854208
2025-05-21 01:03:30,14854208
2025-05-21 01:03:45,14854208
2025-05-21 01:04:00,14854208
2025-05-21 01:04:15,14868364
2025-05-21 01:04:30,14868364
2025-05-21 01:04:45,14868364
2025-05-21 01:05:00,14868364
2025-05-21 01:05:15,14649864
2025-05-21 01:05:30,14649864
2025-05-21 01:05:45,14649864
2025-05-21 01:06:00,14649864
2025-05-21 01:06:15,14649864
2025-05-21 01:06:30,14420148
2025-05-21 01:06:45,14420148
2025-05-21 01:07:00,14420148
2025-05-21 01:07:15,14420148
2025-05-21 01:07:30,14223144
2025-05-21 01:07:45,14223144
2025-05-21 01:08:00,14223144
2025-05-21 01:08:15,14041016
2025-05-21 01:08:30,14041016
2025-05-21 01:08:45,14041016
2025-05-21 01:09:00,14041016
2025-05-21 01:09:15,14041016
2025-05-21 01:09:30,13891540
2025-05-21 01:09:45,13891540
2025-05-21 01:10:00,13891540
2025-05-21 01:10:15,13925652
2025-05-21 01:10:30,13925652
2025-05-21 01:10:45,13925652
2025-05-21 01:11:00,13925652
2025-05-21 01:11:15,13760520
2025-05-21 01:11:30,13760520
2025-05-21 01:11:45,13760520
2025-05-21 01:12:00,13760520
2025-05-21 01:12:15,13744660
2025-05-21 01:12:30,13744660
2025-05-21 01:12:45,13744660
2025-05-21 01:13:00,13744660
2025-05-21 01:13:15,13744660
2025-05-21 01:13:30,13755512
2025-05-21 01:13:45,13755512
2025-05-21 01:14:00,13755512
2025-05-21 01:14:15,13755512
2025-05-21 01:14:30,13612788
2025-05-21 01:14:45,13612788
2025-05-21 01:15:00,13612788
2025-05-21 01:15:15,13612788
2025-05-21 01:15:30,13591440
2025-05-21 01:15:45,13591440
2025-05-21 01:16:00,13591440
2025-05-21 01:16:15,13591440
2025-05-21 01:16:30,13558544
2025-05-21 01:16:45,13558544
2025-05-21 01:17:00,13558544
2025-05-21 01:17:15,13558544
2025-05-21 01:17:30,13573064
2025-05-21 01:17:45,13573064
2025-05-21 01:18:00,13573064
2025-05-21 01:18:15,13573064
2025-05-21 01:18:30,13571636
2025-05-21 01:18:45,13571636
2025-05-21 01:19:00,13571636
2025-05-21 01:19:15,13571636
2025-05-21 01:19:30,13419944
2025-05-21 01:19:45,13419944
2025-05-21 01:20:00,13419944
2025-05-21 01:20:15,13419944
2025-05-21 01:20:30,13429184
2025-05-21 01:20:45,13429184
2025-05-21 01:21:00,13429184
2025-05-21 01:21:15,13429184
2025-05-21 01:21:30,13440592
2025-05-21 01:21:45,13440592
2025-05-21 01:22:00,13440592
2025-05-21 01:22:15,13440592
2025-05-21 01:22:30,13435136
2025-05-21 01:22:45,13435136
2025-05-21 01:23:00,13435136
2025-05-21 01:23:15,13435136
2025-05-21 01:23:30,13412200
2025-05-21 01:23:45,13412200
2025-05-21 01:24:00,13412200
2025-05-21 01:24:15,13412200
2025-05-21 01:24:30,13139884
2025-05-21 01:24:45,13139884
2025-05-21 01:25:00,13139884
2025-05-21 01:25:15,13139884
2025-05-21 01:25:30,4539148
2025-05-21 01:25:45,4539148
2025-05-21 01:26:00,4539148
2025-05-21 01:26:15,4382524
2025-05-21 01:26:30,4382524
2025-05-21 01:26:45,4382524
2025-05-21 01:27:00,4382524
2025-05-21 01:27:15,4373080
2025-05-21 01:27:30,4373080
2025-05-21 01:27:45,4373080
2025-05-21 01:28:00,4373080
2025-05-21 01:28:15,4371932
2025-05-21 01:28:30,4371932
2025-05-21 01:28:45,4371932
2025-05-21 01:29:00,4371932
2025-05-21 01:29:15,5378940
2025-05-21 01:29:30,5378940
2025-05-21 01:29:45,5378940
2025-05-21 01:30:00,5378940
2025-05-21 01:30:15,5378940
2025-05-21 01:30:30,4384644
2025-05-21 01:30:45,4384644
2025-05-21 01:31:00,4384644
2025-05-21 01:31:15,4384644
2025-05-21 01:31:30,4117532
2025-05-21 01:31:45,4117532
2025-05-21 01:32:00,4117532
2025-05-21 01:32:15,4117532
2025-05-21 01:32:30,3176772
2025-05-21 01:32:45,3176772
2025-05-21 01:33:00,3176772
2025-05-21 01:33:15,3176772
2025-05-21 01:33:30,4382212
2025-05-21 01:33:45,4382212
2025-05-21 01:34:00,4382212
2025-05-21 01:34:15,4382212
2025-05-21 01:34:30,4382480
2025-05-21 01:34:45,4382480
2025-05-21 01:35:00,4382480
2025-05-21 01:35:15,4382480
2025-05-21 01:35:30,4392488
2025-05-21 01:35:45,4392488
2025-05-21 01:36:00,4392488
2025-05-21 01:36:15,4389648
2025-05-21 01:36:30,4389648
2025-05-21 01:36:45,4389648
2025-05-21 01:37:00,4389648
2025-05-21 01:37:15,4384172
2025-05-21 01:37:30,4384172
2025-05-21 01:37:45,4384172
2025-05-21 01:38:00,4384172
2025-05-21 01:38:15,4369220
2025-05-21 01:38:30,4369220
2025-05-21 01:38:45,4369220
2025-05-21 01:39:00,4369220
2025-05-21 01:39:15,4367852
2025-05-21 01:39:30,4367852
2025-05-21 01:39:45,4367852
2025-05-21 01:40:00,4367852
2025-05-21 01:40:15,4366056
2025-05-21 01:40:30,4366056
2025-05-21 01:40:45,4366056
2025-05-21 01:41:00,4366056
2025-05-21 01:41:15,4366056
2025-05-21 01:41:30,4358792
2025-05-21 01:41:45,4358792
2025-05-21 01:42:00,4358792
2025-05-21 01:42:15,4358792
2025-05-21 01:42:30,4369832
2025-05-21 01:42:45,4369832
2025-05-21 01:43:00,4369832
2025-05-21 01:43:15,4369832
2025-05-21 01:43:30,4366676
2025-05-21 01:43:45,4366676
2025-05-21 01:44:00,4366676
2025-05-21 01:44:15,4317704
2025-05-21 01:44:30,4317704
2025-05-21 01:44:45,4317704
2025-05-21 01:45:00,4317704
2025-05-21 01:45:15,4331904
2025-05-21 01:45:30,4331904
2025-05-21 01:45:45,4331904
2025-05-21 01:46:00,4331904
2025-05-21 01:46:15,4342268
2025-05-21 01:46:30,4342268
2025-05-21 01:46:45,4342268
2025-05-21 01:47:00,4342268
2025-05-21 01:47:15,4328888
2025-05-21 01:47:30,4328888
2025-05-21 01:47:45,4328888
2025-05-21 01:48:00,4328888
2025-05-21 01:48:15,4343792
2025-05-21 01:48:30,4343792
2025-05-21 01:48:45,4343792
2025-05-21 01:49:00,4343792
2025-05-21 01:49:15,4343792
2025-05-21 01:49:30,4328344
2025-05-21 01:49:45,4328344
2025-05-21 01:50:00,4328344
2025-05-21 01:50:15,4328344
2025-05-21 01:50:30,4318560
2025-05-21 01:50:45,4318560
2025-05-21 01:51:00,4318560
2025-05-21 01:51:15,4318560
2025-05-21 01:51:30,4314280
2025-05-21 01:51:45,4314280
2025-05-21 01:52:00,4314280
2025-05-21 01:52:15,4314280
2025-05-21 01:52:30,4309084
2025-05-21 01:52:45,4309084
2025-05-21 01:53:00,4309084
2025-05-21 01:53:15,4309084
2025-05-21 01:53:30,4307904
2025-05-21 01:53:45,4307904
2025-05-21 01:54:00,4307904
2025-05-21 01:54:15,4307904
2025-05-21 01:54:30,3992972
2025-05-21 01:54:45,3992972
2025-05-21 01:55:00,3992972
2025-05-21 01:55:15,3992972
2025-05-21 01:55:30,3958636
2025-05-21 01:55:45,3958636
2025-05-21 01:56:00,3958636
2025-05-21 01:56:15,3958636
2025-05-21 01:56:30,3862404
2025-05-21 01:56:45,3862404
2025-05-21 01:57:00,3862404
2025-05-21 01:57:15,3862404
2025-05-21 01:57:30,3846196
2025-05-21 01:57:45,3846196
2025-05-21 01:58:00,3846196
2025-05-21 01:58:15,3846196
2025-05-21 01:58:30,3829272
2025-05-21 01:58:45,3829272
2025-05-21 01:59:00,3829272
2025-05-21 01:59:15,3823680
2025-05-21 01:59:30,3823680
2025-05-21 01:59:45,3823680
2025-05-21 02:00:00,3823680
2025-05-21 02:00:15,3833808
2025-05-21 02:00:30,3833808
2025-05-21 02:00:45,3833808
2025-05-21 02:01:00,3833808
2025-05-21 02:01:15,3828512
2025-05-21 02:01:30,3828512
2025-05-21 02:01:45,3828512
2025-05-21 02:02:00,3828512
2025-05-21 02:02:15,3828512
2025-05-21 02:02:30,3819056
2025-05-21 02:02:45,3819056
2025-05-21 02:03:00,3819056
2025-05-21 02:03:15,3819056
2025-05-21 02:03:30,3821356
2025-05-21 02:03:45,3821356
2025-05-21 02:04:00,3821356
2025-05-21 02:04:15,3821356
2025-05-21 02:04:30,3816144
2025-05-21 02:04:45,3816144
2025-05-21 02:05:00,3816144
2025-05-21 02:05:15,3816144
2025-05-21 02:05:30,3748412
2025-05-21 02:05:45,3748412
2025-05-21 02:06:00,3748412
2025-05-21 02:06:15,3748412
2025-05-21 02:06:30,3609440
2025-05-21 02:06:45,3609440
2025-05-21 02:07:00,3609440
2025-05-21 02:07:15,3609440
2025-05-21 02:07:30,3186108
2025-05-21 02:07:45,3186108
2025-05-21 02:08:00,3186108
2025-05-21 02:08:15,3186108
2025-05-21 02:08:30,2948152
2025-05-21 02:08:45,2948152
