Time,read_bytes_cumulative
2025-05-17 16:59:45,3571712.0
2025-05-17 17:00:00,3571712.0
2025-05-17 17:00:15,2418688.0
2025-05-17 17:00:30,2398638.8513560644
2025-05-17 17:00:45,151541.80821749527
2025-05-17 17:01:00,146285.1145421198
2025-05-17 17:01:15,120808.37458924677
2025-05-17 17:01:30,97439.814759246
2025-05-17 17:01:45,339018.08138284483
2025-05-17 17:02:00,338071.33643176686
2025-05-17 17:02:15,141463.33643176686
2025-05-17 17:02:30,141463.33643176686
2025-05-17 17:02:45,16535.33643176685
2025-05-17 17:03:00,16543.33643176685
2025-05-17 17:03:15,16543.33643176685
2025-05-17 17:03:30,16543.33643176685
2025-05-17 17:03:45,16543.33643176685
2025-05-17 17:04:00,16543.33643176685
2025-05-17 17:04:15,16543.33643176685
2025-05-17 17:04:30,30576.33643176685
2025-05-17 17:04:45,30576.33643176685
2025-05-17 17:05:00,30706.33643176685
2025-05-17 17:05:15,30706.33643176685
2025-05-17 17:05:30,30706.33643176685
2025-05-17 17:05:45,30706.33643176685
2025-05-17 17:06:00,30706.33643176685
2025-05-17 17:06:15,30706.33643176685
2025-05-17 17:06:30,21932.419331613077
2025-05-17 17:06:45,21932.419331613077
2025-05-17 17:07:00,21932.419331613077
2025-05-17 17:07:15,21932.419331613077
2025-05-17 17:07:30,21932.419331613077
2025-05-17 17:07:45,21932.419331613077
2025-05-17 17:08:00,21932.419331613077
2025-05-17 17:08:15,21932.419331613077
2025-05-17 17:08:30,21932.419331613077
2025-05-17 17:08:45,21908.058595416758
2025-05-17 17:09:00,21908.058595416758
2025-05-17 17:09:15,21908.058595416758
2025-05-17 17:09:30,21908.058595416758
2025-05-17 17:09:45,21903.058595416758
2025-05-17 17:10:00,21916.058595416758
2025-05-17 17:10:15,21901.058595416758
2025-05-17 17:10:30,21888.058595416758
2025-05-17 17:10:45,21888.058595416758
2025-05-17 17:11:00,21862.058595416758
2025-05-17 17:11:15,21862.058595416758
2025-05-17 17:11:30,22571.877172779896
2025-05-17 17:11:45,22617.877172779896
2025-05-17 17:12:00,23350.89280299817
2025-05-17 17:12:15,23350.89280299817
2025-05-17 17:12:30,23350.89280299817
