Time,write_bytes_cumulative
2025-05-17 16:59:45,17582080.0
2025-05-17 17:00:00,17582080.0
2025-05-17 17:00:15,16041984.0
2025-05-17 17:00:30,15315505.798773132
2025-05-17 17:00:45,12634048.798773132
2025-05-17 17:01:00,12422747.798773132
2025-05-17 17:01:15,12299881.798773132
2025-05-17 17:01:30,12838557.798773132
2025-05-17 17:01:45,13195557.798773132
2025-05-17 17:02:00,12043597.798773132
2025-05-17 17:02:15,11248767.798773132
2025-05-17 17:02:30,11116491.798773132
2025-05-17 17:02:45,11105854.798773132
2025-05-17 17:03:00,11489755.798773132
2025-05-17 17:03:15,11477761.798773132
2025-05-17 17:03:30,11444164.798773132
2025-05-17 17:03:45,11440421.798773132
2025-05-17 17:04:00,11005831.798773132
2025-05-17 17:04:15,11016809.798773132
2025-05-17 17:04:30,11062463.798773132
2025-05-17 17:04:45,11138284.798773132
2025-05-17 17:05:00,12104084.798773132
2025-05-17 17:05:15,12741694.798773132
2025-05-17 17:05:30,13049378.798773132
2025-05-17 17:05:45,14392244.798773132
2025-05-17 17:06:00,13626639.798773132
2025-05-17 17:06:15,13217477.798773132
2025-05-17 17:06:30,13134978.798773132
2025-05-17 17:06:45,12286663.798773132
2025-05-17 17:07:00,12097370.798773132
2025-05-17 17:07:15,12064653.798773132
2025-05-17 17:07:30,12059026.798773132
2025-05-17 17:07:45,12161672.798773132
2025-05-17 17:08:00,12199038.798773132
2025-05-17 17:08:15,12810627.798773132
2025-05-17 17:08:30,12864287.798773132
2025-05-17 17:08:45,12774160.798773132
2025-05-17 17:09:00,12752848.798773132
2025-05-17 17:09:15,12353454.798773132
2025-05-17 17:09:30,12280873.798773132
2025-05-17 17:09:45,11774169.798773132
2025-05-17 17:10:00,11748594.798773132
2025-05-17 17:10:15,11825698.798773132
2025-05-17 17:10:30,11809459.798773132
2025-05-17 17:10:45,11893976.798773132
2025-05-17 17:11:00,11934386.798773132
2025-05-17 17:11:15,11865379.798773132
2025-05-17 17:11:30,12034740.798773132
2025-05-17 17:11:45,12053168.798773132
2025-05-17 17:12:00,12107409.798773132
2025-05-17 17:12:15,11873817.798773132
2025-05-17 17:12:30,11641245.798773132
2025-05-17 17:12:45,11577651.798773132
2025-05-17 17:13:00,11677446.798773132
2025-05-17 17:13:15,12129696.798773132
