readbytes_read_bytes_cumulative,writebytes_write_bytes_cumulative
3571712.0,17582080.0
3571712.0,17582080.0
2418688.0,16041984.0
2398638.8513560644,15315505.798773132
151541.80821749527,12634048.798773132
146285.1145421198,12422747.798773132
120808.3745892468,12299881.798773132
97439.814759246,12838557.798773132
339018.08138284483,13195557.798773132
338071.33643176686,12043597.798773132
141463.33643176686,11248767.798773132
141463.33643176686,11116491.798773132
16535.336431766853,11105854.798773132
16543.336431766853,11489755.798773132
16543.336431766853,11477761.798773132
16543.336431766853,11444164.798773132
16543.336431766853,11440421.798773132
16543.336431766853,11005831.798773132
16543.336431766853,11016809.798773132
30576.336431766853,11062463.798773132
30576.336431766853,11138284.798773132
30706.336431766853,12104084.798773132
30706.336431766853,12741694.798773132
30706.336431766853,13049378.798773132
30706.336431766853,14392244.798773132
30706.336431766853,13626639.798773132
30706.336431766853,13217477.798773132
21932.41933161308,13134978.798773132
21932.41933161308,12286663.798773132
21932.41933161308,12097370.798773132
21932.41933161308,12064653.798773132
21932.41933161308,12059026.798773132
21932.41933161308,12161672.798773132
21932.41933161308,12199038.798773132
21932.41933161308,12810627.798773132
21932.41933161308,12864287.798773132
21908.05859541676,12774160.798773132
21908.05859541676,12752848.798773132
21908.05859541676,12353454.798773132
21908.05859541676,12280873.798773132
21903.05859541676,11774169.798773132
21916.05859541676,11748594.798773132
21901.05859541676,11825698.798773132
21888.05859541676,11809459.798773132
21888.05859541676,11893976.798773132
21862.05859541676,11934386.798773132
21862.05859541676,11865379.798773132
22571.877172779896,12034740.798773132
22617.877172779896,12053168.798773132
23350.89280299817,12107409.798773132
23350.89280299817,11873817.798773132
23350.89280299817,11641245.798773132
23350.89280299817,11577651.798773132
23319.89280299817,11677446.798773132
23319.89280299817,12129696.798773132
23304.89280299817,12231533.798773132
23304.89280299817,12338680.798773132
23304.89280299817,12342674.798773132
23304.89280299817,12269742.798773132
23304.89280299817,12258029.798773132
23350.89280299817,12298693.798773132
23350.89280299817,12316253.798773132
23350.89280299817,12217892.798773132
23220.89280299817,12199557.798773132
23189.89280299817,12216764.798773132
9141.892802998167,12236774.798773132
9141.892802998167,12124091.798773132
7699.058595416759,11998252.798773132
7699.058595416759,11748283.798773132
5663251.058595417,11673972.798773132
5664984.87717278,11395428.798773132
11321560.87717278,11250654.798773132
11322293.892802998,11021575.798773132
5666741.892802998,11019464.798773132
5665717.892802998,11106461.798773132
9141.892802998167,11115374.798773132
9141.892802998167,10941352.798773132
9141.892802998167,10781860.798773132
9141.892802998167,10651691.798773132
9141.892802998167,10599591.798773132
9141.892802998167,10591792.798773132
9141.892802998167,10558152.798773132
9271.892802998167,9756378.798773132
9271.892802998167,9488460.798773132
23304.89280299817,8845027.798773132
23304.89280299817,8812004.798773132
23304.89280299817,9292956.798773132
23304.89280299817,9395113.798773132
23304.89280299817,9641686.798773132
23350.89280299817,10853714.798773132
21908.05859541676,11242821.798773132
21908.05859541676,10840098.798773132
21877.05859541676,10486843.798773132
21877.05859541676,10391476.798773132
21862.05859541676,10092498.798773132
21862.05859541676,9750225.798773132
21862.05859541676,9571404.798773132
21862.05859541676,8780085.798773132
21862.05859541676,8640776.798773132
21862.05859541676,7434167.798773131
21862.05859541676,7345112.798773131
21862.05859541676,7316800.798773131
21862.05859541676,7370247.798773131
21862.05859541676,7865504.798773131
21862.05859541676,8263772.798773131
21862.05859541676,10027169.798773132
21862.05859541676,10155716.798773132
21862.05859541676,10100905.798773132
21862.05859541676,10084236.798773132
