experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
cache_filling,MemAvailable,0.9787933417849168,0.9929944094234523,76
gc_stress,MemAvailable,0.651382707055933,0.9928765360904933,46
oom,MemAvailable,1.2578535741242645,0.9940534333570619,171
threadfull,MemAvailable,1.5176017649797677,0.9940209161210429,62
cache_filling,MemCache,0.38518433756256953,0.9990652840159837,0
gc_stress,MemCache,0.2983476776570201,0.9994066032954878,0
oom,MemCache,-0.44341282966488105,0.9968860263389032,14
threadfull,MemCache,0.22724342752448745,0.9996755061321349,0
cache_filling,MemUtil,14.86382604948569,0.9434647336580286,69
gc_stress,MemUtil,10.439386077318114,0.9604879793276058,64
oom,MemUtil,4.272890582850185,0.9869187737220543,92
threadfull,MemUtil,0.6612819832978939,0.9940359355766636,102
