experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
cache_filling,MemAvailable,0.1487061391061333,0.9940718054216979,12
gc_stress,MemAvailable,2.029166974006719,0.9933409484282782,8
oom,MemAvailable,1.1416747578036306,0.9939603735127329,0
threadfull,MemAvailable,2.9530945213294264,0.9804898336876091,7
cache_filling,MemCache,0.2851638464902203,0.9993024823885792,0
gc_stress,MemCache,0.2639514262787209,0.9993548615696409,0
oom,MemCache,0.07896670832386081,0.9997673318469676,0
threadfull,MemCache,0.33192853079884066,0.9983308124355291,0
cache_filling,MemUtil,0.8814503424171845,0.9948342863268665,5
gc_stress,MemUtil,1.9506300377147796,0.9927474291924245,23
oom,MemUtil,0.9445179872843901,0.9953946048856743,17
threadfull,MemUtil,1.712586681499393,0.9875278336624346,23
