experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,IOWait,22.106224782054245,0.8746942636610814,176
cpu_stress,IOWait,17.408243805961845,0.8692724581908924,2127
delay,IOWait,22.145970809447846,0.8954768686234037,224
mem_stress,IOWait,18.8305707346236,0.8693150801307139,1500
net_loss,IOWait,13.330103889344544,0.803121081131694,1826
baseline,IRQ,47.513802834521876,0.9906289652712849,425
cpu_stress,IRQ,1.8368334497281227,0.9757299859531681,42
delay,IRQ,42.430841588611216,0.9480830657188175,259
mem_stress,IRQ,12.747541410935428,0.9440891450658613,57
net_loss,IRQ,0.5876465825414441,0.9911823988857906,190
baseline,System,7.581484209851473,0.9767637804907012,462
cpu_stress,System,5.405297905904981,0.9824405481497931,217
delay,System,9.574189309142156,0.9723429498677122,376
mem_stress,System,33.598114114442424,0.9458401456032817,251
net_loss,System,5.654384629547306,0.9844111252868328,513
baseline,User,28.37962050430669,0.9416814717823423,80
cpu_stress,User,0.862095596754186,0.9916634796149776,221
delay,User,18.55104389735102,0.9519382685413244,169
mem_stress,User,2.638724779087972,0.9918417033454006,98
net_loss,User,0.14138670289075025,0.9935639079443371,823
baseline,Utilization,35.111999365986996,0.9396553208447852,72
cpu_stress,Utilization,0.2321755892968041,0.9940763630889972,67
delay,Utilization,8.558482722511023,0.9623679250406152,211
mem_stress,Utilization,2.7846881187287615,0.9912999366767633,64
net_loss,Utilization,0.26778777834402745,0.9933631329811888,637
