experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,MemAvailable,0.5644931826734086,0.9959914402067785,0
cpu_stress,MemAvailable,1.52869468963493,0.9927248200813206,0
IO pressure,MemAvailable,0.7413367466709561,0.9968419312407955,0
mem_stress,MemAvailable,0.8398372791076202,0.9970046422715575,8
net_loss,MemAvailable,0.9033077679461561,0.999313367470885,0
baseline,MemCache,5.188802944808113,0.9948125728913184,0
cpu_stress,MemCache,0.09607731571011142,0.997015607465282,0
IO pressure,MemCache,3.2049693929679255,0.9810474332188267,3
mem_stress,MemCache,0.18183927194377994,0.9987294200784418,0
net_loss,MemCache,3.0954541370529673,0.9974794156887641,0
baseline,MemUtil,0.40151369613874643,0.9923821062795467,0
cpu_stress,MemUtil,2.0004332433386836,0.9874801845338903,0
IO pressure,MemUtil,0.7602919097190266,0.9963219085766669,0
mem_stress,MemUtil,0.6906675868557058,0.997201993977904,7
net_loss,MemUtil,2.355468491931289,0.996937537883504,0
