experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,CustomersService,0.0,1.0,0
cache filling,CustomersService,0.0,1.0,0
gc stress,CustomersService,0.0,1.0,0
oom,CustomersService,0.0,1.0,0
threadfull,CustomersService,0.0,1.0,0
baseline,VisitsService,0.0,1.0,0
cache filling,VisitsService,0.0,1.0,0
gc stress,VisitsService,0.0,1.0,0
oom,VisitsService,0.0,1.0,0
threadfull,VisitsService,0.0,1.0,0
baseline,SRTT,12.428236197364116,0.9509025778106608,0
cache filling,SRTT,8.699637476147172,0.9599437100936548,0
gc stress,SRTT,3.021340321964782,0.9705195790728727,0
oom,SRTT,8.984673645765403,0.9549358064574002,0
threadfull,SRTT,2.247786360579075,0.9810610862584797,0
