experiment_name,metric,noise_reduction_pct,correlation,outliers_removed
baseline,IOWait,32.73295176840469,0.9456927700889065,2099
cpu_stress,IOWait,36.92417829534191,0.9552021287358974,2144
IO pressure,IOWait,0.6947177928671188,0.9962095297728918,90
mem_stress,IOWait,49.958930823465906,0.99936919949584,728
net_loss,IOWait,30.83874666467497,0.8520669260987302,2086
baseline,IRQ,50.281241217218444,0.991992168063614,299
cpu_stress,IRQ,10.291351494428163,0.9576669974862113,35
IO pressure,IRQ,1.4432567700003787,0.9953800091372402,28
mem_stress,IRQ,8.166911091737996,0.9648603410976323,26
net_loss,IRQ,4.925361656201325,0.9855606795183965,42
baseline,System,6.684436081739585,0.9802411729291616,33
cpu_stress,System,3.2822777272384926,0.9880149064471402,18
IIO pressureO,System,1.6958502740217474,0.9955861093416263,49
mem_stress,System,13.428118096689323,0.9593337375330203,33
net_loss,System,3.9175973415214247,0.9861049935939458,22
baseline,User,19.706180062873653,0.9671597281747463,45
cpu_stress,User,3.0806426213992877,0.9905277248887584,32
IO pressure,User,7.205900842577232,0.9739062771279247,24
mem_stress,User,6.978072332520875,0.981661356734808,31
net_loss,User,3.126480552557746,0.9891618325234065,41
baseline,Utilization,11.80678598714141,0.9625983350416121,32
cpu_stress,Utilization,2.8559893805524292,0.991355307740359,32
IO pressure,Utilization,5.800825196120289,0.9792233075747643,24
mem_stress,Utilization,5.676831217551491,0.9796233610579631,32
net_loss,Utilization,3.2990122713362235,0.989776261304951,41
