Time,mem_cache
2025-05-19 01:52:00,4082968
2025-05-19 01:52:15,4082968
2025-05-19 01:52:30,4074956
2025-05-19 01:52:45,4074956
2025-05-19 01:53:00,4074956
2025-05-19 01:53:15,4074956
2025-05-19 01:53:30,4165992
2025-05-19 01:53:45,4165992
2025-05-19 01:54:00,4165992
2025-05-19 01:54:15,4165992
2025-05-19 01:54:30,4168736
2025-05-19 01:54:45,4168736
2025-05-19 01:55:00,4168736
2025-05-19 01:55:15,4168736
2025-05-19 01:55:30,4171196
2025-05-19 01:55:45,4171196
2025-05-19 01:56:00,4171196
2025-05-19 01:56:15,4171196
2025-05-19 01:56:30,4173664
2025-05-19 01:56:45,4173664
2025-05-19 01:57:00,4173664
2025-05-19 01:57:15,4173664
2025-05-19 01:57:30,4172008
2025-05-19 01:57:45,4172008
2025-05-19 01:58:00,4172008
2025-05-19 01:58:15,4172008
2025-05-19 01:58:30,4174440
2025-05-19 01:58:45,4174440
2025-05-19 01:59:00,4174440
2025-05-19 01:59:15,4174440
2025-05-19 01:59:30,4176868
2025-05-19 01:59:45,4176868
2025-05-19 02:00:00,4176868
2025-05-19 02:00:15,4176868
2025-05-19 02:00:30,4179292
2025-05-19 02:00:45,4179292
2025-05-19 02:01:00,4179292
2025-05-19 02:01:15,4179292
2025-05-19 02:01:30,4181704
2025-05-19 02:01:45,4181704
2025-05-19 02:02:00,4181704
2025-05-19 02:02:15,4181704
2025-05-19 02:02:30,4184068
2025-05-19 02:02:45,4184068
2025-05-19 02:03:00,4184068
2025-05-19 02:03:15,4184068
2025-05-19 02:03:30,4186420
2025-05-19 02:03:45,4186420
2025-05-19 02:04:00,4186420
2025-05-19 02:04:15,4186420
2025-05-19 02:04:30,4188724
2025-05-19 02:04:45,4188724
2025-05-19 02:05:00,4188724
2025-05-19 02:05:15,4188724
2025-05-19 02:05:30,4191056
2025-05-19 02:05:45,4191056
2025-05-19 02:06:00,4191056
2025-05-19 02:06:15,4191056
2025-05-19 02:06:30,4193300
2025-05-19 02:06:45,4193300
2025-05-19 02:07:00,4193300
2025-05-19 02:07:15,4195504
2025-05-19 02:07:30,4195504
2025-05-19 02:07:45,4195504
2025-05-19 02:08:00,4195504
2025-05-19 02:08:15,4198060
2025-05-19 02:08:30,4198060
2025-05-19 02:08:45,4198060
2025-05-19 02:09:00,4198060
2025-05-19 02:09:15,4198060
2025-05-19 02:09:30,4181004
2025-05-19 02:09:45,4181004
2025-05-19 02:10:00,4181004
2025-05-19 02:10:15,4181004
2025-05-19 02:10:30,4183180
2025-05-19 02:10:45,4183180
2025-05-19 02:11:00,4183180
2025-05-19 02:11:15,4183180
2025-05-19 02:11:30,4185308
2025-05-19 02:11:45,4185308
2025-05-19 02:12:00,4185308
2025-05-19 02:12:15,4185308
2025-05-19 02:12:30,4178680
2025-05-19 02:12:45,4178680
2025-05-19 02:13:00,4178680
2025-05-19 02:13:15,4178680
2025-05-19 02:13:30,4180668
2025-05-19 02:13:45,4180668
2025-05-19 02:14:00,4180668
2025-05-19 02:14:15,4180668
2025-05-19 02:14:30,4182724
2025-05-19 02:14:45,4182724
2025-05-19 02:15:00,4182724
2025-05-19 02:15:15,4182724
2025-05-19 02:15:30,4184552
2025-05-19 02:15:45,4184552
2025-05-19 02:16:00,4184552
2025-05-19 02:16:15,4184552
2025-05-19 02:16:30,4186032
2025-05-19 02:16:45,4186032
2025-05-19 02:17:00,4186032
2025-05-19 02:17:15,4186032
2025-05-19 02:17:30,4187392
2025-05-19 02:17:45,4187392
2025-05-19 02:18:00,4187392
2025-05-19 02:18:15,4187392
2025-05-19 02:18:30,4188944
2025-05-19 02:18:45,4188944
2025-05-19 02:19:00,4188944
2025-05-19 02:19:15,4188944
2025-05-19 02:19:30,4190352
