Time,mem_available,source,Minutes
2025-07-15 17:54:45,9158482,threadfull,30.5
2025-07-15 17:55:00,9086885,threadfull,30.75
2025-07-15 17:55:15,9086885,threadfull,31.0
2025-07-15 17:55:30,9088914,threadfull,31.25
2025-07-15 17:55:45,9075569,threadfull,31.5
2025-07-15 17:56:00,9072469,threadfull,31.75
2025-07-15 17:56:15,9087199,threadfull,32.0
2025-07-15 17:56:30,9070608,threadfull,32.25
2025-07-15 17:56:45,9083772,threadfull,32.5
2025-07-15 17:57:00,9123265,threadfull,32.75
2025-07-15 17:57:15,9142892,threadfull,33.0
2025-07-15 17:57:30,9342929,threadfull,33.25
2025-07-15 17:57:45,9338360,threadfull,33.5
2025-07-15 17:58:00,9248890,threadfull,33.75
2025-07-15 17:58:15,9238677,threadfull,34.0
2025-07-15 17:58:30,9032837,threadfull,34.25
2025-07-15 17:58:45,9031409,threadfull,34.5
2025-07-15 17:59:00,9027188,threadfull,34.75
2025-07-15 17:59:15,9027188,threadfull,35.0
2025-07-15 17:59:30,9011895,threadfull,35.25
2025-07-15 17:59:45,9064700,threadfull,35.5
2025-07-15 18:00:00,9174662,threadfull,35.75
2025-07-15 18:00:15,9191528,threadfull,36.0
2025-07-15 18:00:30,9779530,threadfull,36.25
2025-07-15 18:00:45,9829242,threadfull,36.5
2025-07-15 18:01:00,9560502,threadfull,36.75
2025-07-15 18:01:15,9517171,threadfull,37.0
2025-07-15 18:01:30,8882707,threadfull,37.25
2025-07-15 18:01:45,8888055,threadfull,37.5
2025-07-15 18:02:00,8752643,threadfull,37.75
2025-07-15 18:02:15,8752643,threadfull,38.0
2025-07-15 18:02:30,8725370,threadfull,38.25
2025-07-15 18:02:45,8721582,threadfull,38.5
2025-07-15 18:03:00,8734852,threadfull,38.75
2025-07-15 18:03:15,8737666,threadfull,39.0
2025-07-15 18:03:30,8723610,threadfull,39.25
2025-07-15 18:03:45,8712075,threadfull,39.5
2025-07-15 18:04:00,8718249,threadfull,39.75
2025-07-15 18:04:15,8718249,threadfull,40.0
2025-07-15 18:04:30,8718644,threadfull,40.25
2025-07-15 18:04:45,8732156,threadfull,40.5
2025-07-15 18:05:00,8749501,threadfull,40.75
2025-07-15 18:05:15,8760708,threadfull,41.0
2025-07-15 18:05:30,9047813,threadfull,41.25
2025-07-15 18:05:45,9077448,threadfull,41.5
2025-07-15 18:06:00,9075877,threadfull,41.75
2025-07-15 18:06:15,9075877,threadfull,42.0
2025-07-15 18:06:30,9047309,threadfull,42.25
2025-07-15 18:06:45,9023765,threadfull,42.5
2025-07-15 18:07:00,9022716,threadfull,42.75
2025-07-15 18:07:15,9022716,threadfull,43.0
2025-07-15 18:07:30,9023450,threadfull,43.25
2025-07-15 18:07:45,9024456,threadfull,43.5
2025-07-15 18:08:00,9023795,threadfull,43.75
2025-07-15 18:08:15,9023795,threadfull,44.0
2025-07-15 18:08:30,9019628,threadfull,44.25
2025-07-15 18:08:45,9018460,threadfull,44.5
2025-07-15 18:09:00,9019872,threadfull,44.75
2025-07-15 18:09:15,9019872,threadfull,45.0
2025-07-15 18:09:30,9019797,threadfull,45.25
2025-07-15 18:09:45,9019797,threadfull,45.5
2025-07-15 18:10:00,9019872,threadfull,45.75
2025-07-15 18:10:15,9019348,threadfull,46.0
2025-07-15 18:10:30,9002754,threadfull,46.25
2025-07-15 18:10:45,8991071,threadfull,46.5
2025-07-15 18:11:00,8985248,threadfull,46.75
2025-07-15 18:11:15,8980109,threadfull,47.0
2025-07-15 18:11:30,8747991,threadfull,47.25
2025-07-15 18:11:45,8736672,threadfull,47.5
2025-07-15 18:12:00,8735284,threadfull,47.75
2025-07-15 18:12:15,8734732,threadfull,48.0
2025-07-15 18:12:30,8707861,threadfull,48.25
2025-07-15 18:12:45,8704316,threadfull,48.5
2025-07-15 18:13:00,8720001,threadfull,48.75
2025-07-15 18:13:15,8720001,threadfull,49.0
2025-07-15 18:13:30,8709725,threadfull,49.25
2025-07-15 18:13:45,8707518,threadfull,49.5
2025-07-15 18:14:00,8713335,threadfull,49.75
2025-07-15 18:14:15,8702863,threadfull,50.0
2025-07-15 18:14:30,8639817,threadfull,50.25
2025-07-15 18:14:45,8628672,threadfull,50.5
2025-07-15 18:15:00,8682161,threadfull,50.75
2025-07-15 18:15:15,8681731,threadfull,51.0
2025-07-15 18:15:30,8564789,threadfull,51.25
2025-07-15 18:15:45,8552713,threadfull,51.5
2025-07-15 18:16:00,8546376,threadfull,51.75
2025-07-15 18:16:15,8546376,threadfull,52.0
2025-07-15 18:16:30,8545868,threadfull,52.25
2025-07-15 18:16:45,8543871,threadfull,52.5
2025-07-15 18:17:00,8543175,threadfull,52.75
2025-07-15 18:17:15,8543175,threadfull,53.0
2025-07-15 18:17:30,8542966,threadfull,53.25
