Time,connection_1,connection_2,connection_3
2025-05-19 02:33:45,,14,0,
2025-05-19 02:34:00,,14,0,
2025-05-19 02:34:15,,14,0,
2025-05-19 02:34:30,,14,6,
2025-05-19 02:34:45,,14,6,
2025-05-19 02:35:00,,14,6,
2025-05-19 02:35:15,,14,6,
2025-05-19 02:35:30,,14,0,
2025-05-19 02:35:45,,14,0,
2025-05-19 02:36:00,,14,0,
2025-05-19 02:36:15,,14,0,
2025-05-19 02:36:30,,14,51,
2025-05-19 02:36:45,,14,51,
2025-05-19 02:37:00,,14,51,
2025-05-19 02:37:15,,14,51,
2025-05-19 02:37:30,,14,51,
2025-05-19 02:37:45,,14,0,
2025-05-19 02:38:00,,14,0,
2025-05-19 02:38:15,,14,0,
2025-05-19 02:38:30,,14,688,
2025-05-19 02:38:45,,,688,
2025-05-19 02:39:00,,,688,
2025-05-19 02:39:15,,,688,
2025-05-19 02:39:30,,,0,
2025-05-19 02:39:45,,,0,
2025-05-19 02:40:00,,,0,
2025-05-19 02:40:15,,,0,
2025-05-19 02:40:30,,,0,
2025-05-19 02:40:45,,,0,
2025-05-19 02:41:00,,,0,
2025-05-19 02:41:15,,,0,
2025-05-19 02:41:30,,,6,
2025-05-19 02:41:45,,,6,
2025-05-19 02:42:00,,,6,
2025-05-19 02:42:15,,,6,
2025-05-19 02:42:30,,0,0,
2025-05-19 02:42:45,,0,0,
2025-05-19 02:43:00,,0,0,
2025-05-19 02:43:15,,0,0,
2025-05-19 02:43:30,,0,6,
2025-05-19 02:43:45,,0,6,
2025-05-19 02:44:00,,0,6,
2025-05-19 02:44:15,,0,6,
2025-05-19 02:44:30,,0,0,
2025-05-19 02:44:45,,0,0,
2025-05-19 02:45:00,,0,0,0
2025-05-19 02:45:15,,0,0,0
2025-05-19 02:45:30,,0,5,0
2025-05-19 02:45:45,,0,5,0
2025-05-19 02:46:00,,0,5,0
2025-05-19 02:46:15,,0,5,0
2025-05-19 02:46:30,,0,73,0
2025-05-19 02:46:45,,0,73,0
2025-05-19 02:47:00,,0,73,0
2025-05-19 02:47:15,,0,73,0
2025-05-19 02:47:30,,0,0,0
2025-05-19 02:47:45,,,0,0
2025-05-19 02:48:00,,,0,0
2025-05-19 02:48:15,,,0,0
2025-05-19 02:48:30,,,0,0
2025-05-19 02:48:45,,,0,0
2025-05-19 02:49:00,,,0,0
2025-05-19 02:49:15,,,0,0
2025-05-19 02:49:30,,,0,0
2025-05-19 02:49:45,,,0,0
2025-05-19 02:50:00,,,0,0
2025-05-19 02:50:15,,,0,
2025-05-19 02:50:30,,,0,
2025-05-19 02:50:45,,,0,
2025-05-19 02:51:00,,,0,
2025-05-19 02:51:15,,,0,
2025-05-19 02:51:30,,,0,
2025-05-19 02:51:45,,,0,
2025-05-19 02:52:00,,,0,
2025-05-19 02:52:15,,,0,
2025-05-19 02:52:30,,,0,
2025-05-19 02:52:45,,,0,
2025-05-19 02:53:00,,,0,
2025-05-19 02:53:15,,,0,
2025-05-19 02:53:30,,6,0,
2025-05-19 02:53:45,,6,0,
2025-05-19 02:54:00,,6,0,
2025-05-19 02:54:15,,6,0,
2025-05-19 02:54:30,,2,0,
2025-05-19 02:54:45,,2,0,
2025-05-19 02:55:00,,2,0,
2025-05-19 02:55:15,,2,0,
2025-05-19 02:55:30,,2,0,
2025-05-19 02:55:45,,0,0,
2025-05-19 02:56:00,,0,0,
2025-05-19 02:56:15,,0,0,
2025-05-19 02:56:30,,0,0,
2025-05-19 02:56:45,,0,0,
