Time,customers_service
2025-07-16 19:31:00,0
2025-07-16 19:31:15,0
2025-07-16 19:31:30,0
2025-07-16 19:31:45,0
2025-07-16 19:32:00,0
2025-07-16 19:32:15,0
2025-07-16 19:32:30,0
2025-07-16 19:32:45,0
2025-07-16 19:33:00,0
2025-07-16 19:33:15,0
2025-07-16 19:33:30,0
2025-07-16 19:33:45,0
2025-07-16 19:34:00,0
2025-07-16 19:34:15,0
2025-07-16 19:34:30,0
2025-07-16 19:34:45,0
2025-07-16 19:35:00,0
2025-07-16 19:35:15,0
2025-07-16 19:35:30,0
2025-07-16 19:35:45,0
2025-07-16 20:21:15,0
2025-07-16 20:21:30,0
2025-07-16 20:21:45,0
2025-07-16 20:22:00,0
2025-07-16 20:22:15,0
2025-07-16 20:22:30,0
2025-07-16 20:22:45,0
2025-07-16 20:23:00,0
2025-07-16 20:23:15,0
2025-07-16 20:23:30,0
2025-07-16 20:23:45,0
2025-07-16 20:24:00,0
2025-07-16 20:24:15,0
2025-07-16 20:24:30,0
2025-07-16 20:24:45,0
2025-07-16 20:25:00,0
2025-07-16 20:25:15,0
2025-07-16 20:25:30,0
2025-07-16 20:25:45,0
2025-07-16 20:26:00,0
