Time,Minutes,source,SRTT_cumulative
2025-05-17 16:59:45,0.0,IO,609.0
2025-05-17 17:00:00,0.25,IO,614.0
2025-05-17 17:00:15,0.5,IO,614.0
2025-05-17 17:00:30,0.75,IO,935.9816227106224
2025-05-17 17:00:45,1.0,IO,1242.3915750915753
2025-05-17 17:01:00,1.25,IO,601.5
2025-05-17 17:01:15,1.5,IO,2304.0
2025-05-17 17:01:30,1.75,IO,3974.0
2025-05-17 17:01:45,2.0,IO,3974.0
2025-05-17 17:02:00,2.25,IO,3946.0
2025-05-17 17:02:15,2.5,IO,3587.181228480734
2025-05-17 17:02:30,2.75,IO,3132.522732443639
2025-05-17 17:02:45,3.0,IO,3102.1171625891984
2025-05-17 17:03:00,3.25,IO,3055.424137945355
2025-05-17 17:03:15,3.5,IO,3012.6088275380807
2025-05-17 17:03:30,3.75,IO,2738.739546328803
2025-05-17 17:03:45,4.0,IO,2722.139836525798
2025-05-17 17:04:00,4.25,IO,2759.8855419328615
2025-05-17 17:04:15,4.5,IO,2801.2085235549066
2025-05-17 17:04:30,4.75,IO,2942.045472339521
2025-05-17 17:04:45,5.0,IO,3044.777450735745
2025-05-17 17:05:00,5.25,IO,3060.637504373076
2025-05-17 17:05:15,5.5,IO,3155.637582403577
2025-05-17 17:05:30,5.75,IO,3398.261705317192
2025-05-17 17:05:45,6.0,IO,3392.523573585348
2025-05-17 17:06:00,6.25,IO,3378.7947989588592
2025-05-17 17:06:15,6.5,IO,3307.9001315903756
2025-05-17 17:06:30,6.75,IO,3141.337757911941
2025-05-17 17:06:45,7.0,IO,3132.12632050775
2025-05-17 17:07:00,7.25,IO,3118.1373291895543
2025-05-17 17:07:15,7.5,IO,3069.1167963687885
2025-05-17 17:07:30,7.75,IO,2693.2366053810115
2025-05-17 17:07:45,8.0,IO,2613.635005328415
2025-05-17 17:08:00,8.25,IO,2638.1805393400195
2025-05-17 17:08:15,8.5,IO,2660.1052562106597
2025-05-17 17:08:30,8.75,IO,2754.8305003799287
2025-05-17 17:08:45,9.0,IO,2789.624446286968
2025-05-17 17:09:00,9.25,IO,2805.4976235604413
2025-05-17 17:09:15,9.5,IO,2807.478735803833
2025-05-17 17:09:30,9.75,IO,2895.0660017945343
2025-05-17 17:09:45,10.0,IO,2925.9902015044418
2025-05-17 17:10:00,10.25,IO,2953.8104817122858
2025-05-17 17:10:15,10.5,IO,2953.873780928663
2025-05-17 17:10:30,10.75,IO,3019.9492857902737
2025-05-17 17:10:45,11.0,IO,3048.1841531961395
2025-05-17 17:11:00,11.25,IO,3078.4332683853877
