minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
2.5,8,1,8,5,0,11,8,1,0,0,MEM_STRESS,2.5,274,311,301,280,273,300,264,274,0,0,MEM_STRESS,2.5,1160,1233,1185,1197,1130,1161,1093,1181,0,0,MEM_STRESS,2.5,10750,12320,12950,11390,12660,11580,11400,11020,0,0,MEM_STRESS,2.5,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0,MEM_STRESS,2.5,10,0,10,5,0,10,10,0,0,0,MEM_STRESS,2.5,271,311,274,281,271,278,260,274,0,0,MEM_STRESS,2.5,1162,1233,1183,1210,1163,1167,1089,1179,0,0,MEM_STRESS,2.5,10939,12473,13162,11527,13090,11637,11617,11631,0,0,MEM_STRESS,2.5,22.145316666666663,24.67723968253969,25.692548254523263,22.82968928571429,23.837000000000007,23.773608806471312,21.90200000000001,21.513617261904777,0,0,MEM_STRESS,2.5
2.75,8,1,8,5,1,11,8,4,0,0,MEM_STRESS,2.75,267,307,308,280,267,297,265,274,0,0,MEM_STRESS,2.75,1149,1222,1172,1198,1153,1180,1121,1172,0,0,MEM_STRESS,2.75,11103,10894,11524,12342,11461,11635,11014,10768,0,0,MEM_STRESS,2.75,20.024309920634916,21.305530158730136,21.56683991702741,20.40608596681095,21.61397151274652,21.060947165334664,21.225808333333315,20.477930952380937,0,0,MEM_STRESS,2.75,10,0,10,5,0,10,10,0,0,0,MEM_STRESS,2.75,260,303,276,276,267,270,259,267,0,0,MEM_STRESS,2.75,1173,1216,1168,1218,1149,1172,1126,1168,0,0,MEM_STRESS,2.75,10323,11930,12234,10884,12189,11193,11282,10911,0,0,MEM_STRESS,2.75,21.0597992063492,22.58766309523808,23.14137392052391,21.11221547619048,23.24099999999999,21.246492895236862,21.59900000000001,20.8797634060384,0,0,MEM_STRESS,2.75
3.0,8,1,8,10,3,11,8,5,0,0,MEM_STRESS,3.0,267,307,307,278,266,290,265,271,0,0,MEM_STRESS,3.0,1149,1222,1172,1197,1153,1180,1127,1171,0,0,MEM_STRESS,3.0,11511,10894,11524,10725,11461,11691,11014,10768,0,0,MEM_STRESS,3.0,20.024309920634916,21.305530158730136,21.56683991702741,20.40608596681095,21.61397151274652,21.120890022477525,21.225808333333315,20.477930952380937,0,0,MEM_STRESS,3.0,5,0,5,10,5,10,10,5,0,0,MEM_STRESS,3.0,256,303,277,275,263,266,254,260,0,0,MEM_STRESS,3.0,1173,1218,1168,1218,1149,1173,1134,1167,0,0,MEM_STRESS,3.0,9932,11905,12085,10840,12118,11142,11075,10905,0,0,MEM_STRESS,3.0,20.860864682539678,22.48841309523808,23.115373920523908,21.08441547619048,22.07433333333334,21.246492895236862,21.36499999999998,20.70163977966477,0,0,MEM_STRESS,3.0
3.25,5,1,4,10,10,11,11,9,0,0,MEM_STRESS,3.25,264,306,292,270,264,282,260,267,0,0,MEM_STRESS,3.25,1130,1168,1136,1197,1173,1187,1195,1155,0,0,MEM_STRESS,3.25,10175,10842,11367,10725,11198,10730,11039,10661,0,0,MEM_STRESS,3.25,19.305446746031738,21.265366666666647,21.36654551334985,20.569375216450204,21.625963198838203,21.16085547522971,21.19718769841269,20.5519845238095,0,0,MEM_STRESS,3.25,5,1,5,10,5,10,8,5,0,0,MEM_STRESS,3.25,253,303,283,267,261,263,251,253,0,0,MEM_STRESS,3.25,1133,1161,1141,1203,1167,1182,1196,1139,0,0,MEM_STRESS,3.25,9661,11208,11296,10550,11559,10492,10965,10726,0,0,MEM_STRESS,3.25,19.755578571428565,21.36225753968252,21.919716237928725,20.50227375457876,21.07800000000002,21.17128035108167,21.134999999999973,20.291580558330537,0,0,MEM_STRESS,3.25
3.5,5,1,4,10,9,9,13,9,0,0,MEM_STRESS,3.5,261,306,288,272,263,285,258,272,0,0,MEM_STRESS,3.5,1127,1180,1130,1200,1177,1189,1200,1146,0,0,MEM_STRESS,3.5,10175,10761,11332,10725,11059,10730,11042,10656,0,0,MEM_STRESS,3.5,19.12567884993669,21.187611904761884,21.487792735572075,20.68977402597402,21.359983545158556,21.16479753872177,21.184889682539687,20.4002619047619,0,0,MEM_STRESS,3.5,5,0,5,10,5,10,5,10,0,0,MEM_STRESS,3.5,254,303,283,266,260,262,251,253,0,0,MEM_STRESS,3.5,1123,1160,1134,1211,1171,1185,1204,1145,0,0,MEM_STRESS,3.5,9682,11103,11151,10529,11348,10289,10981,10618,0,0,MEM_STRESS,3.5,19.912265476190463,21.45312976190475,21.87140232683982,20.833007445054943,20.933000000000025,21.49300075739104,21.104999999999976,20.264213891663864,0,0,MEM_STRESS,3.5
3.75,5,1,4,9,13,9,9,8,0,0,MEM_STRESS,3.75,265,306,289,283,263,286,261,274,0,0,MEM_STRESS,3.75,1138,1212,1159,1208,1178,1192,1211,1140,0,0,MEM_STRESS,3.75,10175,10862,11374,10725,10905,10730,11058,10722,0,0,MEM_STRESS,3.75,19.02820912771448,21.38140158730157,21.438450870492712,20.652580014430004,21.101056655381655,20.61058272182384,21.20707698412699,20.370111904761902,0,0,MEM_STRESS,3.75,5,0,5,10,5,10,5,10,0,0,MEM_STRESS,3.75,254,304,286,271,262,262,252,252,0,0,MEM_STRESS,3.75,1127,1209,1144,1218,1183,1188,1204,1169,0,0,MEM_STRESS,3.75,9892,11236,11338,10855,10963,10480,10967,10724,0,0,MEM_STRESS,3.75,19.78934992063492,21.95110238095237,21.679082475448528,21.05336559523809,20.824000000000023,21.398541172286595,21.199499999999976,20.63628501775999,0,0,MEM_STRESS,3.75
4.0,5,2,4,5,14,9,7,9,0,0,MEM_STRESS,4.0,264,306,290,286,265,286,261,276,0,0,MEM_STRESS,4.0,1144,1220,1163,1220,1178,1193,1209,1215,0,0,MEM_STRESS,4.0,10740,11444,11535,12050,10913,11820,11053,10755,0,0,MEM_STRESS,4.0,19.22619127057161,21.9100849206349,21.7931599614018,21.26592049062049,21.227358350908357,20.932107191308607,21.229343650793663,20.48481666666667,0,0,MEM_STRESS,4.0,10,5,10,5,15,10,0,20,0,0,MEM_STRESS,4.0,255,307,288,275,267,262,257,254,0,0,MEM_STRESS,4.0,1128,1213,1145,1220,1183,1189,1204,1172,0,0,MEM_STRESS,4.0,10348,11299,11393,11103,10949,10647,11006,10737,0,0,MEM_STRESS,4.0,19.87527849206349,22.40296904761903,21.74388247544853,21.367438611111112,20.899000000000036,21.847108563228986,21.23850000000001,20.781951684426662,0,0,MEM_STRESS,4.0
4.25,7,9,7,5,27,9,0,17,0,0,MEM_STRESS,4.25,266,316,296,284,267,286,260,273,0,0,MEM_STRESS,4.25,1152,1358,1203,1288,1195,1222,1201,1280,0,0,MEM_STRESS,4.25,10745,11746,11807,12050,10931,11820,11020,10690,0,0,MEM_STRESS,4.25,20.033661865809712,22.78990555555553,22.64264256854257,22.835351406926417,21.186244413179416,22.684209874485425,21.216623015873036,20.71385,0,0,MEM_STRESS,4.25,10,5,10,5,30,9,0,12,0,0,MEM_STRESS,4.25,268,317,299,287,268,262,258,265,0,0,MEM_STRESS,4.25,1149,1363,1208,1299,1199,1214,1206,1265,0,0,MEM_STRESS,4.25,10634,11807,11868,11900,10949,11510,11011,10808,0,0,MEM_STRESS,4.25,20.64579484126984,23.002880952380927,22.590798573648577,23.31401684981685,20.93100000000004,22.96292600903997,21.18783333333335,20.719924087024072,0,0,MEM_STRESS,4.25
4.5,7,9,7,5,28,9,0,18,0,0,MEM_STRESS,4.5,273,320,300,289,269,286,261,270,0,0,MEM_STRESS,4.5,1170,1374,1225,1311,1212,1225,1209,1280,0,0,MEM_STRESS,4.5,10745,11857,12009,12050,10948,11820,11020,10690,0,0,MEM_STRESS,4.5,20.44955833333333,23.22122698412697,23.02724653679654,23.39645616883117,21.2979064983165,22.915576510627066,21.34736468253969,20.992108333333327,0,0,MEM_STRESS,4.5,10,5,10,5,15,9,0,10,0,0,MEM_STRESS,4.5,274,320,302,291,270,262,261,268,0,0,MEM_STRESS,4.5,1158,1382,1230,1323,1212,1227,1216,1280,0,0,MEM_STRESS,4.5,10701,11950,12112,12091,11037,11662,11049,10945,0,0,MEM_STRESS,4.5,20.72421904761904,23.087790476190456,23.16271285936286,23.55253445443446,21.068333333333367,23.16466146700521,21.311833333333357,20.85327560217559,0,0,MEM_STRESS,4.5
4.75,8,8,8,5,30,9,3,14,0,0,MEM_STRESS,4.75,279,321,304,296,273,287,266,273,0,0,MEM_STRESS,4.75,1188,1345,1237,1333,1228,1241,1218,1280,0,0,MEM_STRESS,4.75,10745,12160,12483,13071,11016,11958,11020,10690,0,0,MEM_STRESS,4.75,21.38455866910866,23.83401904761903,23.630705357142865,23.75667124819626,21.82597681577681,22.872193455155948,21.864452417027422,21.525891666666656,0,0,MEM_STRESS,4.75,10,5,10,5,15,9,0,10,0,0,MEM_STRESS,4.75,282,322,304,295,277,270,269,269,0,0,MEM_STRESS,4.75,1176,1348,1250,1327,1227,1230,1236,1293,0,0,MEM_STRESS,4.75,11204,12612,12358,12404,11202,11880,11308,11338,0,0,MEM_STRESS,4.75,21.667684668109665,23.82887103174603,23.78208277000777,23.502676154401147,21.571333333333367,22.81575262047894,21.782000000000014,21.79868772338772,0,0,MEM_STRESS,4.75
